Species_name	References
"""Salvia verticillata L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Salvinia natans (L.) All."""	"""Schubert et al. (1987)"""
"""Sambucus ebulus L."""	"""Jäger and Werner (2002); Pénzes (1960)"""
"""Sambucus nigra L."""	"""Atkinson and Atkinson (2002); Pénzes (1960)"""
"""Sambucus racemosa L."""	"""Klimešová, pers. obs."""
"""Samolus valerandi L."""	"""Schubert et al. (1987)"""
"""Sanguisorba minor Scop."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Sanguisorba officinalis L."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Serebrjakov (1952); Schubert et al. (1987); Klimešová, pers. obs."""
"""Sanicula europaea L."""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Saponaria ocymoides L."""	"""Schubert et al. (1987)"""
"""Saponaria officinalis L."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Satureja hortensis L."""	"""Schubert et al. (1987)"""
"""Saussurea alpina (L.) DC. subsp. alpina"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Saussurea discolor (Willd.) DC."""	"""Schubert et al. (1987)"""
"""Saussurea pygmaea (Jacq.) Spreng."""	"""Schubert et al. (1987)"""
"""Saxifraga aizoides L."""	"""Hess (1909); Schubert et al. (1987); Warming (1909); Klimešová, pers. obs."""
"""Saxifraga androsacea L."""	"""Rauh (1939); Schubert et al. (1987)"""
"""Saxifraga aphylla Sternb."""	"""Schubert et al. (1987)"""
"""Saxifraga biflora All."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Saxifraga bryoides L."""	"""Hartmann (1957); Rauh (1939); Schubert et al. (1987); Klimešová, pers. obs."""
"""Saxifraga burseriana L."""	"""Rauh (1939); Schubert et al. (1987)"""
"""Saxifraga caesia L."""	"""Hartmann (1957); Rauh (1939); Schubert et al. (1987); Klimešová, pers. obs."""
"""Saxifraga cernua L."""	"""Bauert et al. (1996); Molau and Prentice (1992); Warming (1909); Klimešová, pers. obs."""
"""Saxifraga cespitosa L."""	"""Warming (1909); Webb (1949)"""
"""Saxifraga cotyledon L."""	"""Dinnétz and Nilsson (2002)"""
"""Saxifraga cuneifolia L."""	"""Karrer et al. (1995); Troll (1941-1942)"""
"""Saxifraga exarata Vill."""	"""Klimešová, pers. obs."""
"""Saxifraga flagellaris Willd."""	"""Serebriakov (1962); Warming (1909)"""
"""Saxifraga granulata L."""	"""Irmisch (1850); Kutschera and Lichtenegger (1992); Möbius (1940); Richards (1990); Schubert et al. (1987); Klimešová, pers. obs."""
"""Saxifraga hirculus L."""	"""Ohlson (1988); Schubert et al. (1987); Warming (1909)"""
"""Saxifraga hypnoides L."""	"""Schubert et al. (1987); Webb (1949)"""
"""Saxifraga moschata Wulfen"""	"""Rauh (1939); Schubert et al. (1987)"""
"""Saxifraga mutata L."""	"""Schubert et al. (1987)"""
"""Saxifraga nivalis L."""	"""Warming (1909)"""
"""Saxifraga oppositifolia L."""	"""Hartmann (1957); Hess (1909); Jones and Richards (1956); Rauh (1939); Schubert et al. (1987); Warming (1909); Klimešová, pers. obs."""
"""Saxifraga paniculata Mill."""	"""Hartmann (1957); Lukasiewicz (1962); Rauh (1939); Schubert et al. (1987); Warming (1909); Klimešová, pers. obs."""
"""Saxifraga retusa Gouan"""	"""Rauh (1939)"""
"""Saxifraga rivularis L."""	"""Warming (1909); Klimešová, pers. obs."""
"""Saxifraga rosacea Moench"""	"""Schubert et al. (1987); Webb (1949)"""
"""Saxifraga rotundifolia L."""	"""Karrer et al. (1995); Schubert et al. (1987); Klimešová, pers. obs."""
"""Saxifraga sedoides L."""	"""Klimešová, pers. obs."""
"""Saxifraga seguieri Sprengel"""	"""Hartmann (1957)"""
"""Saxifraga squarrosa Sieber"""	"""Klimešová, pers. obs."""
"""Saxifraga stellaris L."""	"""Möbius (1940); Schubert et al. (1987); Warming (1909); Klimešová, pers. obs."""
"""Saxifraga tenuis (Wahlenb.) H. Sm. ex Lindm."""	"""Klimešová, pers. obs."""
"""Saxifraga tridactylites L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Scabiosa atropurpurea L."""	"""Schubert et al. (1987)"""
"""Scabiosa canescens Waldst. et Kit."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Scabiosa columbaria L."""	""" Kutschera and Lichtenegger (1982); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Scabiosa lucida Vill."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Scabiosa ochroleuca L."""	"""Kutschera and Lichtenegger (1992); Rysin and Rysina (1987); Schubert et al. (1987); Klimešová, pers. obs."""
"""Scandix pecten-veneris L."""	"""Schubert et al. (1987)"""
"""Scheuchzeria palustris L."""	"""Loew (1908a); Schubert et al. (1987); Klimešová, pers. obs."""
"""Schoenoplectus lacustris (L.) Palla"""	"""Schubert et al. (1987)"""
"""Schoenoplectus pungens (Vahl) Palla"""	"""Schubert et al. (1987)"""
"""Schoenoplectus supinus (L.) Palla"""	"""Schubert et al. (1987)"""
"""Schoenoplectus tabernaemontani (C. C. Gmel.) Palla"""	"""Schubert et al. (1987)"""
"""Schoenoplectus triqueter (L.) Palla"""	"""Schubert et al. (1987)"""
"""Schoenus ferrugineus L."""	"""Diemer and Pfadenhauer (1987); Schubert et al. (1987)"""
"""Schoenus nigricans L."""	"""Schubert et al. (1987)"""
"""Scilla bifolia L."""	"""Loew and Kirchner (1934i); Lukasiewicz (1962); Schubert et al. (1987); Wydler (1856)"""
"""Scirpoides holoschoenus (L.) Soják"""	"""Schubert et al. (1987)"""
"""Scirpus radicans Schkuhr"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Scirpus sylvaticus L."""	"""Kutschera and Lichtenegger (1982); Lukasiewicz (1962); Schubert et al. (1987); Troll (1941-1942)"""
"""Scleranthus annuus L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Scleranthus perennis L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Scleranthus polycarpos L."""	"""Schubert et al. (1987)"""
"""Scleranthus verticillatus Tausch"""	"""Schubert et al. (1987)"""
"""Sclerochloa dura (L.) P. Beauv."""	"""Schubert et al. (1987)"""
"""Scolochloa festucacea (Willd.) Link"""	"""Schubert et al. (1987)"""
"""Scopolia carniolica Jacq."""	"""Lukasiewicz (1962); Sandina (1977)"""
"""Scorzonera austriaca Willd."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Scorzonera cana (C. A. Mey.) Griseb."""	"""Kutschera and Lichtenegger (1992)"""
"""Scorzonera hispanica L."""	"""Beijerinck (1887); Schubert et al. (1987)"""
"""Scorzonera humilis L."""	"""Colling et al. (2002); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Scorzonera laciniata L."""	"""Schubert et al. (1987)"""
"""Scorzonera parviflora Jacq."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992)"""
"""Scorzonera purpurea L."""	"""Schubert et al. (1987)"""
"""Scorzoneroides autumnalis (L.) Moench"""	"""Grime et al. (1988); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Scorzoneroides helvetica (Mérat) Holub"""	"""Hartmann (1957); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Scorzoneroides montana (Lam.) Holub"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Scrophularia auriculata L."""	"""Schubert et al. (1987)"""
"""Scrophularia canina L."""	"""Schubert et al. (1987)"""
"""Scrophularia canina subsp. hoppii (W. D. J. Koch) P. Fourn."""	"""Schubert et al. (1987)"""
"""Scrophularia nodosa L."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Scrophularia scopolii Hoppe ex Pers."""	"""Klimešová, pers. obs."""
"""Scrophularia umbrosa Dumort."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Scrophularia vernalis L."""	"""Schubert et al. (1987)"""
"""Scutellaria alpina L."""	"""Lukasiewicz (1962)"""
"""Scutellaria altissima L."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Scutellaria galericulata L."""	"""Benneker (1915); Schubert et al. (1987)"""
"""Scutellaria hastifolia L."""	"""Schubert et al. (1987)"""
"""Scutellaria minor Huds."""	"""Schubert et al. (1987)"""
"""Secale cereale L."""	"""Schubert et al. (1987)"""
"""Securigera varia (L.) Lassen"""	"""Beijerinck (1887); Christiansen (1938-42); Jäger and Werner (2002); Kutschera (1960); Rauh (1937); Wehsarg (1954); Klimešová, pers. obs."""
"""Sedum acre L."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Sedum aizoon L."""	"""Lukasiewicz (1962)"""
"""Sedum album L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Sedum alpestre Vill."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Sedum annuum L."""	"""Schubert et al. (1987)"""
"""Sedum atratum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Sedum cepaea L."""	"""Schubert et al. (1987)"""
"""Sedum dasyphyllum L."""	"""Möbius (1940); Schubert et al. (1987); Velenovský (1904)"""
"""Sedum forsterianum Sm."""	"""Schubert et al. (1987)"""
"""Sedum hispanicum L."""	"""Schubert et al. (1987)"""
"""Sedum reflexum L."""	"""Schubert et al. (1987)"""
"""Sedum rubens L."""	"""Schubert et al. (1987)"""
"""Sedum sexangulare L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Sedum spurium M. Bieb."""	"""Schubert et al. (1987)"""
"""Sedum villosum L."""	"""Schubert et al. (1987)"""
"""Selaginella helvetica (L.) Spring"""	"""Schubert et al. (1987)"""
"""Selaginella selaginoides (L.) P. Beauv. ex Schrank et Mart."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Selinum carvifolia (L.) L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Sempervivum arachnoideum L."""	"""Rauh (1939); Schubert et al. (1987)"""
"""Sempervivum tectorum L."""	"""Lukasiewicz (1962); Rauh (1939); Schubert et al. (1987)"""
"""Senecio abrotanifolius L. subsp. abrotanifolius"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Senecio alpinus (L.) Scop."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Senecio aquaticus Hill"""	"""Schmidt (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Senecio cacaliaster Lam."""	"""Klimešová, pers. obs."""
"""Senecio cambrensis Rosser"""	"""Ingram and Noltie (1995)"""
"""Senecio doronicum (L.) L."""	"""Hess (1909); Schmidt (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Senecio erraticus Bertol."""	"""Schubert et al. (1987)"""
"""Senecio erucifolius L."""	"""Lukasiewicz (1962); Schmidt (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Senecio incanus subsp. carniolicus (Willd.) Braun-Blanq."""	"""Schubert et al. (1987)"""
"""Senecio jacobaea L."""	"""Bain (1991); Cameron (1935); Grime et al. (1988); Harper and Wood (1957); Kutschera and Lichtenegger (1992); Schmidt (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Senecio nemorensis agg. """	"""Schmidt (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Senecio ovatus (G. Gaertn. et al.) Willd."""	"""Schmidt (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Senecio paludosus L."""	"""Schmidt (1983)"""
"""Senecio sarracenicus L."""	"""Schmidt (1983); Schubert et al. (1987)"""
"""Senecio squalidus L."""	"""Schmidt (1983)"""
"""Senecio subalpinus W. D. J. Koch"""	"""Kutschera and Lichtenegger (1992); Schmidt (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Senecio sylvaticus L."""	"""Schubert et al. (1987)"""
"""Senecio umbrosus Waldst. et Kit."""	"""Klimešová, pers. obs."""
"""Senecio vernalis Waldst. et Kit."""	"""Schmidt (1983); Schubert et al. (1987)"""
"""Senecio viscosus L."""	"""Schmidt (1983); Schubert et al. (1987)"""
"""Senecio vulgaris L."""	"""Schmidt (1983); Schubert et al. (1987); Klimešová, pers. obs."""
"""Serapias vomeracea (Burm. f.) Briq."""	"""Ziegenspeck (1936)"""
"""Serratula tinctoria L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Seseli annuum L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Seseli hippomarathrum Jacq."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Seseli osseum Crantz"""	"""Kutschera and Lichtenegger (1992)"""
"""Sesleria caerulea (L.) Ard."""	"""Dixon (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Sesleria ovata (Hoppe) A. Kern."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Sesleria sphaerocephala Ard."""	"""Klimešová, pers. obs."""
"""Sesleria uliginosa Opiz"""	"""Schubert et al. (1987)"""
"""Setaria italica (L.) P. Beauv."""	"""Schubert et al. (1987)"""
"""Setaria pumila (Poir.) Roem. et Schult."""	"""Schubert et al. (1987); Steel et al. (1983)"""
"""Setaria verticillata (L.) P. Beauv."""	"""Schubert et al. (1987); Steel et al. (1983)"""
"""Setaria verticilliformis Dumort."""	"""Schubert et al. (1987); Steel et al. (1983)"""
"""Setaria viridis (L.) P. Beauv."""	"""Schubert et al. (1987)"""
"""Sherardia arvensis L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Sibbaldia procumbens L."""	"""Hartmann (1957); Schubert et al. (1987)"""
"""Sigesbeckia jorullensis Kunth"""	"""Schubert et al. (1987)"""
"""Silaum silaus (L.) Schinz et Thell."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Silene acaulis (L.) Jacq. s.str."""	"""Hartmann (1957); Jones et al. (1962); Lichtenegger et al. (1997); Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Silene alpestris Jacq."""	"""Klimešová, pers. obs."""
"""Silene baccifera (L.) Durande"""	"""Schubert et al. (1987)"""
"""Silene chlorantha (Willd.) Ehrh."""	"""Schubert et al. (1987)"""
"""Silene conica L."""	"""Schubert et al. (1987)"""
"""Silene dichotoma Ehrh."""	"""Schubert et al. (1987)"""
"""Silene dioica (L.) Clairv."""	"""Baker (1947); Dubard (1903); Grime et al. (1988); Korsmo (1930); Schubert et al. (1987); Klimešová, pers. obs."""
"""Silene gallica L."""	"""Schubert et al. (1987)"""
"""Silene latifolia subsp. alba (Mill.) Greuter et Burdet"""	"""Baker (1947); Korsmo (1930); Kutschera (1960); McNeill (1977); Rauh (1937); Rysin and Rysina (1987); Schubert et al. (1987); Klimešová, pers. obs."""
"""Silene nemoralis Waldst. et Kit."""	"""Schubert et al. (1987)"""
"""Silene noctiflora L."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Silene nutans L."""	"""Hepper (1956); Kutschera and Lichtenegger (1992); Rauh (1937); Rysin and Rysina (1987); Schubert et al. (1987); Wydler (1859); Klimešová, pers. obs."""
"""Silene otites (L.) Wib."""	"""Kutschera and Lichtenegger (1992); Rauh (1937); Schubert et al. (1987)"""
"""Silene pusilla Waldst. & Kit."""	"""Schubert et al. (1987)"""
"""Silene tatarica (L.) Pers."""	"""Schubert et al. (1987)"""
"""Silene viscosa (L.) Pers."""	"""Schubert et al. (1987)"""
"""Silene vulgaris (Moench) Garcke"""	"""Beijerinck (1887); Hess (1909); Korsmo (1930); Kutschera (1960); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Silene vulgaris subsp. glareosa (Jord.) Marsden-Jones & Turrill"""	"""Beijerinck (1887); Hess (1909); Korsmo (1930); Kutschera (1960); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Silphium perfoliatum L."""	"""Lukasiewicz (1962)"""
"""Silybum marianum (L.) Gaertn."""	"""Schubert et al. (1987)"""
"""Sinapis alba L."""	"""Schubert et al. (1987)"""
"""Sinapis arvensis L."""	"""Jäger and Werner (2002); Schubert et al. (1987); Klimešová, pers. obs."""
"""Sisymbrium altissimum L."""	"""Schubert et al. (1987)"""
"""Sisymbrium austriacum Jacq."""	"""Schubert et al. (1987)"""
"""Sisymbrium irio L."""	"""Schubert et al. (1987)"""
"""Sisymbrium loeselii L."""	"""Schubert et al. (1987)"""
"""Sisymbrium officinale (L.) Scop."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Sisymbrium orientale L."""	"""Schubert et al. (1987)"""
"""Sisymbrium polymorphum (Murray) Roth"""	"""Towpasz and Trzcinska-Tacik (1998)"""
"""Sisymbrium strictissimum L."""	"""Schubert et al. (1987)"""
"""Sisymbrium supinum L."""	"""Schubert et al. (1987)"""
"""Sisymbrium volgense E. Fourn."""	"""Schubert et al. (1987)"""
"""Sisyrinchium montanum Greene"""	"""Buxbaum (1934b); Schubert et al. (1987)"""
"""Sium latifolium L."""	"""Beijerinck (1887); Glück (1911); Jäger and Werner (2002); Rauh (1937)"""
"""Sium sisarum L."""	"""Rauh (1941)"""
"""Smyrnium perfoliatum L."""	"""Schubert et al. (1987)"""
"""Solanum alatum Moench"""	"""Schubert et al. (1987)"""
"""Solanum dulcamara L."""	"""Beijerinck (1887); Grime et al. (1988); Jäger and Werner (2002); Rauh (1937)"""
"""Solanum lycopersicum L."""	"""Schubert et al. (1987)"""
"""Solanum nigrum L."""	"""Schubert et al. (1987)"""
"""Solanum physalifolium Rusby"""	"""Schubert et al. (1987)"""
"""Solanum tuberosum L."""	"""Kutschera (1960); Serebrjakov (1952)"""
"""Solanum villosum Mill."""	"""Schubert et al. (1987)"""
"""Soldanella alpina L."""	"""Schubert et al. (1987)"""
"""Soldanella hungarica Simonk."""	"""Klimešová, pers. obs."""
"""Soldanella minima Hoppe"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Soldanella montana Willd."""	"""Schubert et al. (1987)"""
"""Soldanella pusilla Baumg."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Solidago canadensis L."""	"""Cain (1990); Lukasiewicz (1962); Schmid et al. (1995); Schubert et al. (1987); Werner et al. (1980); Klimešová, pers. obs."""
"""Solidago gigantea Aiton"""	"""Schubert et al. (1987)"""
"""Solidago graminifolia (L.) Salisb."""	"""Schubert et al. (1987)"""
"""Solidago virgaurea L. subsp. virgaurea """	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Sonchus arvensis L."""	"""Korsmo (1930); Kutschera (1960); Lemna and Messersmith (1990); Rauh (1937); Schubert et al. (1987); Wehsarg (1954); Klimešová, pers. obs."""
"""Sonchus asper (L.) Hill"""	"""Lewin (1948); Schubert et al. (1987)"""
"""Sonchus bulbosus (L.) N. Kilian & Greuter"""	"""Troll (1941-1942)"""
"""Sonchus oleraceus L."""	"""Lewin (1948); Schubert et al. (1987); Schubert et al. (1987)"""
"""Sonchus palustris L."""	"""Jäger and Werner (2002); Lukasiewicz (1962); Klimešová, pers. obs."""
"""Sorbus aria agg. """	"""Klimešová, pers. obs."""
"""Sorbus aucuparia L."""	"""Fritsch (1927); Jäger and Werner (2002); Raspé et al. (2000); Vakhramejeva (1975)"""
"""Sorbus bohemica Kovanda"""	"""Klimešová, pers. obs."""
"""Sorbus domestica L."""	"""Jäger and Werner (2002)"""
"""Sorbus torminalis (L.) Crantz"""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Sorghum halepense (L.) Pers."""	"""Volkart et al. (1908); Warwick and Black (1983)"""
"""Sparganium angustifolium Michx."""	"""Schubert et al. (1987)"""
"""Sparganium emersum Rehmann"""	"""Barrat-Segretain et al. (1998); Bojko and Aleksejev (1990); Glück (1911); Schubert et al. (1987); Klimešová, pers. obs."""
"""Sparganium erectum L."""	"""Cook (1962); Grime et al. (1988); Irmisch (1850); Loew (1908b); Schubert et al. (1987)"""
"""Sparganium natans L."""	"""Loew (1908b); Schubert et al. (1987)"""
"""Spartina alterniflora Loisel."""	"""Scott Metcalfe et al. (1986)"""
"""Spartina anglica C. E. Hubb."""	"""Schubert et al. (1987)"""
"""Spartina x townsendii H. Groves & J. Groves"""	"""Kutschera and Lichtenegger (1982); Oliver (1925)"""
"""Spergula arvensis L."""	"""New (1961); Schubert et al. (1987)"""
"""Spergula morisonii Boreau"""	"""Schubert et al. (1987)"""
"""Spergula pentandra L."""	"""Schubert et al. (1987)"""
"""Spergularia echinosperma (Èelak.) Asch. et Graebn."""	"""Schubert et al. (1987)"""
"""Spergularia marina (L.) Besser"""	"""Schubert et al. (1987)"""
"""Spergularia media (L.) C. Presl"""	"""Schubert et al. (1987)"""
"""Spergularia rubra (L.) J. Presl et C. Presl"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Spergularia segetalis (L.) G. Don"""	"""Schubert et al. (1987)"""
"""Spiraea salicifolia L."""	"""Jäger and Werner (2002)"""
"""Spiranthes aestivalis (Poir.) Rich."""	"""Füller (1984); Irmisch (1850); Schubert et al. (1987); Ziegenspeck (1936)"""
"""Spiranthes spiralis (L.) Chevall."""	"""Irmisch (1850); Schubert et al. (1987); Ziegenspeck (1936)"""
"""Spirodela polyrhiza (L.) Schleid."""	"""Appenroth (2002); Bartley and Spence (1987); Landolt and Kandeler (1987); Ludwig (1934); Newton et al. (1978); Schubert et al. (1987)"""
"""Stachys alpina L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Stachys annua (L.) L."""	"""Schubert et al. (1987)"""
"""Stachys arvensis (L.) L."""	"""Schubert et al. (1987)"""
"""Stachys germanica L."""	"""Dunn (1997); Schubert et al. (1987)"""
"""Stachys palustris L."""	"""Glück (1911); Kutschera (1960); Schubert et al. (1987); Klimešová, pers. obs."""
"""Stachys recta L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Stachys sylvatica L."""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Staphylea pinnata L."""	"""Jäger and Werner (2002)"""
"""Stellaria alsine Grimm"""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Stellaria crassifolia Ehrh."""	"""Schubert et al. (1987)"""
"""Stellaria graminea L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Stellaria holostea L."""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Stellaria longifolia Muhl. ex Willd."""	"""Schubert et al. (1987)"""
"""Stellaria longipes Goldie"""	"""Maillette et al. (2000)"""
"""Stellaria media agg. """	"""Grime et al. (1988); Schubert et al. (1987); Sobey (1981); Turkington et al. (1980)"""
"""Stellaria neglecta Weihe"""	"""Schubert et al. (1987)"""
"""Stellaria nemorum L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Stellaria pallida (Dumort.) Crép."""	"""Schubert et al. (1987)"""
"""Stellaria palustris Ehrh. ex Hoffm."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Stipa calamagrostis (L.) Wahlenb."""	"""Guárdia et al. (2000); Schubert et al. (1987)"""
"""Stipa capillata L."""	"""Kutschera and Lichtenegger (1982); Mühlberg (1967); Schubert et al. (1987)"""
"""Stipa pennata agg. """	"""Schubert et al. (1987)"""
"""Stratiotes aloides L."""	"""Erixon (1979); Glück (1906); Graebner and Kirchner (1908); Jäger and Werner (2002); Kornatowski (1979)"""
"""Streptopus amplexifolius (L.) DC."""	"""Bernátsky and Kirchner (1934); Schubert et al. (1987); Klimešová, pers. obs."""
"""Stuckenia filiformis (Pers.) Börner"""	"""Graebner and Flahaut (1908); Hutchinson (1975); Jäger and Werner (2002)"""
"""Stuckenia pectinata (L.) Börner"""	"""Bartley and Spence (1987); Graebner and Flahaut (1908); Hangelbroek et al. (2003); Hutchinson (1975); Jäger and Werner (2002); Kadono (1984); Lapirov (1995); Madsen and Adams (1988)"""
"""Suaeda maritima (L.) Dumort."""	"""Chapman (1947b); Schubert et al. (1987)"""
"""Suaeda vera Forssk. ex J. F. Gmel."""	"""Chapman (1947); Oliver and Salisbury (1913)"""
"""Subularia aquatica L."""	"""Schubert et al. (1987); Woodhead (1951)"""
"""Succisa pratensis Moench"""	"""Adams (1955); Grime et al. (1988); Kutschera and Lichtenegger (1992); Serebrjakov (1952); Schubert et al. (1987); Vergeer et al. (2003); Klimešová, pers. obs."""
"""Succisella inflexa (Kluk) Beck"""	"""Schubert et al. (1987)"""
"""Swertia perennis L."""	"""Schubert et al. (1987)"""
"""Symphoricarpos albus (L.) S. F. Blake"""	"""Gilbert (1995); Jäger and Werner (2002)"""
"""Symphyotrichum laeve (L.) A. Löve et D. Löve"""	"""Schubert et al. (1987)"""
"""Symphyotrichum novae-angliae (L.) G. L. Nesom"""	"""Schubert et al. (1987)"""
"""Symphyotrichum novi-belgii agg. """	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Symphyotrichum tradescantii (L.) G. L. Nesom"""	"""Schubert et al. (1987)"""
"""Symphyotrichum x salignum (Willd.) G. L. Nesom"""	"""Schubert et al. (1987)"""
"""Symphyotrichum x versicolor (Willd.) G. L. Nesom"""	"""Schubert et al. (1987)"""
"""Symphytum bulbosum Schimp."""	"""Schubert et al. (1987)"""
"""Symphytum officinale L."""	"""Korsmo (1930); Kutschera (1960); Lukasiewicz (1962); Schubert et al. (1987); Wehsarg (1954); Klimešová, pers. obs."""
"""Symphytum tuberosum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Symphytum x uplandicum Nyman"""	"""Schubert et al. (1987)"""
"""Syringa persica L."""	"""Beijerinck (1887)"""
"""Syringa vulgaris L."""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Tagetes patula L."""	"""Schubert et al. (1987)"""
"""Tanacetum corymbosum (L.) Sch. Bip."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Tanacetum partheniifolium (Willd.) Sch. Bip."""	"""Schubert et al. (1987)"""
"""Tanacetum parthenium (L.) Sch. Bip."""	"""Schubert et al. (1987)"""
"""Tanacetum vulgare L."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Taraxacum alpinum agg."""	"""Jäger and Werner (2002)"""
"""Taraxacum bessarabicum (Hornem.) Hand.-Mazz."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992)"""
"""Taraxacum sect. Erythrosperma (H. Lindb.) Dahlst."""	"""Jäger and Werner (2002)"""
"""Taraxacum sect. Naevosa M. P. Christ."""	"""Klimešová, pers. obs."""
"""Taraxacum sect. Palustria (H. Lindb.) Dahlst."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992)"""
"""Taraxacum sect. Taraxacum Kirschner et al."""	"""Jäger and Werner (2002); Jermakova (1990); Korsmo (1930); Kutschera (1960); Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Taraxacum serotinum (Waldst. et Kit.) Fisch."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992)"""
"""Taraxacum spectabile Dahlst."""	"""Jäger and Werner (2002)"""
"""Taxus baccata L."""	"""Thomas and Polwart (2003)"""
