Species_name	References
"""Androsace helvetica (L.) All."""	"""Rauh (1939); Schubert et al. (1987)"""
"""Androsace lactea L."""	"""Rauh (1939); Schubert et al. (1987)"""
"""Androsace maxima L."""	"""Schubert et al. (1987)"""
"""Androsace obtusifolia All."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Androsace septentrionalis L."""	"""Schubert et al. (1987); Troll (1941-1942)"""
"""Androsace villosa L."""	"""Rauh (1939)"""
"""Anemonastrum narcissiflorum (L.) Holub"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Anemone baldensis L."""	"""Klimešová, pers. obs."""
"""Anemone dichotoma L."""	"""Lukasiewicz (1962)"""
"""Anemone nemorosa L."""	"""Canulo (1991); Grime et al. (1988); Irmisch (1850); Lukasiewicz (1962); Shirreffs (1985); Schubert et al. (1987); Troll (1941-1942); Klimešová, pers. obs."""
"""Anemone ranunculoides L."""	"""Irmisch (1850); Schubert et al. (1987)"""
"""Anemone sylvestris L."""	"""Beijerinck (1887); Irmisch (1850); Möbius (1940); Rauh (1937); Schubert et al. (1987); Starostenkova (1976); Wydler (1859)"""
"""Anemone trifolia L."""	"""Klimešová, pers. obs."""
"""Anethum graveolens L."""	"""Schubert et al. (1987)"""
"""Angelica archangelica L."""	"""Schubert et al. (1987)"""
"""Angelica palustris (Besser) Hoffm."""	"""Schubert et al. (1987)"""
"""Angelica sylvestris L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Antennaria carpatica (Wahlenb.) Bluff & Fingerh."""	"""Schubert et al. (1987)"""
"""Antennaria dioica (L.) Gaertn."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Anthemis arvensis L."""	"""Schubert et al. (1987)"""
"""Anthemis cotula L."""	"""Schubert et al. (1987)"""
"""Anthemis ruthenica M. Bieb."""	"""Schubert et al. (1987)"""
"""Anthericum liliago L."""	"""Irmisch (1850); Kutschera and Lichtenegger (1982); Loew and Kirchner (1934a); Schubert et al. (1987)"""
"""Anthericum ramosum L."""	"""Irmisch (1850); Kutschera and Lichtenegger (1982); Loew and Kirchner (1934a); Schubert et al. (1987); Klimešová, pers. obs."""
"""Anthoxanthum aristatum Boiss."""	"""Schubert et al. (1987)"""
"""Anthoxanthum odoratum L."""	"""Kutschera and Lichtenegger (1982); Sammul et al. (2000); Volkart et al. (1908); Klimešová, pers. obs."""
"""Anthriscus caucalis M. Bieb."""	"""Schubert et al. (1987)"""
"""Anthriscus cerefolium (L.) Hoffm."""	"""Schubert et al. (1987)"""
"""Anthriscus nitidus (Wahlenb.) Hazsl."""	"""Schubert et al. (1987)"""
"""Anthriscus sylvestris (L.) Hoffm."""	"""Grime et al. (1988); Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Troll (1941-1942); Klimešová, pers. obs."""
"""Anthyllis montana L."""	"""Christiansen (1938-42)"""
"""Anthyllis vulneraria L."""	"""Christiansen (1938-42); Schubert et al. (1987); Klimešová, pers. obs."""
"""Anthyllis vulneraria subsp. carpatica (Pant.) Nyman"""	"""Christiansen (1938-42); Schubert et al. (1987); Klimešová, pers. obs."""
"""Antirrhinum majus L."""	"""Jäger and Werner (2002); Rauh (1937)"""
"""Apera interrupta (L.) P. Beauv."""	"""Schubert et al. (1987)"""
"""Apera spica-venti (L.) P. Beauv."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Aphanes arvensis L."""	"""Schubert et al. (1987)"""
"""Aphanes australis Rydb."""	"""Schubert et al. (1987)"""
"""Apium graveolens L."""	"""Schubert et al. (1987)"""
"""Apium inundatum (L.) Rchb. f."""	"""Schubert et al. (1987)"""
"""Apium nodiflorum (L.) Lag."""	"""Glück (1911); Grime et al. (1988); Schubert et al. (1987)"""
"""Apium repens (Jacq.) Lag."""	"""Schubert et al. (1987)"""
"""Aposeris foetida (L.) Less."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Aquilegia atrata W. D. J. Koch"""	"""Jäger and Werner (2002)"""
"""Aquilegia einseleana F. W. Schultz"""	"""Jäger and Werner (2002)"""
"""Aquilegia vulgaris L."""	"""Dubard (1903); Jäger and Werner (2002)"""
"""Arabidopsis arenosa (L.) Lawalrée"""	"""Lepš (2004); Schubert et al. (1987); Klimešová, pers. obs."""
"""Arabidopsis halleri (L.) O'Kane et Al-Shehbaz"""	"""Jäger and Reckardt (1998); Kutschera and Lichtenegger (1992)"""
"""Arabidopsis petraea (L.) V. I. Dorof."""	"""Jäger and Werner (2002)"""
"""Arabidopsis suecica (Fr.) Norrl."""	"""Schubert et al. (1987)"""
"""Arabidopsis thaliana (L.) Heynh."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Arabis allionii DC."""	"""Schubert et al. (1987)"""
"""Arabis alpina L."""	"""Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Arabis auriculata Lam."""	"""Schubert et al. (1987)"""
"""Arabis caerulea (All.) Haenke"""	"""Hess (1909); Schubert et al. (1987); Wydler (1859); Klimešová, pers. obs."""
"""Arabis caucasica Willd."""	"""Schubert et al. (1987)"""
"""Arabis ciliata Clairv."""	"""Schubert et al. (1987)"""
"""Arabis hirsuta (L.) Scop."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Arabis nemorensis (Hoffm.) W. D. J. Koch"""	"""Schubert et al. (1987)"""
"""Arabis pumila Jacq."""	"""Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Arabis sagittata (Bertol.) DC."""	"""Beijerinck (1887); Schubert et al. (1987)"""
"""Arabis scabra All."""	"""Pring (1961)"""
"""Arabis soyeri Reut. & Huet"""	"""Klimešová, pers. obs."""
"""Arabis soyeri subsp. subcoriacea (Gren.) Breistr."""	"""Klimešová, pers. obs."""
"""Arabis stellulata BERTOL. in DESV."""	"""Klimešová, pers. obs."""
"""Arbutus unedo L."""	"""Grevillius and Kirchner (1925a); Sealy and Webb (1949)"""
"""Arctium lappa L."""	"""Gross et al. (1980); Schubert et al. (1987)"""
"""Arctium minus (Hill) Bernh."""	"""Gross et al. (1980); Schubert et al. (1987)"""
"""Arctium nemorosum Lej."""	"""Schubert et al. (1987)"""
"""Arctium tomentosum Mill."""	"""Schubert et al. (1987)"""
"""Arctostaphylos alpinus (L.) Spreng."""	"""Grevillius and Kirchner (1925a); Warming (1908)"""
"""Arctostaphylos uva-ursi (L.) Spreng."""	"""Grevillius and Kirchner (1925a); Salemaa et al. (1999); Warming (1908); Klimešová, pers. obs."""
"""Aremonia agrimonoides (L.) DC."""	"""Schubert et al. (1987)"""
"""Arenaria ciliata L."""	"""Hess (1909); Schubert et al. (1987)"""
"""Arenaria leptoclados (Rchb.) Guss."""	"""Schubert et al. (1987)"""
"""Arenaria procera Spreng. subsp. procera"""	"""Lukasiewicz (1962)"""
"""Arenaria serpyllifolia agg. """	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Aristolochia clematitis L."""	"""Beijerinck (1887); Jäger and Werner (2002); Lukasiewicz (1962); Wehsarg (1954)"""
"""Armeria alliacea (Cav.) Hoffmanns. & Link"""	"""Schubert et al. (1987)"""
"""Armeria maritima (Mill.) Willd."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Woodell and Dale (1993); Klimešová, pers. obs."""
"""Armeria maritima subsp. alpina (DC.) P. Silva"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Woodell and Dale (1993); Klimešová, pers. obs."""
"""Armoracia rusticana G. Gaertn. et al."""	"""Beijerinck (1887); Jäger and Werner (2002); Lukasiewicz (1962); Möbius (1940); Rauh (1937); Klimešová, pers. obs."""
"""Arnica montana L."""	"""Kutschera and Lichtenegger (1992); Luijten et al. (1996); Schubert et al. (1987); Klimešová, pers. obs."""
"""Arnoseris minima (L.) Schweigg. et Körte"""	"""Schubert et al. (1987)"""
"""Arrhenatherum elatius (L.) J. Presl et C. Presl"""	"""Kutschera and Lichtenegger (1982)"""
"""Arrhenatherum elatius var. bulbosum (Willd.) Spenn."""	"""Kutschera and Lichtenegger (1982)"""
