"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Plant.height_m_BIEN"
"Anthoxanthum","Anthoxanthum aristatum_Anthoxanthum odoratum","",443.709881081081,32.4515765478082,NA,259.883662358333,21.50307,"5",0.558760862068965,0.194097446022727
"Anthoxanthum aristatum","Anthoxanthum aristatum","",358.5,30.752,NA,224.442,NA,"5",NA,0.159545454545455
"Anthoxanthum odoratum","Anthoxanthum odoratum","",528.919762162162,34.1511530956164,NA,295.325324716667,21.50307,"5",0.558760862068965,0.2286494375
"Anthriscus","Anthriscus caucalis_Anthriscus cerefolium_Anthriscus sylvestris","",8978.94944444444,39.6829416485881,NA,184.609583333333,NA,"5_5_6",2.37710375641026,0.55015873015873
"Anthriscus caucalis","Anthriscus caucalis","",3529.09833333333,35.6113142105263,NA,179.77875,NA,"5",1.2500805,0.42
"Anthriscus cerefolium","Anthriscus cerefolium","",543.75,52.94,NA,167.05,NA,"5",2.05,0.397142857142857
"Anthriscus sylvestris","Anthriscus sylvestris","",22864,30.4975107352381,NA,207,NA,"5_6",3.83123076923077,0.833333333333333
"Anthriscus sylvestris subsp. sylvestris","Anthriscus sylvestris","",22864,30.4975107352381,NA,207,NA,"5_6",3.83123076923077,0.833333333333333
"Anthyllis circinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthyllis vulneraria","Anthyllis vulneraria","",1007,16.6440607106667,NA,174.960575775,NA,"5",3.04793333333333,0.1936
"Anthyllis vulneraria subsp. vulneraria","Anthyllis vulneraria","",1007,16.6440607106667,NA,174.960575775,NA,"5",3.04793333333333,0.1936
"Antirrhinum majus","Antirrhinum majus","",303,17.2,NA,165,NA,"6",0.146,0.440625
"Apera interrupta","Apera interrupta","",34.5,35.2777777777778,NA,257.714285714286,NA,"6",NA,0.143571428571429
"Apera spica-venti","Apera spica-venti","",757.5,19.1333333333333,NA,252,NA,"6",0.102,0.55
"Apera spica-venti subsp. spica-venti","Apera spica-venti","",757.5,19.1333333333333,NA,252,NA,"6",0.102,0.55
"Aphanes arvensis","Aphanes arvensis","",38,17.7,NA,264,NA,"5",0.2034,0.0916666666666667
"Aphanes australis","Aphanes australis","",70.75,30.4436363636364,NA,203.947777777778,NA,"5",0.29,0.0685714285714286
"Aphyllanthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aphyllanthes monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apium","Apium graveolens","",6432,18.2,NA,167,NA,"7",0.365,0.50625
"Apium graveolens","Apium graveolens","",6432,18.2,NA,167,NA,"7",0.365,0.50625
"Aquilegia","Aquilegia vulgaris","",9402,26.005882355,NA,295,NA,"5_6",1.50166666666667,0.58
"Aquilegia vulgaris","Aquilegia vulgaris","",9402,26.005882355,NA,295,NA,"5_6",1.50166666666667,0.58
