"original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"Sonchus asper","Sonchus asper","wfo-0000031264","species","(L.) Hill","Asteraceae","Sonchus","Accepted","MATCH"
"Sonchus asper asper","Sonchus asper","wfo-0000031264","species","(L.) Hill","Asteraceae","Sonchus","Accepted","FUZZY"
"Sonchus asper glaucescens","Sonchus asper","wfo-0000031264","species","(L.) Hill","Asteraceae","Sonchus","Accepted","FUZZY"
"Sonchus oleraceus","Sonchus oleraceus","wfo-0000069236","species","L.","Asteraceae","Sonchus","Accepted","MATCH"
"Sonchus tenerrimus","Sonchus tenerrimus","wfo-0000044509","species","L.","Asteraceae","Sonchus","Accepted","MATCH"
"Sorbus","Sorbus","wfo-4000035797","genus","L.","Rosaceae","Sorbus","Accepted","MATCH"
"Sorbus aucuparia","Sorbus aucuparia","wfo-0001016186","species","L.","Rosaceae","Sorbus","Accepted","MATCH"
"Sorbus aucuparia aucuparia","Sorbus aucuparia","wfo-0001016186","species","L.","Rosaceae","Sorbus","Accepted","FUZZY"
"Sorghum","Sorghum","wfo-4000035801","genus","Moench","Poaceae","Sorghum","Accepted","MATCH"
"Sorghum bicolor","Sorghum bicolor","wfo-0000900184","species","(L.) Moench","Poaceae","Sorghum","Accepted","MATCH"
"Sorghum halepense","Sorghum halepense","wfo-0000900376","species","(L.) Pers.","Poaceae","Sorghum","Accepted","MATCH"
"Sparganium erectum","Sparganium erectum","wfo-0000553880","species","L.","Typhaceae","Sparganium","Accepted","MATCH"
"Spergula","Spergula","wfo-4000035927","genus","L.","Caryophyllaceae","Spergula","Accepted","MATCH"
"Spergula arvensis","Spergula arvensis","wfo-0000439880","species","L.","Caryophyllaceae","Spergula","Accepted","MATCH"
"Spergula arvensis chieusseana","Spergula arvensis","wfo-0000439880","species","L.","Caryophyllaceae","Spergula","Accepted","FUZZY"
"Spergula morisonii","Spergula morisonii","wfo-0000440039","species","Boreau","Caryophyllaceae","Spergula","Accepted","MATCH"
"Spergula pentandra","Spergula pentandra","wfo-0000440022","species","L.","Caryophyllaceae","Spergula","Accepted","MATCH"
"Spergula rubra","Spergula rubra","wfo-0001291353","species","(L.) D.Dietr.","Caryophyllaceae","Spergula","Accepted","MATCH"
