"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Sonchus","Sonchus arvensis_Sonchus asper_Sonchus oleraceus_Sonchus tenerrimus",1.2866225,1.69369,0.7305875,0.6967875,0.1869075,0.4971775,0.5311875,"Sonchus arvensis_Sonchus asper_Sonchus oleraceus_Sonchus tenerrimus",7.375,4.85,6.8,7.15,0.75,7.1,"Sonchus arvensis_Sonchus asper_Sonchus oleraceus_Sonchus tenerrimus","5","Anemochory",0.637289444444444,0.392509259262626
"Sonchus arvensis","Sonchus arvensis",1.54422,1.85329,0.718,0.70484,0.17047,0.38468,0.60945,"Sonchus arvensis",7.2,5.4,6.6,7,0.9,5.2,"Sonchus arvensis","5","Anemochory",0.888,0.560216666666666
"Sonchus arvensis arvensis","Sonchus arvensis",1.54422,1.85329,0.718,0.70484,0.17047,0.38468,0.60945,"Sonchus arvensis",7.2,5.4,6.6,7,0.9,5.2,"Sonchus arvensis","5","Anemochory",0.888,0.560216666666666
"Sonchus arvensis uliginosus","Sonchus arvensis",1.54422,1.85329,0.718,0.70484,0.17047,0.38468,0.60945,"Sonchus arvensis",7.2,5.4,6.6,7,0.9,5.2,"Sonchus arvensis","5","Anemochory",0.888,0.560216666666666
"Sonchus asper","Sonchus asper",1.39902,1.79157,0.7393,0.71983,0.19228,0.57605,0.59493,"Sonchus asper",7.3,NA,6.6,6.7,1,NA,"Sonchus asper","5","Anemochory",0.505,0.281311111121212
"Sonchus asper asper","Sonchus asper",1.39902,1.79157,0.7393,0.71983,0.19228,0.57605,0.59493,"Sonchus asper",7.3,NA,6.6,6.7,1,NA,"Sonchus asper","5","Anemochory",0.505,0.281311111121212
"Sonchus asper glaucescens","Sonchus asper",1.39902,1.79157,0.7393,0.71983,0.19228,0.57605,0.59493,"Sonchus asper",7.3,NA,6.6,6.7,1,NA,"Sonchus asper","5","Anemochory",0.505,0.281311111121212
"Sonchus oleraceus","Sonchus oleraceus",1.28692,1.77374,0.75479,0.72524,0.18283,0.61324,0.56773,"Sonchus oleraceus",7.3,NA,7.7,7.6,0.4,NA,"Sonchus oleraceus","5","Anemochory",0.68875,0.336
"Sonchus tenerrimus","Sonchus tenerrimus",0.91633,1.35616,0.71026,0.63724,0.20205,0.41474,0.35264,"Sonchus tenerrimus",7.7,4.3,6.3,7.3,0.7,9,"Sonchus tenerrimus","5","Anemochory",0.467407777777778,NA
"Sorbus","Sorbus aucuparia",0.06651,1.25203,0.69807,0.1457,0.19486,0.00895,0.13086,"Sorbus aucuparia",6.4,5.8,3.6,NA,0,NA,"Sorbus aucuparia","6","Endozoochory",11.061,205.694081481481
"Sorbus aucuparia","Sorbus aucuparia",0.06651,1.25203,0.69807,0.1457,0.19486,0.00895,0.13086,"Sorbus aucuparia",6.4,5.8,3.6,NA,0,NA,"Sorbus aucuparia","6","Endozoochory",11.061,205.694081481481
"Sorbus aucuparia aucuparia","Sorbus aucuparia",0.06651,1.25203,0.69807,0.1457,0.19486,0.00895,0.13086,"Sorbus aucuparia",6.4,5.8,3.6,NA,0,NA,"Sorbus aucuparia","6","Endozoochory",11.061,205.694081481481
"Sorghum","Sorghum halepense",1.42166,1.78994,0.81313,0.79455,0.15344,0.84207,0.65877,NA,NA,NA,NA,NA,NA,NA,"Sorghum bicolor_Sorghum halepense","2","Local non-specific dispersal",1.61,3.7378
"Sorghum bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sorghum bicolor","2","Local non-specific dispersal",2.1075,2.3756
"Sorghum halepense","Sorghum halepense",1.42166,1.78994,0.81313,0.79455,0.15344,0.84207,0.65877,NA,NA,NA,NA,NA,NA,NA,"Sorghum halepense","2","Local non-specific dispersal",1.1125,5.1
"Sparganium erectum",NA,NA,NA,NA,NA,NA,NA,NA,"Sparganium erectum",NA,NA,NA,NA,NA,7,"Sparganium erectum","6","Endozoochory",0.7475,17.211239
"Spergula","Spergula arvensis_Spergula morisonii_Spergula pentandra",1.63851,1.98120666666667,0.56325,0.547066666666667,0.239063333333333,0.278466666666667,0.51606,"Spergula arvensis_Spergula morisonii_Spergula pentandra",8.23333333333333,2.55,3.1,3.35,0.0666666666666667,5.8,"Spergula arvensis_Spergula morisonii_Spergula pentandra","1","Local non-specific dispersal",0.172138888888889,0.232841077441077
"Spergula arvensis","Spergula arvensis",2.02497,2.12637,0.85174,0.84988,0.13437,0.33786,0.82065,"Spergula arvensis",7,NA,5.7,NA,0,NA,"Spergula arvensis","1","Local non-specific dispersal",0.227666666666667,0.393812121212121
"Spergula arvensis chieusseana","Spergula arvensis",2.02497,2.12637,0.85174,0.84988,0.13437,0.33786,0.82065,"Spergula arvensis",7,NA,5.7,NA,0,NA,"Spergula arvensis","1","Local non-specific dispersal",0.227666666666667,0.393812121212121
"Spergula morisonii","Spergula morisonii",1.29086,1.99132,0.43285,0.39638,0.23996,0.11949,0.38947,"Spergula morisonii",8.9,2.8,1.8,2.5,0,5.8,"Spergula morisonii","1","Local non-specific dispersal",0.16875,0.1619
"Spergula pentandra","Spergula pentandra",1.5997,1.82593,0.40516,0.39494,0.34286,0.37805,0.33806,"Spergula pentandra",8.8,2.3,1.8,4.2,0.2,NA,"Spergula pentandra","1","Local non-specific dispersal",0.12,0.142811111111111
"Spergula rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spergula segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spergularia","Spergularia diandra_Spergularia media_Spergularia rubra",2.09288,2.16962333333333,0.600876666666667,0.598013333333333,0.287656666666667,0.199273333333333,0.3653,"Spergularia diandra_Spergularia media_Spergularia rubra_Spergularia segetalis",8.15,5.55,4.55,5.75,2.75,8,"Spergularia diandra_Spergularia media_Spergularia rubra_Spergularia segetalis","1","Local non-specific dispersal",0.124965277777778,0.0495940707070707
"Spergularia diandra","Spergularia diandra",2.21632,2.12941,0.56897,0.56875,0.33214,0.17201,0.34444,"Spergularia diandra",8.7,3.3,5.3,7.3,4,9,"Spergularia diandra","1","Local non-specific dispersal",0.09,0.015
"Spergularia media","Spergularia media",2.27169,2.27615,0.50366,0.50331,0.30829,0.02358,0.21075,"Spergularia media",7.5,7,5,7.7,6.6,NA,"Spergularia media","1","Local non-specific dispersal",0.208,0.0895776666666666
"Spergularia rubra","Spergularia rubra",1.79063,2.10331,0.73,0.72198,0.22254,0.40223,0.54071,"Spergularia rubra",7.7,4.6,3.9,4,0.4,NA,"Spergularia rubra","1","Local non-specific dispersal",0.129361111111111,0.0442045454545454
"Spergularia segetalis",NA,NA,NA,NA,NA,NA,NA,NA,"Spergularia segetalis",8.7,7.3,4,4,0,7,"Spergularia segetalis","1","Local non-specific dispersal",0.0725,NA
"Sporobolus","Sporobolus indicus",1.39592,2.07197,0.67684,0.65417,0.36489,0.65262,0.37312,"Sporobolus indicus",7.5,4.5,5.5,5.5,0,8.3,"Sporobolus indicus","2","Local non-specific dispersal",0.65,0.155
"Sporobolus indicus","Sporobolus indicus",1.39592,2.07197,0.67684,0.65417,0.36489,0.65262,0.37312,"Sporobolus indicus",7.5,4.5,5.5,5.5,0,8.3,"Sporobolus indicus","2","Local non-specific dispersal",0.65,0.155
"Stachys","Stachys annua_Stachys arvensis_Stachys germanica_Stachys heraclea_Stachys officinalis_Stachys palustris_Stachys recta_Stachys sylvatica",0.78440625,1.66653625,0.62978875,0.4606275,0.22889,0.3708925,0.302195,"Stachys annua_Stachys arvensis_Stachys germanica_Stachys heraclea_Stachys officinalis_Stachys palustris_Stachys recta_Stachys sylvatica",7.44285714285714,4.575,5.48571428571429,7.2,0.05,5.84,"Stachys annua_Stachys arvensis_Stachys germanica_Stachys heraclea_Stachys officinalis_Stachys palustris_Stachys recta_Stachys sylvatica","1_2","Local non-specific dispersal",0.450197916666667,1.71520869841269
"Stachys annua","Stachys annua",1.76618,1.97427,0.82322,0.81799,0.14517,0.56584,0.75301,"Stachys annua",7.2,3.4,4.6,8,0,6.1,"Stachys annua","1","Local non-specific dispersal",0.24,1.03533333333333
"Stachys arvensis","Stachys arvensis",1.30936,1.90316,0.68082,0.64573,0.24251,0.67787,0.54321,"Stachys arvensis",7.6,4.6,5.9,NA,0.2,NA,"Stachys arvensis","1","Local non-specific dispersal",0.19125,0.699108333333333
"Stachys germanica","Stachys germanica",0.64752,1.60681,0.59423,0.44516,0.27568,0.38308,0.18574,"Stachys germanica",7.1,3.3,NA,7.8,0,6.5,"Stachys germanica","2","Local non-specific dispersal",0.612333333333333,1.57363766666666
"Stachys germanica germanica","Stachys heraclea",0.33708,1.63372,0.61634,0.28812,0.31194,0.22471,0.1695,"Stachys heraclea",9,3,9,7,0,NA,"Stachys heraclea","2","Local non-specific dispersal",0.375,NA
"Stachys officinalis","Stachys officinalis",0.41425,1.56593,0.56732,0.32881,0.22322,0.34776,0.1633,"Stachys officinalis",6.8,5.1,2.9,5.3,0.1,5.7,"Stachys officinalis","2","Local non-specific dispersal",0.450666666666667,4.59231666666666
"Stachys palustris","Stachys palustris",0.9272,1.64647,0.57926,0.51536,0.14347,0.37623,0.33554,"Stachys palustris",7,7.4,6.6,7,0.1,5.1,"Stachys palustris","2","Local non-specific dispersal",0.688333333333333,1.15329433333333
"Stachys recta","Stachys recta",0.72703,1.64333,0.50213,0.3802,0.30616,0.33525,0.15355,"Stachys recta",7.4,2.8,2.3,8.2,0,5.8,"Stachys recta","2","Local non-specific dispersal",0.450666666666667,1.50868155555555
"Stachys recta labiosa","Stachys recta",0.72703,1.64333,0.50213,0.3802,0.30616,0.33525,0.15355,"Stachys recta",7.4,2.8,2.3,8.2,0,5.8,"Stachys recta","2","Local non-specific dispersal",0.450666666666667,1.50868155555555
"Stachys sylvatica","Stachys sylvatica",0.14663,1.3586,0.67499,0.26365,0.18297,0.0564,0.11371,"Stachys sylvatica",NA,7,7.1,7.1,0,NA,"Stachys sylvatica","2","Local non-specific dispersal",0.593333333333333,1.444089
"Stellaria","Myosoton aquaticum_Stellaria alsine_Stellaria graminea_Stellaria media_Stellaria neglecta_Stellaria pallida_Stellaria palustris",0.942242857142857,1.63729571428571,0.56683,0.481014285714286,0.219804285714286,0.44305,0.277984285714286,"Myosoton aquaticum_Stellaria alsine_Stellaria graminea_Stellaria media_Stellaria neglecta_Stellaria pallida_Stellaria palustris",6.45714285714286,7,5.51666666666667,5.58571428571429,0.157142857142857,5.24,"Myosoton aquaticum_Stellaria alsine_Stellaria graminea_Stellaria media_Stellaria neglecta_Stellaria pallida_Stellaria palustris","1_2","Local non-specific dispersal",0.306678571428571,0.319568515871428
"Stellaria aquatica","Myosoton aquaticum",0.73185,1.38464,0.62093,0.52381,0.17535,0.30697,0.22353,"Myosoton aquaticum",6.8,NA,7.7,6.9,0.2,5.3,"Myosoton aquaticum","2","Local non-specific dispersal",0.383666666666667,0.222675
"Stellaria graminea","Stellaria graminea",1.42862,2.00462,0.52984,0.50825,0.18958,0.96716,0.3408,"Stellaria graminea",6.6,NA,3.8,4.5,0.1,5,"Stellaria graminea","2","Local non-specific dispersal",0.352,0.2793031111
"Stellaria media","Stellaria media",0.80583,1.7717,0.70945,0.61373,0.26577,0.43958,0.51423,"Stellaria media",6.7,NA,7.7,6.5,0.1,NA,"Stellaria media","1","Local non-specific dispersal",0.230333333333333,0.336955666666666
"Stellaria neglecta","Stellaria neglecta",0.43872,1.46999,0.68527,0.47277,0.18717,0.26716,0.23784,"Stellaria neglecta",6.2,NA,6.8,6.6,0.3,NA,"Stellaria neglecta","2","Local non-specific dispersal",0.410833333333333,0.726733333333333
"Stellaria pallida","Stellaria pallida",0.78265,1.40578,0.53827,0.44174,0.24426,0.19948,0.33006,"Stellaria pallida",7.1,4.3,NA,5.6,0.4,6.3,"Stellaria pallida","1","Local non-specific dispersal",0.19875,0.1146
"Stellaria palustris","Stellaria palustris",1.37267,1.74376,0.40313,0.37648,0.20522,0.54769,0.14481,"Stellaria palustris",6,8.3,3.2,5,0,5.2,"Stellaria palustris","2","Local non-specific dispersal",0.335833333333333,0.48475
"Stellaria uliginosa","Stellaria alsine",1.03536,1.68058,0.48092,0.43032,0.27128,0.37331,0.15462,"Stellaria alsine",5.8,8.4,3.9,4,0,4.4,"Stellaria alsine","1","Local non-specific dispersal",0.235333333333333,0.0719625
"Stipa capillata","Stipa capillata",1.56279,1.89635,0.48077,0.46587,0.38965,0.54302,0.18955,"Stipa capillata",8.2,2.4,2,8,0,6.5,"Stipa capillata","6","Epizoochory",0.655,8.40766666666666
"Stipellula capensis","Stipa capensis",1.13596,1.85493,0.82443,0.71852,0.34212,0.25025,0.3415,"Stipa capensis",9,1,6,7.5,0.5,10.5,"Stipa capensis","6","Epizoochory",0.294666666666667,1.68
"Strigosella africana",NA,NA,NA,NA,NA,NA,NA,NA,"Strigosella africana",8.5,2,5.7,8,0.7,NA,"Strigosella africana","1","Local non-specific dispersal",0.284,NA
"Succisa pratensis","Succisa pratensis",1.16724,1.8149,0.43289,0.39076,0.24061,0.71177,0.17677,"Succisa pratensis",7.2,7.2,2,NA,0,5,"Succisa pratensis","2","Local non-specific dispersal",0.529333333333333,1.689060101
"Succowia balearica","Succowia balearica",0.98737,1.57757,0.775,0.63,0.26,0.29456,0.27,"Succowia balearica",8,NA,4,6,0,9.5,"Succowia balearica","6","Epizoochory",0.335,NA
"Symphoricarpos albus","Symphoricarpos albus",0.14134,1.36241,0.7125,0.21953,0.19015,0.05031,0.17087,"Symphoricarpos albus",6,5.3,6.3,6,0,5.8,"Symphoricarpos albus","6","Endozoochory",1.314,6.985335
"Symphyotrichum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symphyotrichum lanceolatum","5","Anemochory",0.84375,0.45
"Symphyotrichum lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symphyotrichum lanceolatum","5","Anemochory",0.84375,0.45
"Symphytum","Symphytum officinale",0.84471,1.52722,0.53007,0.45081,0.16357,0.51824,0.21463,"Symphytum officinale",7.1,7.2,7.8,6.9,0.1,NA,"Symphytum officinale_Symphytum orientale_Symphytum tuberosum","3","Myrmecochory",0.516166666666667,1931.34118809167
"Symphytum officinale","Symphytum officinale",0.84471,1.52722,0.53007,0.45081,0.16357,0.51824,0.21463,"Symphytum officinale",7.1,7.2,7.8,6.9,0.1,NA,"Symphytum officinale","3","Myrmecochory",0.587333333333333,9.31773333333333
"Symphytum officinale officinale","Symphytum officinale",0.84471,1.52722,0.53007,0.45081,0.16357,0.51824,0.21463,"Symphytum officinale",7.1,7.2,7.8,6.9,0.1,NA,"Symphytum officinale","3","Myrmecochory",0.587333333333333,9.31773333333333
"Symphytum orientale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symphytum orientale","3","Myrmecochory",0.6525,NA
"Symphytum tuberosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symphytum tuberosum","3","Myrmecochory",0.308666666666667,3853.36464285
"Syringa vulgaris","Syringa vulgaris",0.23166,1.39253,0.62209,0.24551,0.2179,0.07448,0.15408,"Syringa vulgaris",6.8,4.9,4.8,6.4,0,6.9,"Syringa vulgaris","4","Anemochory",4.981,5.49
"Taeniatherum caput-medusae","Taeniatherum caput-medusae",1.55329,1.9403,0.61195,0.59421,0.32914,0.56457,0.35011,"Taeniatherum caput-medusae",8.1,NA,NA,7,0,7.8,"Taeniatherum caput-medusae","6","Epizoochory",0.29,4.8473333335
"Tagetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tagetes minuta","5","Anemochory",1.345,0.77
"Tagetes minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tagetes minuta","5","Anemochory",1.345,0.77
"Tanacetum","Tanacetum corymbosum_Tanacetum vulgare",0.64644,1.507105,0.63116,0.389055,0.196945,0.40107,0.20633,"Tanacetum corymbosum_Tanacetum vulgare_Vogtia annua",7.56666666666667,4,5.73333333333333,7.53333333333333,0.0666666666666667,7.15,"Tanacetum corymbosum_Tanacetum vulgare_Vogtia annua","2_5","Anemochory_Local non-specific dispersal",0.8035,0.338687333333333
"Tanacetum annuum",NA,NA,NA,NA,NA,NA,NA,NA,"Vogtia annua",8,4,8,8,0,8,"Vogtia annua","5","Anemochory",NA,NA
"Tanacetum corymbosum","Tanacetum corymbosum",0.14094,1.38019,0.63943,0.19637,0.22129,0.1034,0.11055,"Tanacetum corymbosum",6.9,NA,3.5,7.5,0,6.3,"Tanacetum corymbosum","2","Local non-specific dispersal",0.739,0.467466666666666
"Tanacetum vulgare","Tanacetum vulgare",1.15194,1.63402,0.62289,0.58174,0.1726,0.69874,0.30211,"Tanacetum vulgare",7.8,NA,5.7,7.1,0.2,NA,"Tanacetum vulgare","2","Local non-specific dispersal",0.868,0.209907999999999
"Taraxacum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taraxacum campylodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taraxacum erythrospermum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taraxacum officinale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taraxacum tiroliense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxus baccata","Taxus baccata",0.03409,1.29025,0.67217,0.12699,0.19075,0.00501,0.10613,"Taxus baccata",NA,NA,4.7,7.1,0,NA,"Taxus baccata","6","Endozoochory",17.16,243.3088
"Teesdalia nudicaulis","Teesdalia nudicaulis",1.56846,1.96065,0.48606,0.47128,0.2566,0.26538,0.4567,"Teesdalia nudicaulis",8.1,2.9,1.4,2,0,6.3,"Teesdalia nudicaulis","1","Local non-specific dispersal",0.129333333333333,0.285482828272727
"Teloxys aristata",NA,NA,NA,NA,NA,NA,NA,NA,"Teloxys aristata",8.5,3,3,8,0,7.5,"Teloxys aristata","4","Anemochory",0.1925,NA
"Teucrium","Teucrium botrys_Teucrium chamaedrys_Teucrium scorodonia",0.619563333333333,1.52596666666667,0.569,0.333043333333333,0.26945,0.198306666666667,0.190673333333333,"Teucrium botrys_Teucrium chamaedrys_Teucrium scorodonia",7.46666666666667,3.06666666666667,2.26666666666667,6.26666666666667,0,6.1,"Teucrium botrys_Teucrium chamaedrys_Teucrium polium_Teucrium scorodonia","1_2","Local non-specific dispersal",0.266952083333333,2.56643376068376
"Teucrium botrys","Teucrium botrys",1.24232,1.71947,0.52466,0.48727,0.3027,0.2697,0.3144,"Teucrium botrys",8.8,2.5,2.2,8,0,NA,"Teucrium botrys","1","Local non-specific dispersal",0.223333333333333,1.10553333333333
"Teucrium chamaedrys","Teucrium chamaedrys",0.46417,1.53222,0.55327,0.32767,0.29067,0.25766,0.1374,"Teucrium chamaedrys",7.4,2.6,1.6,8,0,6.5,"Teucrium chamaedrys","1","Local non-specific dispersal",0.218058333333333,6.34335555555556
"Teucrium polium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teucrium polium","1","Local non-specific dispersal",0.25975,1.91306666666667
"Teucrium scorodonia","Teucrium scorodonia",0.1522,1.32621,0.62907,0.18419,0.21498,0.06756,0.12022,"Teucrium scorodonia",6.2,4.1,3,2.8,0,5.7,"Teucrium scorodonia","2","Local non-specific dispersal",0.366666666666667,0.903779487179487
"Thalictrum flavum","Thalictrum flavum",1.06718,1.64226,0.48844,0.43933,0.18088,0.66559,0.13368,"Thalictrum flavum",7.1,7.8,5.2,7.9,0,5.6,"Thalictrum flavum","2","Local non-specific dispersal",0.8375,1.51104333333333
"Thalictrum lucidum","Thalictrum lucidum",0.96641,1.7552,0.53906,0.48276,0.1785,0.78313,0.1752,"Thalictrum lucidum",6.8,7.9,4.4,7,0.2,6.4,"Thalictrum lucidum","2","Local non-specific dispersal",0.837,0.636
"Thalictrum minus","Thalictrum minus",0.7279,1.67089,0.51499,0.39652,0.29481,0.41354,0.17964,"Thalictrum minus",6.7,3.2,2.8,7.7,0,NA,"Thalictrum minus","2","Local non-specific dispersal",0.655,1.96248482894736
"Thapsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thesium dollineri","Thesium dollineri",1.70634,1.99916,0.47723,0.47129,0.339,0.54446,0.18889,"Thesium dollineri",7,3.5,3.5,8,0,6.5,"Thesium dollineri","3","Myrmecochory",0.1375,NA
"Thesium humile","Thesium humile",0.81999,1.74242,0.69296,0.30833,0.42,0.03768,0.21594,"Thesium humile",8.5,2.5,3.5,7,0,10,"Thesium humile","3","Myrmecochory",0.16,NA
"Thinopyrum elongatum","Elytrigia elongata",1.35642,1.82088,0.4713,0.44441,0.26437,0.11833,0.25146,"Elytrigia elongata_Elytrigia scirpea",8.25,6.75,6.25,7.75,5.5,9.5,"Elytrigia elongata_Elytrigia scirpea","2","Local non-specific dispersal",0.654166666666667,NA
"Thinopyrum intermedium","Elytrigia intermedia",1.14657,1.75195,0.51987,0.47271,0.31766,0.59995,0.16549,"Elytrigia intermedia",7.5,2.9,3.3,7.3,0,NA,"Elytrigia intermedia","2","Local non-specific dispersal",0.85,NA
"Thinopyrum intermedium intermedium","Elytrigia intermedia",1.14657,1.75195,0.51987,0.47271,0.31766,0.59995,0.16549,"Elytrigia intermedia",7.5,2.9,3.3,7.3,0,NA,"Elytrigia intermedia","2","Local non-specific dispersal",0.85,NA
"Thinopyrum junceum","Elytrigia juncea_Elytrigia sartorii",1.57785,1.66251,0.483745,0.476625,0.152155,0.08625,0.566635,"Elytrigia juncea_Elytrigia sartorii_Lolium subulatum",8.6,4,6.43333333333333,7.6,3.46666666666667,11,"Elytrigia juncea_Elytrigia sartorii_Elytrigia striatula_Lolium subulatum","2","Local non-specific dispersal",0.4625,26.2221296296296
"Thlaspi","Thlaspi arvense",1.93236,2.06062,0.85872,0.85623,0.12576,0.42748,0.82312,"Thlaspi arvense",6.8,4.2,6.1,7,0,5.1,"Thlaspi arvense","2","Local non-specific dispersal",0.33,1.15402951851851
"Thlaspi arvense","Thlaspi arvense",1.93236,2.06062,0.85872,0.85623,0.12576,0.42748,0.82312,"Thlaspi arvense",6.8,4.2,6.1,7,0,5.1,"Thlaspi arvense","2","Local non-specific dispersal",0.33,1.15402951851851
"Thymbra capitata","Thymbra capitata",0.42449,1.39683,0.66556,0.28089,0.32663,0.04535,0.18764,"Thymbra capitata",8.5,2.5,2,8,0.5,10,"Thymbra capitata","2","Local non-specific dispersal",0.675,0.35
"Thymelaea passerina","Thymelaea passerina",1.88427,2.05398,0.57171,0.5668,0.33374,0.5538,0.3624,"Thymelaea passerina",7.7,3.8,4,7.8,0,7,"Thymelaea passerina","1","Local non-specific dispersal",0.286,1.39336666666666
"Thymelaea sanamunda","Thymelaea sanamunda",0.4116,1.67264,0.64545,0.24091,0.4,0.13024,0.19091,"Thymelaea sanamunda",8,2,4,8,0,8,"Thymelaea sanamunda","2","Local non-specific dispersal",0.3,NA
"Thymus","Thymus pulegioides_Thymus serpyllum_Thymus spinulosus_Thymus striatus_Thymus vulgaris",1.10416,1.740772,0.52427,0.419998,0.341136,0.388104,0.206886,"Thymus pulegioides_Thymus serpyllum_Thymus spinulosus_Thymus striatus_Thymus vulgaris",8.26,2.42,1.52,3.925,0,6.98,"Thymus pulegioides_Thymus serpyllum_Thymus spinulosus_Thymus striatus_Thymus vulgaris","1","Local non-specific dispersal",0.122919642857143,0.442332974369213
"Thymus pulegioides","Thymus pulegioides",1.21853,1.78433,0.48356,0.44748,0.27735,0.656,0.21659,"Thymus pulegioides",7.9,3.8,1.7,NA,0,5.2,"Thymus pulegioides","1","Local non-specific dispersal",0.1690625,0.141224197518518
"Thymus serpyllum","Thymus serpyllum",0.85823,1.71575,0.47175,0.37763,0.30652,0.35457,0.21061,"Thymus serpyllum",7.4,2.8,1.4,4.2,0,5.4,"Thymus serpyllum","1","Local non-specific dispersal",0.07,0.156133333333333
"Thymus spinulosus","Thymus spinulosus",1.91409,1.91409,0.54839,0.54603,0.45574,0.5499,0.2254,"Thymus spinulosus",9,2,1,2,0,8,"Thymus spinulosus","1","Local non-specific dispersal",0.065,NA
"Thymus striatus","Thymus striatus",1.13066,1.84489,0.49189,0.44151,0.33433,0.24182,0.21458,"Thymus striatus",9,2,1,2,0,8,"Thymus striatus","1","Local non-specific dispersal",0.06,0.6423077
"Thymus vulgaris","Thymus vulgaris",0.39929,1.4448,0.62576,0.28734,0.33174,0.13823,0.16725,"Thymus vulgaris",8,1.5,2.5,7.5,0,8.3,"Thymus vulgaris","1","Local non-specific dispersal",0.250535714285714,0.829666666625
"Tilia","Tilia cordata_Tilia platyphyllos",0.04331,1.318305,0.697295,0.14724,0.176465,0.005915,0.105785,"Tilia cordata_Tilia platyphyllos",4.9,5.1,5.6,6.8,0,5.8,"Tilia cordata_Tilia platyphyllos","4","Anemochory",25.9746666666667,91.085833333333
"Tilia cordata","Tilia cordata",0.03546,1.33013,0.69855,0.14181,0.19169,0.00763,0.10902,"Tilia cordata",4.9,5.1,4.9,6.3,0,5.7,"Tilia cordata","4","Anemochory",22.0543333333333,42.825
"Tilia platyphyllos","Tilia platyphyllos",0.05116,1.30648,0.69604,0.15267,0.16124,0.0042,0.10255,"Tilia platyphyllos",NA,5.1,6.3,7.3,0,5.9,"Tilia platyphyllos","4","Anemochory",29.895,139.346666666666
"Tolpis barbata","Tolpis barbata",1.15668,2.00287,0.42769,0.34951,0.31755,0.533,0.22656,"Tolpis barbata",8,2,2,4.5,0,9,"Tolpis barbata","5","Anemochory",0.371,0.15878875
"Tolpis umbellata","Tolpis umbellata",1.2671,2.00869,0.48529,0.4367,0.2972,0.64958,0.25577,"Tolpis umbellata",9,2,1,2,0,9,"Tolpis umbellata","5","Anemochory",0.375,NA
"Tordylium","Tordylium apulum_Tordylium maximum_Tordylium officinale",0.98067,1.86906333333333,0.772546666666667,0.66355,0.23131,0.514876666666667,0.411973333333333,"Tordylium apulum_Tordylium maximum_Tordylium officinale",7.43333333333333,3.26666666666667,6,6.43333333333333,0.1,8.8,"Tordylium apulum_Tordylium maximum_Tordylium officinale","2_6","Epizoochory_Local non-specific dispersal",0.465666666666667,3.31648333333333
"Tordylium apulum","Tordylium apulum",0.88823,1.90217,0.79563,0.62415,0.29252,0.3404,0.35797,"Tordylium apulum",8,3.3,6,7.3,0.3,9.3,"Tordylium apulum","2","Local non-specific dispersal",0.3625,3.257
