"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Agrostis canina","Agrostis canina",1.05421,1.56112,0.39908,0.33733,0.21865,0.43687,0.16903,"Agrostis canina",8,8.4,2,3.1,0,5,"Agrostis canina","2","Local non-specific dispersal",0.43,0.0560761904761905
"Agrostis capillaris","Agrostis capillaris",0.86379,1.80498,0.52099,0.43132,0.29897,0.57578,0.2949,"Agrostis capillaris",7.2,4.9,3.3,3.5,0,4.9,"Agrostis capillaris","2","Local non-specific dispersal",0.411,0.06955
"Agrostis gigantea","Agrostis gigantea",1.08923,1.73271,0.57768,0.52888,0.20021,0.53799,0.30577,"Agrostis gigantea",7.4,NA,6,6.8,0.2,5.1,"Agrostis gigantea","2","Local non-specific dispersal",0.8975,0.0799714285714285
"Agrostis stolonifera","Agrostis stolonifera",1.23503,1.80321,0.47931,0.44635,0.34582,0.45794,0.21757,"Agrostis stolonifera",7.8,7,5,NA,0.7,NA,"Agrostis stolonifera","2","Local non-specific dispersal",0.585,0.0588875
"Ailanthus altissima","Ailanthus altissima",0.33075,1.43287,0.7568,0.38669,0.19387,0.14625,0.28048,"Ailanthus altissima",7.1,5.1,7.2,6.3,0.3,NA,"Ailanthus altissima","4","Anemochory",20.9722222222222,29.218889
"Aira caryophyllea","Aira caryophyllea",1.13458,1.95739,0.47578,0.42311,0.33193,0.50313,0.32762,"Aira caryophyllea",8.7,2.4,1.6,3.7,0,6.5,"Aira caryophyllea","1","Local non-specific dispersal",0.177,0.119
"Aira cupaniana","Aira cupaniana",1.28301,1.95045,0.50922,0.46912,0.30041,0.4709,0.2747,"Aira cupaniana",7.5,2,1,3,0,9,"Aira cupaniana","1","Local non-specific dispersal",0.185,0.0472575759999999
"Ajuga chamaepitys","Ajuga chamaepitys",1.47219,1.98222,0.64774,0.63124,0.30036,0.58996,0.42442,"Ajuga chamaepitys",7.5,3.6,NA,8.5,0,NA,"Ajuga chamaepitys","3","Myrmecochory",0.148333333333333,1.53866666666666
"Ajuga genevensis","Ajuga genevensis",0.41869,1.57703,0.57234,0.33809,0.244,0.30032,0.17488,"Ajuga genevensis",7.8,3.7,2.3,7,0,5.6,"Ajuga genevensis","3","Myrmecochory",0.219,1.55706666666666
"Ajuga iva","Ajuga iva",1.12584,1.6247,0.75873,0.69692,0.32941,0.44535,0.30333,"Ajuga iva",8,3.3,4.3,7.7,0,9,"Ajuga iva","3","Myrmecochory",0.1,2.1
