"original_taxa","original_ID","database_ID","simplified_taxa","accepted_taxa","in_WFO","match","accepted_wfo"
"Ceratochloa cathartica","BROCA","FR_ANN_BIOVIGILANCE","Ceratochloa cathartica","Bromus catharticus","Accepted","Synonym","Bromus catharticus"
"Ceratochloa cathartica",NA,"FR_VIN_SAVM","Ceratochloa cathartica","Bromus catharticus","Accepted","Synonym","Bromus catharticus"
"Convolvulus sepium","CAGSE","FR_ANN_BARR","Convolvulus sepium","Calystegia sepium","Accepted","Synonym","Calystegia sepium"
"Convolvulus sepium","CAGSE","FR_ANN_BIOVIGILANCE","Convolvulus sepium","Calystegia sepium","Accepted","Synonym","Calystegia sepium"
"Convolvulus sepium","CAGSE","FR_ANN_FENAY_GFPHD","Convolvulus sepium","Calystegia sepium","Accepted","Synonym","Calystegia sepium"
"Convolvulus sepium","CAGSE","FR_VIN_BIOVIGILANCE","Convolvulus sepium","Calystegia sepium","Accepted","Synonym","Calystegia sepium"
"Convolvulus sepium",NA,"FR_VIN_SAVM","Convolvulus sepium","Calystegia sepium","Accepted","Synonym","Calystegia sepium"
"Cyanus segetum","CENCY","FR_ANN_BARR","Cyanus segetum","Centaurea cyanus","Accepted","Synonym","Centaurea cyanus"
"Cyanus segetum","CENCY","FR_ANN_BIOVIGILANCE","Cyanus segetum","Centaurea cyanus","Accepted","Synonym","Centaurea cyanus"
"Cyanus segetum","CENCY","FR_ANN_FENAY_GFPHD","Cyanus segetum","Centaurea cyanus","Accepted","Synonym","Centaurea cyanus"
"Cyanus segetum","CENCY","FR_VIN_BIOVIGILANCE","Cyanus segetum","Centaurea cyanus","Accepted","Synonym","Centaurea cyanus"
"Dicotyledonae",NA,"FR_ALL_LANGUEDOC","Dicotyledonae",NA,"NOT FOUND","NOT FOUND",NA
"Dicotyledonae",NA,"FR_VIN_HERAULT","Dicotyledonae",NA,"NOT FOUND","NOT FOUND",NA
"Dicotyledonae",NA,"FR_VIN_SAVM","Dicotyledonae",NA,"NOT FOUND","NOT FOUND",NA
"Dicotyledonae_1",NA,"FR_VIN_SAVM","Dicotyledonae",NA,"NOT FOUND","NOT FOUND",NA
"Dicotyledonae_2",NA,"FR_VIN_SAVM","Dicotyledonae",NA,"NOT FOUND","NOT FOUND",NA
"Elytrigia campestris","ELYPC","FR_ANN_BIOVIGILANCE","Elytrigia campestris","Elymus pungens campestris","Accepted","Synonym","Elymus pungens subsp. campestris"
