"accepted_taxa","full_name","wfo_rank"
"Armoracia rusticana","Armoracia rusticana G.Gaertn., B.Mey. & Scherb.","species"
"Arnoseris minima","Arnoseris minima (L.) Schweigg. & Körte","species"
"Arrhenatherum","Arrhenatherum P.Beauv.","genus"
"Arrhenatherum elatius","Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl","species"
"Arrhenatherum elatius bulbosum","Arrhenatherum elatius subsp. bulbosum (Willd.) Schübl. & G.Martens","subspecies"
"Artemisia","Artemisia L.","genus"
"Artemisia abrotanum","Artemisia abrotanum L.","species"
"Artemisia absinthium","Artemisia absinthium L.","species"
"Artemisia annua","Artemisia annua L.","species"
"Artemisia herba-alba","Artemisia herba-alba Asso","species"
"Artemisia verlotiorum","Artemisia verlotiorum Lamotte","species"
"Artemisia vulgaris","Artemisia vulgaris L.","species"
"Arum","Arum L.","genus"
"Arum italicum","Arum italicum Mill.","species"
"Arum maculatum","Arum maculatum L.","species"
"Arundo","Arundo L.","genus"
"Arundo donax","Arundo donax L.","species"
"Arundo plinii","Arundo plinii Turra","species"
"Asclepias syriaca","Asclepias syriaca L.","species"
"Asparagaceae","Asparagaceae Juss.","family"
"Asparagus","Asparagus L.","genus"
"Asparagus acutifolius","Asparagus acutifolius L.","species"
"Asparagus officinalis","Asparagus officinalis L.","species"
"Asparagus tenuifolius","Asparagus tenuifolius Lam.","species"
"Asperugo procumbens","Asperugo procumbens L.","species"
"Asperula","Asperula L.","genus"
"Asperula arvensis","Asperula arvensis L.","species"
"Asphodelus","Asphodelus L.","genus"
"Asphodelus ramosus","Asphodelus ramosus L.","species"
"Aspilia silphioides","Aspilia silphioides Benth. & Hook.f.","species"
"Aster","Aster L.","genus"
"Aster squamatus","Aster squamatus (Spreng.) Hieron.","species"
"Aster subulatus","Aster subulatus Michx.","species"
"Asteraceae","Asteraceae Bercht. & J.Presl","family"
"Astragalus","Astragalus L.","genus"
"Astragalus alopecurus","Astragalus alopecurus Pall.","species"
"Astragalus boeticus","Astragalus boeticus L.","species"
"Astragalus cicer","Astragalus cicer L.","species"
"Astragalus glycyphyllos","Astragalus glycyphyllos L.","species"
"Astragalus hamosus","Astragalus hamosus L.","species"
"Astragalus sesameus","Astragalus sesameus L.","species"
"Atocion armeria","Atocion armeria (L.) Raf.","species"
"Atriplex","Atriplex L.","genus"
"Atriplex glabriuscula","Atriplex glabriuscula Edmondston","species"
"Atriplex halimus","Atriplex halimus L.","species"
"Atriplex hortensis","Atriplex hortensis L.","species"
"Atriplex littoralis","Atriplex littoralis L.","species"
"Atriplex oblongifolia","Atriplex oblongifolia Waldst. & Kit.","species"
"Atriplex patula","Atriplex patula L.","species"
"Atriplex prostrata","Atriplex prostrata Boucher ex DC.","species"
"Atriplex prostrata calotheca","Atriplex prostrata subsp. calotheca (Rafn) M.A.Gust.","subspecies"
"Atriplex sagittata","Atriplex sagittata Borkh.","species"
"Atriplex tatarica","Atriplex tatarica L.","species"
"Avena","Avena L.","genus"
"Avena barbata","Avena barbata Pott ex Link","species"
"Avena fatua","Avena fatua L.","species"
"Avena sativa","Avena sativa L.","species"
"Avena sterilis","Avena sterilis L.","species"
"Avena strigosa","Avena strigosa Schreb.","species"
"Avenella flexuosa","Avenella flexuosa (L.) Drejer","species"
"Avenula pubescens","Avenula pubescens (Huds.) Dumort.","species"
"Ballota nigra","Ballota nigra L.","species"
"Barbarea","Barbarea W.T.Aiton","genus"
"Barbarea intermedia","Barbarea intermedia Boreau","species"
"Barbarea stricta","Barbarea stricta Andrz.","species"
"Barbarea verna","Barbarea verna (Mill.) Asch.","species"
"Barbarea vulgaris","Barbarea vulgaris W.T.Aiton","species"
"Bassia","Bassia All.","genus"
"Bassia scoparia","Bassia scoparia (L.) A.J.Scott","species"
"Bellardia trixago","Bellardia trixago (L.) All.","species"
"Bellevalia trifoliata","Bellevalia trifoliata (Ten.) Kunth","species"
"Bellis","Bellis L.","genus"
"Bellis annua","Bellis annua L.","species"
"Bellis pappulosa","Bellis pappulosa Boiss. ex DC.","species"
"Bellis perennis","Bellis perennis L.","species"
"Bellis sylvestris","Bellis sylvestris Cirillo","species"
"Berberis vulgaris","Berberis vulgaris L.","species"
"Berteroa incana","Berteroa incana (L.) DC.","species"
"Berula erecta","Berula erecta (Huds.) Coville","species"
"Beta","Beta L.","genus"
"Beta vulgaris","Beta vulgaris L.","species"
"Betonica alopecuros","Betonica alopecuros L.","species"
"Betonica officinalis","Betonica officinalis L.","species"
"Betula","Betula L.","genus"
"Betula pendula","Betula pendula Roth","species"
"Betula pubescens","Betula pubescens Ehrh.","species"
"Bidens","Bidens L.","genus"
"Bidens bipinnata","Bidens bipinnata L.","species"
"Bidens frondosa","Bidens frondosa L.","species"
"Bidens subalternans","Bidens subalternans DC.","species"
"Bidens tripartita","Bidens tripartita L.","species"
"Bifora radians","Bifora radians M.Bieb.","species"
"Bifora testiculata","Bifora testiculata Roth","species"
"Biscutella auriculata","Biscutella auriculata L.","species"
"Biserrula pelecinus","Biserrula pelecinus L.","species"
"Bituminaria bituminosa","Bituminaria bituminosa (L.) C.H.Stirt.","species"
"Blackstonia perfoliata","Blackstonia perfoliata (L.) Huds.","species"
"Bolboschoenus maritimus","Bolboschoenus maritimus (L.) Palla","species"
"Bombycilaena erecta","Bombycilaena erecta (L.) Smoljan.","species"
"Boraginaceae","Boraginaceae Juss.","family"
"Borago officinalis","Borago officinalis L.","species"
"Bothriochloa barbinodis","Bothriochloa barbinodis (Lag.) Herter","species"
"Bothriochloa ischaemum","Bothriochloa ischaemum (L.) Keng","species"
"Brachypodium","Brachypodium P.Beauv.","genus"
"Brachypodium distachyon","Brachypodium distachyon (L.) P.Beauv.","species"
"Brachypodium phoenicoides","Brachypodium phoenicoides (L.) Roem. & Schult.","species"
"Brachypodium pinnatum","Brachypodium pinnatum (L.) P.Beauv.","species"
"Brachypodium retusum","Brachypodium retusum (Pers.) P.Beauv.","species"
"Brachypodium sylvaticum","Brachypodium sylvaticum (Huds.) P.Beauv.","species"
"Brachythecium rutabulum","Brachythecium rutabulum (Hedw.) Schimp.","species"
"Brassica","Brassica L.","genus"
"Brassica barrelieri","Brassica barrelieri (L.) Janka","species"
