"accepted_taxa","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA"
"Thymbra capitata",NA,NA,NA,NA,NA
"Thymelaea passerina",NA,NA,NA,NA,NA
"Thymelaea sanamunda",NA,NA,NA,NA,NA
"Thymus","""thymus pulegioides l.""_""thymus serpyllum l.""_""thymus vulgaris l.""","",NA,NA,NA
"Thymus pulegioides","""thymus pulegioides l.""","",NA,NA,NA
"Thymus serpyllum","""thymus serpyllum l.""","",NA,NA,NA
"Thymus spinulosus",NA,NA,NA,NA,NA
"Thymus striatus",NA,NA,NA,NA,NA
"Thymus vulgaris","""thymus vulgaris l.""","",NA,NA,NA
"Tilia",NA,NA,NA,NA,NA
"Tilia cordata",NA,NA,NA,NA,NA
"Tilia platyphyllos",NA,NA,NA,NA,NA
"Tolpis barbata",NA,NA,NA,NA,NA
"Tolpis umbellata",NA,NA,NA,NA,NA
"Tordylium","""tordylium maximum l.""","",NA,NA,NA
"Tordylium apulum",NA,NA,NA,NA,NA
"Tordylium maximum","""tordylium maximum l.""","",NA,NA,NA
"Tordylium officinale",NA,NA,NA,NA,NA
"Torilis",NA,NA,NA,NA,NA
"Torilis arvensis",NA,NA,NA,NA,NA
"Torilis arvensis arvensis",NA,NA,NA,NA,NA
"Torilis japonica",NA,NA,NA,NA,NA
"Torilis leptophylla",NA,NA,NA,NA,NA
"Torilis nodosa",NA,NA,NA,NA,NA
"Torilis nodosa nodosa",NA,NA,NA,NA,NA
"Tragopogon","""tragopogon orientalis l.""_""tragopogon pratensis l.""","",NA,NA,NA
"Tragopogon crocifolius",NA,NA,NA,NA,NA
"Tragopogon dubius",NA,NA,NA,NA,NA
"Tragopogon orientalis","""tragopogon orientalis l.""","",NA,NA,NA
"Tragopogon porrifolius",NA,NA,NA,NA,NA
"Tragopogon pratensis","""tragopogon pratensis l.""","",NA,NA,NA
"Tragopogon pratensis minor","""tragopogon pratensis l.""","",NA,NA,NA
"Tragopogon pratensis pratensis","""tragopogon pratensis l.""","",NA,NA,NA
"Tragus racemosus",NA,NA,NA,NA,NA
"Tribulus terrestris",NA,NA,NA,NA,NA
"Trifolium","""trifolium alpestre l.""_""trifolium arvense l.""_""trifolium fragiferum l.""_""trifolium hybridum l.""_""trifolium incarnatum l.""_""trifolium medium l.""_""trifolium montanum l.""_""trifolium pratense l.""_""trifolium repens l.""_""trifolium resupinatum l.""_""trifolium rubens l.""_""trifolium scabrum l.""_""trifolium spadiceum l.""_""trifolium striatum l.""_""trifolium subterraneum l.""","4_6",2.85,2.85,21.7
"Trifolium alexandrinum",NA,NA,NA,NA,NA
"Trifolium alpestre","""trifolium alpestre l.""","",NA,NA,NA
"Trifolium angustifolium",NA,NA,NA,NA,NA
"Trifolium arvense","""trifolium arvense l.""","",NA,NA,NA
"Trifolium aureum",NA,NA,NA,NA,NA
"Trifolium campestre",NA,NA,NA,NA,NA
"Trifolium campestre campestre","""trifolium spadiceum l.""","",NA,NA,NA
"Trifolium cherleri",NA,NA,NA,NA,NA
"Trifolium dubium",NA,NA,NA,NA,NA
"Trifolium fragiferum","""trifolium fragiferum l.""","4",1.8,1.8,16.9
"Trifolium glomeratum",NA,NA,NA,NA,NA
"Trifolium hirtum",NA,NA,NA,NA,NA
"Trifolium hybridum","""trifolium hybridum l.""","",NA,NA,NA
"Trifolium hybridum elegans","""trifolium hybridum l.""","",NA,NA,NA
"Trifolium hybridum hybridum","""trifolium hybridum l.""","",NA,NA,NA
"Trifolium incarnatum","""trifolium incarnatum l.""","",NA,NA,NA
"Trifolium incarnatum molinerii","""trifolium incarnatum l.""","",NA,NA,NA
"Trifolium lappaceum",NA,NA,NA,NA,NA
"Trifolium medium","""trifolium medium l.""","",NA,NA,NA
"Trifolium micranthum",NA,NA,NA,NA,NA
"Trifolium montanum","""trifolium montanum l.""","",NA,NA,NA
"Trifolium nigrescens",NA,NA,NA,NA,NA
"Trifolium nigrescens nigrescens",NA,NA,NA,NA,NA
"Trifolium pallidum",NA,NA,NA,NA,NA
"Trifolium patens",NA,NA,NA,NA,NA
"Trifolium pratense","""trifolium pratense l.""","",NA,NA,NA
"Trifolium repens","""trifolium repens l.""","6",3.9,3.9,26.5
"Trifolium repens prostratum","""trifolium repens l.""","6",3.9,3.9,26.5
"Trifolium resupinatum","""trifolium resupinatum l.""","",NA,NA,NA
"Trifolium rubens","""trifolium rubens l.""","",NA,NA,NA
"Trifolium scabrum","""trifolium scabrum l.""","",NA,NA,NA
"Trifolium squamosum",NA,NA,NA,NA,NA
"Trifolium squarrosum",NA,NA,NA,NA,NA
"Trifolium stellatum",NA,NA,NA,NA,NA
"Trifolium striatum","""trifolium striatum l.""","",NA,NA,NA
"Trifolium strictum",NA,NA,NA,NA,NA
"Trifolium subterraneum","""trifolium subterraneum l.""","",NA,NA,NA
"Trifolium suffocatum",NA,NA,NA,NA,NA
"Trifolium tomentosum",NA,NA,NA,NA,NA
"Trifolium vessiculosum",NA,NA,NA,NA,NA
"Trigonella","""trigonella foenum-graecum l.""","",NA,NA,NA
"Trigonella corniculata",NA,NA,NA,NA,NA
"Trigonella esculenta",NA,NA,NA,NA,NA
"Trigonella foenum-graecum","""trigonella foenum-graecum l.""","",NA,NA,NA
"Trigonella gladiata",NA,NA,NA,NA,NA
"Trigonotis",NA,NA,NA,NA,NA
"Trigonotis peduncularis",NA,NA,NA,NA,NA
"Tripleurospermum",NA,NA,NA,NA,NA
"Tripleurospermum inodorum",NA,NA,NA,NA,NA
"Tripleurospermum maritimum",NA,NA,NA,NA,NA
"Trisetaria aurea",NA,NA,NA,NA,NA
"Trisetaria panicea",NA,NA,NA,NA,NA
"Trisetum flavescens",NA,NA,NA,NA,NA
"Trisetum flavescens flavescens",NA,NA,NA,NA,NA
"Triticale x rimpaui",NA,NA,NA,NA,NA
"Triticosecale",NA,NA,NA,NA,NA
"Triticosecale rimpaui",NA,NA,NA,NA,NA
"Triticum","""triticum aestivum l.""","",NA,NA,NA
"Triticum aestivum","""triticum aestivum l.""","",NA,NA,NA
"Triticum aestivum spelta","""triticum aestivum l.""","",NA,NA,NA
"Triticum aestivum spelta","""triticum aestivum l.""","",NA,NA,NA
"Triticum monococcum monococcum",NA,NA,NA,NA,NA
"Triticum turgidum",NA,NA,NA,NA,NA
"Triticum turgidum durum",NA,NA,NA,NA,NA
"Triticum turgidum durum",NA,NA,NA,NA,NA
"Tulipa","""tulipa sylvestris l.""","3",1,1,0.5
"Tulipa agenensis",NA,NA,NA,NA,NA
"Tulipa clusiana",NA,NA,NA,NA,NA
"Tulipa gesneriana",NA,NA,NA,NA,NA
"Tulipa sylvestris sylvestris","""tulipa sylvestris l.""","3",1,1,0.5
"Turgenia latifolia",NA,NA,NA,NA,NA
"Tussilago farfara","""tussilago farfara l.""","6",5.2,5.2,29.9
"Typha latifolia","""typha latifolia l.""","6",5,5,31
"Tyrimnus leucographus",NA,NA,NA,NA,NA
"Ulex",NA,NA,NA,NA,NA
"Ulex europaeus",NA,NA,NA,NA,NA
"Ulmaceae",NA,NA,NA,NA,NA
"Ulmus",NA,NA,NA,NA,NA
"Ulmus glabra",NA,NA,NA,NA,NA
"Ulmus laevis",NA,NA,NA,NA,NA
"Ulmus minor",NA,NA,NA,NA,NA
"Ulmus procera",NA,NA,NA,NA,NA
"Umbilicus rupestris",NA,NA,NA,NA,NA
"Urospermum dalechampii",NA,NA,NA,NA,NA
"Urospermum picroides",NA,NA,NA,NA,NA
"Urtica","""urtica dioica l.""_""urtica urens l.""","6",5.4,5.4,32.6
"Urtica dioica","""urtica dioica l.""","6",5.4,5.4,32.6
"Urtica dioica dioica","""urtica dioica l.""","6",5.4,5.4,32.6
"Urtica urens","""urtica urens l.""","",NA,NA,NA
"Vaccaria hispanica hispanica",NA,NA,NA,NA,NA
"Valeriana","""valeriana dioica l.""_""valeriana officinalis agg. ""","4",1.7,1.7,9
"Valeriana calcitrapae",NA,NA,NA,NA,NA
"Valeriana carinata",NA,NA,NA,NA,NA
"Valeriana dentata",NA,NA,NA,NA,NA
"Valeriana dioica","""valeriana dioica l.""","4",1,1,6.8
"Valeriana discoidea",NA,NA,NA,NA,NA
"Valeriana echinata",NA,NA,NA,NA,NA
"Valeriana eriocarpa",NA,NA,NA,NA,NA
"Valeriana excelsa sambucifolia",NA,NA,NA,NA,NA
"Valeriana excelsa sambucifolia",NA,NA,NA,NA,NA
"Valeriana locusta",NA,NA,NA,NA,NA
"Valeriana officinalis","""valeriana officinalis agg. ""","4",2.4,2.4,11.2
"Valeriana pumila",NA,NA,NA,NA,NA
"Valeriana rimosa",NA,NA,NA,NA,NA
"Valeriana rubra",NA,NA,NA,NA,NA
"Valerianella",NA,NA,NA,NA,NA
"Valerianella abyssinica",NA,NA,NA,NA,NA
"Valerianella coronata",NA,NA,NA,NA,NA
"Valerianella multidentata",NA,NA,NA,NA,NA
"Valerianella muricata",NA,NA,NA,NA,NA
"Verbascum","""verbascum blattaria l.""_""verbascum lychnitis l.""_""verbascum nigrum l.""_""verbascum phlomoides l.""_""verbascum phoeniceum l.""_""verbascum thapsus l.""","",NA,NA,NA
"Verbascum blattaria","""verbascum blattaria l.""","",NA,NA,NA
"Verbascum boerhavii",NA,NA,NA,NA,NA
"Verbascum chaixii",NA,NA,NA,NA,NA
"Verbascum densiflorum",NA,NA,NA,NA,NA
"Verbascum lychnitis","""verbascum lychnitis l.""","",NA,NA,NA
"Verbascum nigrum","""verbascum nigrum l.""","",NA,NA,NA
"Verbascum phlomoides","""verbascum phlomoides l.""","",NA,NA,NA
"Verbascum phoeniceum","""verbascum phoeniceum l.""","",NA,NA,NA
"Verbascum pulverulentum",NA,NA,NA,NA,NA
"Verbascum sinuatum",NA,NA,NA,NA,NA
"Verbascum speciosum",NA,NA,NA,NA,NA
"Verbascum thapsus","""verbascum thapsus l.""","",NA,NA,NA
"Verbena","""verbena officinalis l.""","",NA,NA,NA
"Verbena officinalis","""verbena officinalis l.""","",NA,NA,NA
"Verbena supina",NA,NA,NA,NA,NA
"Verbesina montevidensis",NA,NA,NA,NA,NA
"Veronica","""veronica acinifolia l.""_""veronica agrestis l.""_""veronica anagallis-aquatica agg. ""_""veronica arvensis l.""_""veronica beccabunga l.""_""veronica chamaedrys l.""_""veronica hederifolia agg. ""_""veronica montana l.""_""veronica officinalis l.""_""veronica prostrata l.""_""veronica serpyllifolia l.""_""veronica spicata l.""_""veronica triphyllos l.""_""veronica verna l.""","3_4_5",1.88571428571429,1.88571428571429,13
"Veronica acinifolia","""veronica acinifolia l.""","",NA,NA,NA
"Veronica agrestis","""veronica agrestis l.""","",NA,NA,NA
"Veronica anagallis-aquatica","""veronica anagallis-aquatica agg. ""","",NA,NA,NA
"Veronica arvensis","""veronica arvensis l.""","",NA,NA,NA
"Veronica beccabunga","""veronica beccabunga l.""","5",3.9,3.9,13
"Veronica catenata",NA,NA,NA,NA,NA
"Veronica catenata catenata",NA,NA,NA,NA,NA
"Veronica chamaedrys","""veronica chamaedrys l.""","4",2.1,2.1,13
"Veronica cymbalaria",NA,NA,NA,NA,NA
"Veronica filiformis",NA,NA,NA,NA,NA
"Veronica hederifolia","""veronica hederifolia agg. ""","",NA,NA,NA
"Veronica hederifolia hederifolia","""veronica hederifolia agg. ""","",NA,NA,NA
"Veronica montana","""veronica montana l.""","5",3.5,3.5,13
"Veronica officinalis","""veronica officinalis l.""","3",0.7,0.7,13
"Veronica opaca",NA,NA,NA,NA,NA
"Veronica peregrina",NA,NA,NA,NA,NA
"Veronica persica",NA,NA,NA,NA,NA
"Veronica polita",NA,NA,NA,NA,NA
"Veronica praecox",NA,NA,NA,NA,NA
"Veronica prostrata","""veronica prostrata l.""","4",1,1,13
"Veronica serpyllifolia","""veronica serpyllifolia l.""","4",1,1,13
"Veronica serpyllifolia serpyllifolia","""veronica serpyllifolia l.""","4",1,1,13
"Veronica spicata","""veronica spicata l.""","4",1,1,13
"Veronica triloba",NA,NA,NA,NA,NA
"Veronica triphyllos","""veronica triphyllos l.""","",NA,NA,NA
"Veronica urticifolia",NA,NA,NA,NA,NA
"Veronica verna","""veronica verna l.""","",NA,NA,NA
"Viburnum","""viburnum lantana l.""","",NA,NA,NA
"Viburnum lantana","""viburnum lantana l.""","",NA,NA,NA
"Vicia","""vicia cracca l.""_""vicia faba l.""_""vicia lathyroides l.""_""vicia lutea l.""_""vicia narbonensis l.""_""vicia pisiformis l.""_""vicia sativa agg. ""_""vicia sepium l.""","4_5",3.23333333333333,3.23333333333333,25
"Vicia articulata",NA,NA,NA,NA,NA
"Vicia benghalensis",NA,NA,NA,NA,NA
"Vicia bithynica",NA,NA,NA,NA,NA
"Vicia ciliatula",NA,NA,NA,NA,NA
"Vicia cracca","""vicia cracca l.""","5",6,6,22
"Vicia disperma",NA,NA,NA,NA,NA
"Vicia eriocarpa",NA,NA,NA,NA,NA
"Vicia ervilia",NA,NA,NA,NA,NA
"Vicia faba","""vicia faba l.""","",NA,NA,NA
"Vicia grandiflora",NA,NA,NA,NA,NA
"Vicia hirsuta",NA,NA,NA,NA,NA
"Vicia hybrida",NA,NA,NA,NA,NA
"Vicia johannis",NA,NA,NA,NA,NA
"Vicia lathyroides","""vicia lathyroides l.""","",NA,NA,NA
"Vicia lens",NA,NA,NA,NA,NA
"Vicia lutea","""vicia lutea l.""","",NA,NA,NA
"Vicia lutea hirta","""vicia lutea l.""","",NA,NA,NA
"Vicia monantha",NA,NA,NA,NA,NA
"Vicia narbonensis","""vicia narbonensis l.""","",NA,NA,NA
"Vicia nigra",NA,NA,NA,NA,NA
"Vicia pannonica",NA,NA,NA,NA,NA
"Vicia parviflora",NA,NA,NA,NA,NA
"Vicia peregrina",NA,NA,NA,NA,NA
"Vicia pisiformis","""vicia pisiformis l.""","5",1,1,40
"Vicia pubescens",NA,NA,NA,NA,NA
"Vicia sativa","""vicia sativa agg. ""","",NA,NA,NA
"Vicia sativa cordata","""vicia sativa agg. ""","",NA,NA,NA
"Vicia sativa nigra","""vicia sativa agg. ""","",NA,NA,NA
"Vicia sativa nigra","""vicia sativa agg. ""","",NA,NA,NA
"Vicia sativa sativa","""vicia sativa agg. ""","",NA,NA,NA
"Vicia sativa segetalis","""vicia sativa agg. ""","",NA,NA,NA
"Vicia sepium","""vicia sepium l.""","4",2.7,2.7,13
"Vicia serratifolia",NA,NA,NA,NA,NA
"Vicia tenuifolia",NA,NA,NA,NA,NA
"Vicia tenuifolia tenuifolia",NA,NA,NA,NA,NA
"Vicia tetrasperma",NA,NA,NA,NA,NA
"Vicia villosa",NA,NA,NA,NA,NA
"Vicia villosa ambigua",NA,NA,NA,NA,NA
"Vicia villosa varia",NA,NA,NA,NA,NA
"Vicia villosa varia",NA,NA,NA,NA,NA
"Vinca major",NA,NA,NA,NA,NA
"Vincetoxicum hirundinaria",NA,NA,NA,NA,NA
"Viola","""viola canina l.""_""viola hirta l.""_""viola odorata l.""_""viola palustris l.""_""viola tricolor subsp. tricolor ""","2_3_5",1.93333333333333,1.93333333333333,5.1
"Viola alba",NA,NA,NA,NA,NA
"Viola arvensis",NA,NA,NA,NA,NA
"Viola canina","""viola canina l.""","",NA,NA,NA
"Viola contempta",NA,NA,NA,NA,NA
"Viola hirta","""viola hirta l.""","2",0.7,0.7,0.5
"Viola kitaibeliana",NA,NA,NA,NA,NA
"Viola odorata","""viola odorata l.""","5",3.3,3.3,6.8
"Viola palustris","""viola palustris l.""","3",1.8,1.8,8
"Viola reichenbachiana",NA,NA,NA,NA,NA
"Viola riviniana",NA,NA,NA,NA,NA
"Viola tricolor",NA,NA,NA,NA,NA
"Viola tricolor tricolor","""viola tricolor subsp. tricolor ""","",NA,NA,NA
"Visnaga daucoides",NA,NA,NA,NA,NA
"Vitis",NA,NA,NA,NA,NA
"Vitis rupestris",NA,NA,NA,NA,NA
"Vitis vinifera",NA,NA,NA,NA,NA
"Vulpia myuros myuros",NA,NA,NA,NA,NA
"x Hesperotropsis x leylandii",NA,NA,NA,NA,NA
"Xanthium","""xanthium spinosum l.""_""xanthium strumarium l.""","",NA,NA,NA
"Xanthium cavanillesii",NA,NA,NA,NA,NA
"Xanthium orientale",NA,NA,NA,NA,NA
"Xanthium orientale italicum",NA,NA,NA,NA,NA
"Xanthium spinosum","""xanthium spinosum l.""","",NA,NA,NA
"Xanthium strumarium","""xanthium strumarium l.""","",NA,NA,NA
"Xanthium strumarium","""xanthium strumarium l.""","",NA,NA,NA
"Xanthium strumarium strumarium","""xanthium strumarium l.""","",NA,NA,NA
"Xeranthemum",NA,NA,NA,NA,NA
"Xeranthemum cylindraceum",NA,NA,NA,NA,NA
"Xeranthemum inapertum",NA,NA,NA,NA,NA
"Zea mays",NA,NA,NA,NA,NA
