"taxa","original_ID","database_ID"
"Galium parisiense",NA,"FR_ENIVTH"
"Galium sp",NA,"FR_ENIVTH"
"Galium verum",NA,"FR_ENIVTH"
"Geranium columbinum",NA,"FR_ENIVTH"
"Geranium dissectum",NA,"FR_ENIVTH"
"Geranium molle",NA,"FR_ENIVTH"
"Geranium pusillum",NA,"FR_ENIVTH"
"Geranium pyrenaicum",NA,"FR_ENIVTH"
"Geranium robertianum",NA,"FR_ENIVTH"
"Geranium rotundifolium",NA,"FR_ENIVTH"
"Geranium sp",NA,"FR_ENIVTH"
"Geum urbanum",NA,"FR_ENIVTH"
"Glechoma hederacea",NA,"FR_ENIVTH"
"Gnaphalium uliginosum",NA,"FR_ENIVTH"
"Guizotia abyssinica",NA,"FR_ENIVTH"
"Hedera helix",NA,"FR_ENIVTH"
"Helianthus annuus",NA,"FR_ENIVTH"
"Helianthus sp",NA,"FR_ENIVTH"
"Heliotropium europaeum",NA,"FR_ENIVTH"
"Helminthotheca echioides",NA,"FR_ENIVTH"
"Heracleum sphondylium",NA,"FR_ENIVTH"
"Herniaria sp",NA,"FR_ENIVTH"
"Holcus lanatus",NA,"FR_ENIVTH"
"Holcus mollis",NA,"FR_ENIVTH"
"Holcus sp",NA,"FR_ENIVTH"
"Hordeum murinum",NA,"FR_ENIVTH"
"Hordeum sp",NA,"FR_ENIVTH"
"Hordeum vulgare",NA,"FR_ENIVTH"
"Humulus lupulus",NA,"FR_ENIVTH"
"Hypericum perforatum",NA,"FR_ENIVTH"
"Hypericum sp",NA,"FR_ENIVTH"
"Hypochaeris radicata",NA,"FR_ENIVTH"
"Inula helenium",NA,"FR_ENIVTH"
"Jacobaea erucifolia",NA,"FR_ENIVTH"
"Jacobaea vulgaris",NA,"FR_ENIVTH"
"Juglans regia",NA,"FR_ENIVTH"
"Juglans sp",NA,"FR_ENIVTH"
"Juncus bufonius",NA,"FR_ENIVTH"
"Kickxia elatine",NA,"FR_ENIVTH"
"Kickxia spuria",NA,"FR_ENIVTH"
"Knautia arvensis",NA,"FR_ENIVTH"
"Lactuca serriola",NA,"FR_ENIVTH"
"Lactuca sp",NA,"FR_ENIVTH"
"Lamiaceae sp",NA,"FR_ENIVTH"
"Lamium album",NA,"FR_ENIVTH"
"Lamium amplexicaule",NA,"FR_ENIVTH"
"Lamium maculatum",NA,"FR_ENIVTH"
"Lamium purpureum",NA,"FR_ENIVTH"
"Lamium sp",NA,"FR_ENIVTH"
"Lapsana communis",NA,"FR_ENIVTH"
"Lathyrus aphaca",NA,"FR_ENIVTH"
"Lathyrus hirsutus",NA,"FR_ENIVTH"
"Lathyrus pratensis",NA,"FR_ENIVTH"
"Lathyrus sp",NA,"FR_ENIVTH"
"Lathyrus tuberosus",NA,"FR_ENIVTH"
"Legousia speculum-veneris",NA,"FR_ENIVTH"
"Lepidium didymum",NA,"FR_ENIVTH"
"Leucanthemum ircutianum",NA,"FR_ENIVTH"
"Ligustrum vulgare",NA,"FR_ENIVTH"
"Linaria repens",NA,"FR_ENIVTH"
"Linaria sp",NA,"FR_ENIVTH"
"Linaria vulgaris",NA,"FR_ENIVTH"
"Linum usitatissimum",NA,"FR_ENIVTH"
"Lipandra polysperma",NA,"FR_ENIVTH"
"Lolium multiflorum",NA,"FR_ENIVTH"
"Lolium perenne",NA,"FR_ENIVTH"
"Lolium sp",NA,"FR_ENIVTH"
"Loncomelos pyrenaicus",NA,"FR_ENIVTH"
"Lotus corniculatus",NA,"FR_ENIVTH"
"Lycopsis arvensis",NA,"FR_ENIVTH"
"Lysimachia arvensis",NA,"FR_ENIVTH"
"Lysimachia foemina",NA,"FR_ENIVTH"
"Lysimachia nummularia",NA,"FR_ENIVTH"
"Lysimachia vulgaris",NA,"FR_ENIVTH"
"Lythrum hyssopifolia",NA,"FR_ENIVTH"
"Lythrum salicaria",NA,"FR_ENIVTH"
"Malva alcea",NA,"FR_ENIVTH"
"Malva neglecta",NA,"FR_ENIVTH"
"Malva setigera",NA,"FR_ENIVTH"
"Malva sp",NA,"FR_ENIVTH"
"Malva sylvestris",NA,"FR_ENIVTH"
"Matricaria chamomilla",NA,"FR_ENIVTH"
"Matricaria discoidea",NA,"FR_ENIVTH"
"Matricaria sp",NA,"FR_ENIVTH"
"Medicago arabica",NA,"FR_ENIVTH"
"Medicago falcata",NA,"FR_ENIVTH"
"Medicago lupulina",NA,"FR_ENIVTH"
"Medicago polymorpha",NA,"FR_ENIVTH"
"Medicago sativa",NA,"FR_ENIVTH"
"Medicago sp",NA,"FR_ENIVTH"
"Medicago truncatula",NA,"FR_ENIVTH"
"Melilotus albus",NA,"FR_ENIVTH"
"Mentha sp",NA,"FR_ENIVTH"
"Mentha suaveolens",NA,"FR_ENIVTH"
"Mercurialis annua",NA,"FR_ENIVTH"
"Misopates orontium",NA,"FR_ENIVTH"
"Molinia caerulea",NA,"FR_ENIVTH"
"Muscari comosum",NA,"FR_ENIVTH"
"Myosotis arvensis",NA,"FR_ENIVTH"
"Ononis spinosa",NA,"FR_ENIVTH"
"Origanum vulgare",NA,"FR_ENIVTH"
"Ornithogalum sp",NA,"FR_ENIVTH"
"Orobanche sp",NA,"FR_ENIVTH"
"Oxalis corniculata",NA,"FR_ENIVTH"
"Oxalis fontana",NA,"FR_ENIVTH"
"Oxalis sp",NA,"FR_ENIVTH"
"Panicum capillare",NA,"FR_ENIVTH"
"Panicum dichotomiflorum",NA,"FR_ENIVTH"
"Panicum miliaceum",NA,"FR_ENIVTH"
"Panicum sp",NA,"FR_ENIVTH"
"Papaver dubium",NA,"FR_ENIVTH"
"Papaver rhoeas",NA,"FR_ENIVTH"
"Pastinaca sativa",NA,"FR_ENIVTH"
"Persicaria amphibia",NA,"FR_ENIVTH"
"Persicaria hydropiper",NA,"FR_ENIVTH"
"Persicaria lapathifolia",NA,"FR_ENIVTH"
"Persicaria maculosa",NA,"FR_ENIVTH"
"Phacelia tanacetifolia",NA,"FR_ENIVTH"
"Phleum pratense",NA,"FR_ENIVTH"
"Picris hieracioides",NA,"FR_ENIVTH"
"Picris sp",NA,"FR_ENIVTH"
"Pimpinella major",NA,"FR_ENIVTH"
"Pisum sativum var. sativum",NA,"FR_ENIVTH"
"Pisum sp",NA,"FR_ENIVTH"
"Plantago lanceolata",NA,"FR_ENIVTH"
"Plantago major",NA,"FR_ENIVTH"
"Poa annua",NA,"FR_ENIVTH"
"Poa compressa",NA,"FR_ENIVTH"
"Poa pratensis",NA,"FR_ENIVTH"
"Poa sp",NA,"FR_ENIVTH"
"Poa trivialis",NA,"FR_ENIVTH"
"Poaceae sp",NA,"FR_ENIVTH"
"Poaceae sp 2",NA,"FR_ENIVTH"
"Polygonum amphibium",NA,"FR_ENIVTH"
"Polygonum aviculare",NA,"FR_ENIVTH"
"Polygonum persicaria",NA,"FR_ENIVTH"
"Populus sp",NA,"FR_ENIVTH"
"Portulaca oleracea",NA,"FR_ENIVTH"
"Potentilla reptans",NA,"FR_ENIVTH"
"Potentilla sp",NA,"FR_ENIVTH"
"Poterium sanguisorba",NA,"FR_ENIVTH"
"Primula elatior",NA,"FR_ENIVTH"
"Primula veris",NA,"FR_ENIVTH"
"Prunella laciniata",NA,"FR_ENIVTH"
"Prunella vulgaris",NA,"FR_ENIVTH"
"Prunus sp",NA,"FR_ENIVTH"
"Prunus spinosa",NA,"FR_ENIVTH"
"Pteridium aquilinum",NA,"FR_ENIVTH"
"Quercus sp",NA,"FR_ENIVTH"
"Ranunculus acris",NA,"FR_ENIVTH"
"Ranunculus arvensis",NA,"FR_ENIVTH"
"Ranunculus bulbosus",NA,"FR_ENIVTH"
"Ranunculus repens",NA,"FR_ENIVTH"
"Ranunculus sardous",NA,"FR_ENIVTH"
"Ranunculus sp",NA,"FR_ENIVTH"
"Raphanus raphanistrum",NA,"FR_ENIVTH"
"Repousse Céréale",NA,"FR_ENIVTH"
"Reseda lutea",NA,"FR_ENIVTH"
"Reseda phyteuma",NA,"FR_ENIVTH"
"Robinia pseudoacacia",NA,"FR_ENIVTH"
"Rosa arvensis",NA,"FR_ENIVTH"
"Rosa canina",NA,"FR_ENIVTH"
"Rosa sp",NA,"FR_ENIVTH"
"Rubiaceae sp",NA,"FR_ENIVTH"
"Rubus sp",NA,"FR_ENIVTH"
"Rumex acetosa",NA,"FR_ENIVTH"
"Rumex acetosella",NA,"FR_ENIVTH"
"Rumex conglomeratus",NA,"FR_ENIVTH"
"Rumex crispus",NA,"FR_ENIVTH"
"Rumex obtusifolius",NA,"FR_ENIVTH"
"Rumex pulcher",NA,"FR_ENIVTH"
"Rumex sp",NA,"FR_ENIVTH"
"Rumex thyrsiflorus",NA,"FR_ENIVTH"
"Salvia pratensis",NA,"FR_ENIVTH"
"Salvia sp",NA,"FR_ENIVTH"
"Sambucus ebulus",NA,"FR_ENIVTH"
"Sambucus sp",NA,"FR_ENIVTH"
"Saponaria officinalis",NA,"FR_ENIVTH"
"Scabiosa atropurpurea",NA,"FR_ENIVTH"
"Scandix pecten-veneris",NA,"FR_ENIVTH"
"Schedonorus arundinaceus",NA,"FR_ENIVTH"
"Schedonorus pratensis",NA,"FR_ENIVTH"
"Scorzoneroides autumnalis",NA,"FR_ENIVTH"
"Sedum acre",NA,"FR_ENIVTH"
"Sedum album",NA,"FR_ENIVTH"
"Senecio inaequidens",NA,"FR_ENIVTH"
"Senecio vulgaris",NA,"FR_ENIVTH"
"Setaria pumila",NA,"FR_ENIVTH"
"Setaria verticillata",NA,"FR_ENIVTH"
"Setaria viridis",NA,"FR_ENIVTH"
"Sherardia arvensis",NA,"FR_ENIVTH"
"Silene latifolia",NA,"FR_ENIVTH"
"Silene sp",NA,"FR_ENIVTH"
"Silene vulgaris",NA,"FR_ENIVTH"
"Silybum marianum",NA,"FR_ENIVTH"
"Sinapis alba",NA,"FR_ENIVTH"
"Sinapis arvensis",NA,"FR_ENIVTH"
"Sinapis sp",NA,"FR_ENIVTH"
"Sisymbrium officinale",NA,"FR_ENIVTH"
"Solanum dulcamara",NA,"FR_ENIVTH"
"Solanum nigrum",NA,"FR_ENIVTH"
"Solanum tuberosum",NA,"FR_ENIVTH"
"Solidago gigantea",NA,"FR_ENIVTH"
"Sonchus arvensis",NA,"FR_ENIVTH"
"Sonchus asper",NA,"FR_ENIVTH"
"Sonchus oleraceus",NA,"FR_ENIVTH"
"Sonchus sp",NA,"FR_ENIVTH"
"Sorbus sp",NA,"FR_ENIVTH"
"Sorghum halepense",NA,"FR_ENIVTH"
"Stachys annua",NA,"FR_ENIVTH"
"Stachys palustris",NA,"FR_ENIVTH"
"Stachys recta",NA,"FR_ENIVTH"
"Stachys sp",NA,"FR_ENIVTH"
"Stellaria graminea",NA,"FR_ENIVTH"
"Stellaria holostea",NA,"FR_ENIVTH"
"Stellaria media",NA,"FR_ENIVTH"
"Taraxacum officinale",NA,"FR_ENIVTH"
"Tordylium maximum",NA,"FR_ENIVTH"
"Torilis arvensis",NA,"FR_ENIVTH"
"Torilis nodosa",NA,"FR_ENIVTH"
"Torilis sp",NA,"FR_ENIVTH"
"Tragopogon dubius",NA,"FR_ENIVTH"
"Tragopogon pratensis",NA,"FR_ENIVTH"
"Tragopogon sp",NA,"FR_ENIVTH"
"Trifolium arvense",NA,"FR_ENIVTH"
"Trifolium campestre",NA,"FR_ENIVTH"
"Trifolium dubium",NA,"FR_ENIVTH"
"Trifolium fragiferum",NA,"FR_ENIVTH"
"Trifolium incarnatum",NA,"FR_ENIVTH"
"Trifolium pratense",NA,"FR_ENIVTH"
"Trifolium repens",NA,"FR_ENIVTH"
"Trifolium sp",NA,"FR_ENIVTH"
"Trigonella officinalis",NA,"FR_ENIVTH"
"Tripleurospermum inodorum",NA,"FR_ENIVTH"
"Trisetum flavescens",NA,"FR_ENIVTH"
"Triticum aestivum",NA,"FR_ENIVTH"
"Triticum sp",NA,"FR_ENIVTH"
"Tussilago farfara",NA,"FR_ENIVTH"
"Ulmus minor",NA,"FR_ENIVTH"
"Ulmus sp",NA,"FR_ENIVTH"
"Urtica dioica",NA,"FR_ENIVTH"
"Valeriana officinalis",NA,"FR_ENIVTH"
"Valerianella dentata",NA,"FR_ENIVTH"
"Valerianella locusta",NA,"FR_ENIVTH"
"Valerianella sp",NA,"FR_ENIVTH"
"Verbascum nigrum",NA,"FR_ENIVTH"
"Verbascum sp",NA,"FR_ENIVTH"
"Verbascum thapsus",NA,"FR_ENIVTH"
"Verbena officinalis",NA,"FR_ENIVTH"
"Veronica arvensis",NA,"FR_ENIVTH"
"Veronica chamaedrys",NA,"FR_ENIVTH"
"Veronica hederifolia",NA,"FR_ENIVTH"
"Veronica persica",NA,"FR_ENIVTH"
"Veronica polita",NA,"FR_ENIVTH"
"Veronica sp",NA,"FR_ENIVTH"
"Vicia cracca",NA,"FR_ENIVTH"
"Vicia faba",NA,"FR_ENIVTH"
"Vicia sativa",NA,"FR_ENIVTH"
"Vicia segetalis",NA,"FR_ENIVTH"
"Vicia sepium",NA,"FR_ENIVTH"
"Vicia sp",NA,"FR_ENIVTH"
"Vicia tenuifolia",NA,"FR_ENIVTH"
"Viola arvensis",NA,"FR_ENIVTH"
"Viola hirta",NA,"FR_ENIVTH"
"Viola odorata",NA,"FR_ENIVTH"
"Viola sp",NA,"FR_ENIVTH"
"Viola reichenbachiana",NA,"FR_ENIVTH"
"Vitis sp",NA,"FR_ENIVTH"
"Vulpia myuros",NA,"FR_ENIVTH"
"Vulpia sp",NA,"FR_ENIVTH"
"Xanthium orientale",NA,"FR_ENIVTH"
"Zea mays",NA,"FR_ENIVTH"
"Achillea millefolium","ACHMI","FR_FENAY"
"Aethusa cynapium","AETCY","FR_FENAY"
"Agrimonia eupatoria","AGIEU","FR_FENAY"
"Elymus repens","AGRRE","FR_FENAY"
"Agrostis stolonifera","AGSST","FR_FENAY"
"Allium sp.","ALLSS","FR_FENAY"
"Alopecurus myosuroides","ALOMY","FR_FENAY"
"Amaranthus sp.","AMASS","FR_FENAY"
"Ambrosia artemisiifolia","AMBEL","FR_FENAY"
"Ammi majus","AMIMA","FR_FENAY"
"Lysimachia arvensis","ANGAR","FR_FENAY"
"Anthemis arvensis","ANTAR","FR_FENAY"
"Aphanes arvensis","APHAR","FR_FENAY"
"Arabidopsis thaliana","ARBTH","FR_FENAY"
"Arenaria serpyllifolia","ARISE","FR_FENAY"
"Artemisia vulgaris","ARTVU","FR_FENAY"
"Misopates orontium","ATHOR","FR_FENAY"
"Atriplex patula","ATXPA","FR_FENAY"
"Avena fatua","AVEFA","FR_FENAY"
"Bidens tripartita","BIDTR","FR_FENAY"
"Bromus sp.","BROSS","FR_FENAY"
"Calystegia sepium","CAGSE","FR_FENAY"
"Capsella bursa-pastoris","CAPBP","FR_FENAY"
"Cardamine hirsuta","CARHI","FR_FENAY"
"Centaurea cyanus","CENCY","FR_FENAY"
"Centaurea jacea","CENJA","FR_FENAY"
"Centaurea scabiosa","CENSC","FR_FENAY"
"Cerastium sp.","CERSS","FR_FENAY"
"Chenopodium album","CHEAL","FR_FENAY"
"Chenopodiastrum hybridum","CHEHY","FR_FENAY"
"Lipandra polysperma","CHEPO","FR_FENAY"
"Chaenorhinum minus","CHNMI","FR_FENAY"
"Cirsium arvense","CIRAR","FR_FENAY"
"Cirsium vulgare","CIRVU","FR_FENAY"
"Consolida regalis","CNSRE","FR_FENAY"
"Convolvulus arvensis","CONAR","FR_FENAY"
"Lepidium coronopus","COPSQ","FR_FENAY"
"Carex sp.","CRXSS","FR_FENAY"
"Crepis sp.","CVPSS","FR_FENAY"
"Coronilla varia","CZRVA","FR_FENAY"
"Dactylis glomerata","DACGL","FR_FENAY"
"Daucus carota","DAUCA","FR_FENAY"
"Dipsacus fullonum","DIWSI","FR_FENAY"
"Echinochloa crus-galli","ECHCG","FR_FENAY"
"Echium vulgare","EHIVU","FR_FENAY"
"Euphorbia exigua","EPHEX","FR_FENAY"
"Euphorbia falcata","EPHFA","FR_FENAY"
"Euphorbia helioscopia","EPHHE","FR_FENAY"
"Euphorbia peplus","EPHPE","FR_FENAY"
"Euphorbia platyphyllos","EPHPL","FR_FENAY"
"Equisetum arvense","EQUAR","FR_FENAY"
"Erigeron sumatrensis","ERISU","FR_FENAY"
"Erodium cicutarium","EROCI","FR_FENAY"
"Draba verna","ERPVE","FR_FENAY"
"Eryngium campestre","ERXCA","FR_FENAY"
"Festuca sp.","FESSS","FR_FENAY"
"Fumaria officinalis","FUMOF","FR_FENAY"
"Galium aparine","GALAP","FR_FENAY"
"Galium mollugo","GALMO","FR_FENAY"
"Geranium columbinum","GERCO","FR_FENAY"
"Geranium dissectum","GERDI","FR_FENAY"
"Geranium molle","GERMO","FR_FENAY"
"Geranium pusillum","GERPU","FR_FENAY"
"Geranium robertianum","GERRO","FR_FENAY"
"Geranium rotundifolium","GERRT","FR_FENAY"
"Glechoma hederacea","GLEHE","FR_FENAY"
"Heracleum sphondylium","HERSP","FR_FENAY"
"Himantoglossum hircinum","HMAHI","FR_FENAY"
"Holcus mollis","HOLMO","FR_FENAY"
"Hypericum perforatum","HYPPE","FR_FENAY"
"Kickxia spuria","KICSP","FR_FENAY"
"Knautia arvensis","KNAAR","FR_FENAY"
"Lactuca serriola","LACSE","FR_FENAY"
"Lamium amplexicaule","LAMAM","FR_FENAY"
"Lamium purpureum","LAMPU","FR_FENAY"
"Lapsana communis","LAPCO","FR_FENAY"
"Legousia sp.","LEGSS","FR_FENAY"
"Lepidium campestre","LEPCA","FR_FENAY"
"Linaria vulgaris","LINVU","FR_FENAY"
"Buglossoides arvensis","LITAR","FR_FENAY"
"Lolium sp.","LOLSS","FR_FENAY"
"Lathyrus tuberosus","LTHTU","FR_FENAY"
"Malva sylvestris","MALSI","FR_FENAY"
"Matricaria sp.","MATSS","FR_FENAY"
"Medicago sp.","MEDSS","FR_FENAY"
"Silene latifolia subsp. alba","MELAL","FR_FENAY"
"Mentha suaveolens","MENSU","FR_FENAY"
"Mercurialis annua","MERAN","FR_FENAY"
"Myosotis arvensis","MYOAR","FR_FENAY"
"Oxalis sp.","OXASS","FR_FENAY"
"Papaver rhoeas","PAPRH","FR_FENAY"
"Pastinaca sativa","PAVSA","FR_FENAY"
"Helminthotheca echioides","PICEC","FR_FENAY"
"Picris hieracioides","PICHI","FR_FENAY"
"Plantago lanceolata","PLALA","FR_FENAY"
"Plantago major","PLAMA","FR_FENAY"
"Plantago media","PLAME","FR_FENAY"
"Poa annua","POAAN","FR_FENAY"
"Poa pratensis","POAPR","FR_FENAY"
"Poa trivialis","POATR","FR_FENAY"
"Polygonum aviculare","POLAV","FR_FENAY"
"Fallopia convolvulus","POLCO","FR_FENAY"
"Persicaria lapathifolia","POLLA","FR_FENAY"
"Persicaria maculosa","POLPE","FR_FENAY"
"Potentilla anserina","PTLAN","FR_FENAY"
"Potentilla reptans","PTLRE","FR_FENAY"
"Ranunculus repens","RANRE","FR_FENAY"
"Raphanus raphanistrum","RAPRA","FR_FENAY"
"Reseda lutea","RESLU","FR_FENAY"
"Rubus sp.","RUBSS","FR_FENAY"
"Rumex acetosa","RUMAC","FR_FENAY"
"Rumex crispus","RUMCR","FR_FENAY"
"Rumex obtusifolius","RUMOB","FR_FENAY"
"Sambucus ebulus","SAMEB","FR_FENAY"
"Saponaria officinalis","SAWOF","FR_FENAY"
"Scandix pecten-veneris","SCAPV","FR_FENAY"
"Senecio vulgaris","SENVU","FR_FENAY"
"Setaria pumila","SETPU","FR_FENAY"
"Setaria viridis","SETVI","FR_FENAY"
"Sherardia arvensis","SHRAR","FR_FENAY"
"Silene vulgaris","SILVU","FR_FENAY"
"Sinapis arvensis","SINAR","FR_FENAY"
"Silybum marianum","SLYMA","FR_FENAY"
"Solanum nigrum","SOLNI","FR_FENAY"
"Sonchus arvensis","SONAR","FR_FENAY"
"Sonchus asper","SONAS","FR_FENAY"
"Sonchus oleraceus","SONOL","FR_FENAY"
"Sisymbrium officinale","SSYOF","FR_FENAY"
"Stachys annua","STAAN","FR_FENAY"
"Stellaria media","STEME","FR_FENAY"
"Saxifraga tridactylites","SXFTR","FR_FENAY"
"Taraxacum officinale","TAROF","FR_FENAY"
"Thlaspi arvense","THLAR","FR_FENAY"
"Microthlaspi perfoliatum","THLPE","FR_FENAY"
"Torilis sp.","TOISS","FR_FENAY"
"Trifolium pratense","TRFPR","FR_FENAY"
"Tragopogon sp.","TROSS","FR_FENAY"
"Tussilago farfara","TUSFA","FR_FENAY"
"Urtica dioica","URTDI","FR_FENAY"
"Verbena officinalis","VEBOF","FR_FENAY"
"Veronica arvensis","VERAR","FR_FENAY"
"Veronica hederifolia","VERHE","FR_FENAY"
"Veronica persica","VERPE","FR_FENAY"
"Veronica polita","VERPO","FR_FENAY"
"Vicia sativa","VICSA","FR_FENAY"
"Viola sp.","VIOSS","FR_FENAY"
"Valerianella sp.","VLLSS","FR_FENAY"
"Aegilops biuncialis","flavi1","FR_FLAVI"
"Aegilops geniculata","flavi2","FR_FLAVI"
"Aegilops neglecta","flavi3","FR_FLAVI"
"Aegilops triuncialis","flavi4","FR_FLAVI"
"Agrostis stolonifera","flavi5","FR_FLAVI"
"Allium polyanthum","flavi6","FR_FLAVI"
"Allium sp","flavi7","FR_FLAVI"
"Allium vineale","flavi8","FR_FLAVI"
"Alopecurus myosuroides","flavi9","FR_FLAVI"
"Alopecurus pratensis","flavi10","FR_FLAVI"
"Althaea cannabina","flavi11","FR_FLAVI"
"Alyssum alyssoides","flavi12","FR_FLAVI"
"Amaranthus hybridus","flavi13","FR_FLAVI"
"Amaranthus retroflexus","flavi14","FR_FLAVI"
"Amaranthus sp","flavi15","FR_FLAVI"
"Ambrosia psilostachya","flavi16","FR_FLAVI"
"Ammi majus","flavi17","FR_FLAVI"
"Anacamptis pyramidalis","flavi18","FR_FLAVI"
"Anacyclus clavatus","flavi19","FR_FLAVI"
"Anacyclus radiatus","flavi20","FR_FLAVI"
"Anchusa azurea","flavi21","FR_FLAVI"
"Andryala integrifolia","flavi22","FR_FLAVI"
"Anisantha diandra","flavi23","FR_FLAVI"
"Anisantha madritensis","flavi24","FR_FLAVI"
"Anisantha sterilis","flavi25","FR_FLAVI"
"Anisantha tectorum","flavi26","FR_FLAVI"
"Anthemis arvensis","flavi27","FR_FLAVI"
"Anthyllis vulneraria","flavi28","FR_FLAVI"
"Aphyllanthes monspeliensis","flavi29","FR_FLAVI"
"Arenaria leptoclados","flavi30","FR_FLAVI"
"Aristolochia clematitis","flavi31","FR_FLAVI"
"Arrhenatherum elatius","flavi32","FR_FLAVI"
"Asparagus acutifolius","flavi33","FR_FLAVI"
"Atriplex patula","flavi34","FR_FLAVI"
"Avena barbata","flavi35","FR_FLAVI"
"Avena fatua","flavi36","FR_FLAVI"
"Avena sativa","flavi37","FR_FLAVI"
"Avena sp","flavi38","FR_FLAVI"
"Avena sterilis","flavi39","FR_FLAVI"
"Avenula bromoides","flavi40","FR_FLAVI"
"Barbarea vulgaris","flavi41","FR_FLAVI"
"Bellis perennis","flavi42","FR_FLAVI"
"Beta maritima","flavi43","FR_FLAVI"
"Bidens subalternans","flavi44","FR_FLAVI"
"Bituminaria bituminosa","flavi45","FR_FLAVI"
"Blackstonia perfoliata","flavi46","FR_FLAVI"
"Bothriochloa barbinodis","flavi47","FR_FLAVI"
"Bothriochloa ischaemum","flavi48","FR_FLAVI"
"Brachypodium distachyon","flavi49","FR_FLAVI"
"Brachypodium phoenicoides","flavi50","FR_FLAVI"
"Brachypodium retusum","flavi51","FR_FLAVI"
"Bromopsis erecta","flavi52","FR_FLAVI"
"Bromus hordeaceus","flavi53","FR_FLAVI"
"Bromus lanceolatus","flavi54","FR_FLAVI"
"Bromus sp","flavi55","FR_FLAVI"
"Calamintha sylvatica","flavi56","FR_FLAVI"
"Calendula arvensis","flavi57","FR_FLAVI"
"Campanula erinus","flavi58","FR_FLAVI"
"Campanula rapunculus","flavi59","FR_FLAVI"
"Capsella bursa-pastoris","flavi60","FR_FLAVI"
"Cardamine hirsuta","flavi61","FR_FLAVI"
"Carduus pycnocephalus","flavi62","FR_FLAVI"
"Carex divulsa","flavi63","FR_FLAVI"
"Carex hirta","flavi64","FR_FLAVI"
"Carex otrubae","flavi65","FR_FLAVI"
"Carthamus lanatus","flavi66","FR_FLAVI"
"Catapodium rigidum","flavi67","FR_FLAVI"
"Celtis australis","flavi68","FR_FLAVI"
"Centaurea aspera","flavi69","FR_FLAVI"
"Centaurea collina","flavi70","FR_FLAVI"
"Centaurea solstitialis","flavi71","FR_FLAVI"
"Centaurium sp","flavi72","FR_FLAVI"
"Centranthus calcitrapae","flavi73","FR_FLAVI"
"Cerastium fontanum","flavi74","FR_FLAVI"
"Cerastium glomeratum","flavi75","FR_FLAVI"
"Cerastium semidecandrum","flavi76","FR_FLAVI"
"Cercis siliquastrum","flavi77","FR_FLAVI"
"Chenopodium album","flavi78","FR_FLAVI"
"Chenopodium sp","flavi79","FR_FLAVI"
"Chondrilla juncea","flavi80","FR_FLAVI"
"Cichorium intybus","flavi81","FR_FLAVI"
"Cirsium arvense","flavi82","FR_FLAVI"
"Cirsium vulgare","flavi83","FR_FLAVI"
"Cistus albidus","flavi84","FR_FLAVI"
"Cistus monspeliensis","flavi85","FR_FLAVI"
"Clematis flammula","flavi86","FR_FLAVI"
"Clematis sp","flavi87","FR_FLAVI"
"Clematis vitalba","flavi88","FR_FLAVI"
"Clinopodium nepeta","flavi89","FR_FLAVI"
"Convolvulus arvensis","flavi90","FR_FLAVI"
"Convolvulus cantabrica","flavi91","FR_FLAVI"
"Cornus sanguinea","flavi92","FR_FLAVI"
"Coronilla scorpioides","flavi93","FR_FLAVI"
"Cota altissima","flavi94","FR_FLAVI"
"Crataegus x subsphaerica","flavi95","FR_FLAVI"
"Crepis bursifolia","flavi96","FR_FLAVI"
"Crepis foetida","flavi97","FR_FLAVI"
"Crepis micrantha","flavi98","FR_FLAVI"
"Crepis pulchra","flavi99","FR_FLAVI"
"Crepis sancta","flavi100","FR_FLAVI"
"Crepis sp","flavi101","FR_FLAVI"
"Crepis taraxacifolia","flavi102","FR_FLAVI"
"Cynanchum acutum","flavi103","FR_FLAVI"
"Cynodon dactylon","flavi104","FR_FLAVI"
"Cynoglossum creticum","flavi105","FR_FLAVI"
"Cynosurus echinatus","flavi106","FR_FLAVI"
"Dactylis glomerata","flavi107","FR_FLAVI"
"Daucus carota","flavi108","FR_FLAVI"
"Diplotaxis erucoides","flavi109","FR_FLAVI"
"Diplotaxis muralis","flavi110","FR_FLAVI"
"Diplotaxis tenuifolia","flavi111","FR_FLAVI"
"Dittrichia viscosa","flavi112","FR_FLAVI"
"Draba verna","flavi113","FR_FLAVI"
"Ecballium elaterium","flavi114","FR_FLAVI"
"Echium sp","flavi115","FR_FLAVI"
"Echium vulgare","flavi116","FR_FLAVI"
"Elytrigia campestris","flavi117","FR_FLAVI"
"Elytrigia repens","flavi118","FR_FLAVI"
"Epibolium angustifolium","flavi119","FR_FLAVI"
"Epilobium sp","flavi120","FR_FLAVI"
"Epilobium tetragonum","flavi121","FR_FLAVI"
"Equisetum ramosissimum","flavi122","FR_FLAVI"
"Eragrostis minor","flavi123","FR_FLAVI"
"Erigeron annuus","flavi124","FR_FLAVI"
"Erigeron canadensis","flavi125","FR_FLAVI"
"Erigeron sumatrensis","flavi126","FR_FLAVI"
"Erodium ciconium","flavi127","FR_FLAVI"
"Erodium cicutarium","flavi128","FR_FLAVI"
"Erodium malacoides","flavi129","FR_FLAVI"
"Erodium moschatum","flavi130","FR_FLAVI"
"Eryngium campestre","flavi131","FR_FLAVI"
"Euphorbia characias","flavi132","FR_FLAVI"
"Euphorbia exigua","flavi133","FR_FLAVI"
"Euphorbia falcata","flavi134","FR_FLAVI"
"Euphorbia helioscopia","flavi135","FR_FLAVI"
