"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectance.periphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers","original_taxa_Hodgson2023","Lifecycle_Hodgson2023","SLA_mm2.mg-1_Hodgson2023","Vegetative.propagation_Hodgson2023","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Inflorescence_GIFT","Leaf.area_cm2_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.UV.reflectance_Biolflor","Seed.mass_mg_Biolflor","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Pyrus communis","Pyrus communis",0.09307,1.34043,0.66445,0.16823,0.20823,0.05011,0.11894,"Pyrus communis",6.1,5,NA,NA,0,6,"Pyrus communis","6","Endozoochory",17.9152380952381,29.3,"Pyrus communis","Eurasiatique tempéré","Blanc","Endozoochore","4-5","Corymbe","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pyrus communis","Zoochorous",NA,"White",3,1.2,3,NA,NA,NA,"Perennial","C3",30,17.3,"Biotic","Insect","Insect",0.027933,93.215,"Pyrus communis","Blanc","Autre",100,NA,NA,NA,"Pyrus communis",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus","Quercus cerris_Quercus coccifera_Quercus ilex_Quercus petraea_Quercus pubescens_Quercus robur_Quercus rubra_Quercus suber",0.073485,1.33101,0.70329875,0.1512825,0.23153125,0.01541125,0.128295,"Quercus cerris_Quercus coccifera_Quercus ilex_Quercus petraea_Quercus pubescens_Quercus robur_Quercus suber",7.02,4.18571428571429,3.88,5.38333333333333,0.0285714285714286,8.45,"Quercus cerris_Quercus coccifera_Quercus ilex_Quercus petraea_Quercus pubescens_Quercus robur_Quercus rubra_Quercus suber","6","Dyszoochory",19.584705109127,2747.05215277778,"Quercus cerris_Quercus coccifera_Quercus ilex_Quercus petraea_Quercus pubescens_Quercus robur_Quercus rubra_Quercus suber","Européen_Européen méridional_Introduit (amér. du nord or.)_Méditerranéen_Méditerranéen occidental_Orophyte méditerranéen central","Jaune","Endozoochore, dyszoochore","4-5","Épi de cymes triflores","Anémogame","Quercus petraea_Quercus robur","Green","Wind flowers","Not applicable",2.105654308,1.7057416285,3.4769635905,2.531331721,"Plenty_Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Quercus robur","T","C","P",NA,NA,NA,NA,"Quercus cerris_Quercus coccifera_Quercus dilatata_Quercus ilex_Quercus petraea_Quercus pubescens_Quercus robur_Quercus rubra_Quercus suber","Zoochorous","Zoochorous",NA,8,3,NA,NA,NA,30.6235966666667,"Perennial","C3",28.125,27.4319333333333,"Abiotic","Wind","Wind",2.63728879944444,97.21875,"Quercus",NA,"Ligneux",NA,"Quercus cerris_Quercus petraea_Quercus robur",33.3333333333333,3071.5,"Quercus cerris_Quercus petraea_Quercus pubescens_Quercus robur_Quercus rubra",NA,NA,"""quercus cerris l.""_""quercus robur l.""_""quercus rubra l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus cerris","Quercus cerris",0.01864,1.30448,0.69395,0.11294,0.20337,0.00775,0.10225,"Quercus cerris",6.4,4.4,4.6,5.7,0,7.6,"Quercus cerris","6","Dyszoochory",27.57,2934.25,"Quercus cerris","Orophyte méditerranéen central","Jaune","Endozoochore, dyszoochore","4-5","Épi de cymes triflores","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercus cerris",NA,NA,NA,NA,NA,NA,NA,NA,29.194,"Perennial","C3",35,35,"Abiotic","Wind","Wind",3.648245875,99,NA,NA,NA,NA,"Quercus cerris",35,NA,"Quercus cerris",NA,NA,"""quercus cerris l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus coccifera","Quercus coccifera",0.14212,1.41782,0.69468,0.18814,0.29331,0.01617,0.12511,"Quercus coccifera",NA,3.8,4.3,5.7,0,9.3,"Quercus coccifera","6","Dyszoochory",2.50920833333333,3648.75,"Quercus coccifera","Méditerranéen","Jaune","Endozoochore, dyszoochore","4-5","Épi de cymes triflores","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercus coccifera","Zoochorous","Zoochorous",NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",18,NA,NA,NA,NA,3.6489,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus ilex","Quercus ilex",0.08061,1.32281,0.69018,0.15047,0.25771,0.0103,0.10431,"Quercus ilex",NA,3.4,4,6,0.2,8.9,"Quercus ilex","6","Dyszoochory",16.8135,2725.35,"Quercus ilex","Méditerranéen","Jaune","Endozoochore, dyszoochore",NA,"Épi de cymes triflores","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercus ilex","Zoochorous",NA,NA,8,3,NA,NA,NA,8.51,"Perennial","C3",27,NA,"Abiotic","Wind",NA,2.7251166665,58.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus petraea","Quercus petraea",0.03119,1.3137,0.69505,0.12102,0.20003,0.01185,0.11673,"Quercus petraea",6.7,5.1,NA,NA,0,NA,"Quercus petraea","6","Dyszoochory",28.5056349206349,1638.415,"Quercus petraea","Européen","Jaune","Endozoochore, dyszoochore",NA,"Épi de cymes triflores","Anémogame","Quercus petraea","Green","Wind flowers","Not applicable",2.143073492,1.780228291,3.543006792,2.516603157,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercus petraea",NA,NA,NA,NA,NA,NA,NA,NA,35.00325,"Perennial","C3",30,35.663,"Abiotic","Wind","Wind",1.6668993335,125.76,NA,NA,NA,NA,"Quercus petraea",30,2290,"Quercus petraea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus pubescens","Quercus pubescens",0.07142,1.31907,0.67611,0.14393,0.22731,0.03152,0.1062,"Quercus pubescens",6.8,3.9,3.5,6.9,0,NA,"Quercus pubescens","6","Dyszoochory",12.3457142857143,1151.88,"Quercus pubescens","Européen méridional","Jaune","Endozoochore, dyszoochore","4-5","Épi de cymes triflores","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercus pubescens","Zoochorous",NA,NA,NA,NA,NA,NA,NA,39.45,"Perennial","C3",20,11.5,"Abiotic","Wind",NA,0.6337,102.31,"Quercus pubescens","Jaune","Ligneux",100,NA,NA,NA,"Quercus pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus robur","Quercus robur",0.09816,1.3451,0.69028,0.18028,0.20104,0.03309,0.14832,"Quercus robur",6.9,5.7,NA,5,0,NA,"Quercus robur","6","Dyszoochory",30.584,3121.82222222222,"Quercus robur","Européen","Jaune","Endozoochore, dyszoochore","4-5","Épi de cymes triflores","Anémogame","Quercus robur","Green","Wind flowers","Not applicable",2.068235124,1.631254966,3.410920389,2.546060285,"Plenty","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Quercus robur","T","C","P",NA,NA,NA,NA,"Quercus robur",NA,NA,NA,NA,NA,NA,NA,NA,20.73533,"Perennial","C3",50,30,"Abiotic","Wind","Wind",3.432486625,148.43,NA,NA,NA,NA,"Quercus robur",35,3853,"Quercus robur",NA,NA,"""quercus robur l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus robur robur","Quercus robur",0.09816,1.3451,0.69028,0.18028,0.20104,0.03309,0.14832,"Quercus robur",6.9,5.7,NA,5,0,NA,"Quercus robur","6","Dyszoochory",30.584,3121.82222222222,"Quercus robur","Européen","Jaune","Endozoochore, dyszoochore","4-5","Épi de cymes triflores","Anémogame","Quercus robur","Green","Wind flowers","Not applicable",2.068235124,1.631254966,3.410920389,2.546060285,"Plenty","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Quercus robur","T","C","P",NA,NA,NA,NA,"Quercus dilatata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C3",NA,NA,NA,NA,NA,1.111,NA,"Quercus robur robur","Jaune","Ligneux",100,"Quercus robur",35,3853,"Quercus robur",NA,NA,"""quercus robur l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus rubra","Quercus rubra",0.08244,1.30403,0.79599,0.17617,0.19738,0.00948,0.22226,NA,NA,NA,NA,NA,NA,NA,"Quercus rubra","6","Dyszoochory",22.9866666666667,3251.55,"Quercus rubra","Introduit (amér. du nord or.)","Jaune","Endozoochore, dyszoochore",NA,"Épi de cymes triflores","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercus rubra","Zoochorous",NA,NA,NA,NA,NA,NA,NA,50.849,"Perennial","C3",25,24.9966666666667,"Abiotic","Wind","Wind",3.364881945,138.9,NA,NA,NA,NA,NA,NA,NA,"Quercus rubra",NA,NA,"""quercus rubra l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus suber","Quercus suber",0.0633,1.32107,0.69015,0.13731,0.2721,0.00313,0.10118,"Quercus suber",8.3,3,3,3,0,8,"Quercus suber","6","Dyszoochory",15.3629166666667,3504.4,"Quercus suber","Méditerranéen occidental","Jaune","Endozoochore, dyszoochore","4-5","Épi de cymes triflores","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quercus suber","Zoochorous","Zoochorous",NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",20,NA,NA,NA,NA,3.50436875,53.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rabelera holostea","Cerastium holosteum_Stellaria holostea",0.04808,1.33458,0.68938,0.149865,0.196305,0.015465,0.108995,"Stellaria holostea",NA,5.5,4.9,5.7,0,NA,"Cerastium holosteum_Stellaria holostea","1","Local non-specific dispersal",0.251666666666667,2.82948333333333,"Stellaria holostea","Européen méridional","Blanc","Barochore","4-6","Cyme bipare","Entomogame","Stellaria holostea","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.82762499,4.076254111,6.452935129,5.391923842,"Present","Little","Actinomorphe",3.5,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stellaria holostea","Herb.perenn",25.64833333,"0","Rabelera holostea",NA,NA,NA,NA,NA,NA,NA,NA,2.16,"Perennial","C3",0.5,0.233,"Biotic","Insect",NA,0.002728,273.38,"Stellaria holostea","Blanc","Autre",30,"Stellaria holostea",0.375,2.1,"Stellaria holostea",12.5,3.06966666666667,"""stellaria holostea l.""","4",2.7,2.7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranunculus","Ceratocephala falcata_Ficaria verna_Myosurus minimus_Ranunculus arvensis_Ranunculus breyninus_Ranunculus bulbosus_Ranunculus flammula_Ranunculus gramineus_Ranunculus lanuginosus_Ranunculus macrophyllus_Ranunculus muricatus_Ranunculus paludosus_Ranunculus parviflorus_Ranunculus repens_Ranunculus reptans_Ranunculus sardous_Ranunculus sceleratus_Ranunculus villosus",1.067615,1.79461888888889,0.583867222222222,0.464214444444444,0.269669444444444,0.335947777777778,0.275459444444444,"Ceratocephala falcata_Ficaria verna_Myosurus minimus_Ranunculus arvensis_Ranunculus breyninus_Ranunculus bulbosus_Ranunculus flammula_Ranunculus gramineus_Ranunculus lanuginosus_Ranunculus macrophyllus_Ranunculus muricatus_Ranunculus paludosus_Ranunculus parviflorus_Ranunculus repens_Ranunculus reptans_Ranunculus sardous_Ranunculus sceleratus_Ranunculus villosus",7.34375,6.17333333333333,4.87333333333333,6.46470588235294,0.264705882352941,5.84545454545455,"Ceratocephala falcata_Ficaria verna_Myosurus minimus_Ranunculus acris_Ranunculus arvensis_Ranunculus breyninus_Ranunculus bulbosus_Ranunculus flammula_Ranunculus gramineus_Ranunculus lanuginosus_Ranunculus macrophyllus_Ranunculus muricatus_Ranunculus paludosus_Ranunculus parviflorus_Ranunculus repens_Ranunculus reptans_Ranunculus sardous_Ranunculus sceleratus_Ranunculus villosus","1_2_3_6","Epizoochory_Hydrochory_Local non-specific dispersal_Myrmecochory",0.261384502923977,2.76809502835179,"Ceratocephala falcata_Ficaria verna_Myosurus minimus_Ranunculus acris_Ranunculus acris subsp. acris_Ranunculus acris subsp. friesianus_Ranunculus arvensis_Ranunculus auricomus_Ranunculus breyninus_Ranunculus bulbosus_Ranunculus flammula_Ranunculus gramineus_Ranunculus lanuginosus_Ranunculus macrophyllus_Ranunculus muricatus_Ranunculus paludosus_Ranunculus parviflorus_Ranunculus repens_Ranunculus sardous_Ranunculus sceleratus_Ranunculus tuberosus","Circumboréal_Eurasiatique_Eurasiatique méridional_Européen central_Européen méridional_Holarctique_Méditerranéen_Méditerranéen occidental_Méditerranéen-atlantique_Orophyte méridional","Jaune","Anémochore_Barochore_Épizoochore_Hydrochore_Myrmécochore","3-5_4-6_5-6_5-7_5-9","Cyme unipare hélicoïde_Fleur solitaire terminale","Apogame_Entomogame_Entomogame, autogame","Ceratocephala falcata_Ficaria verna_Myosurus minimus_Ranunculus acris_Ranunculus arvensis_Ranunculus bulbosus_Ranunculus muricatus_Ranunculus parviflorus_Ranunculus repens_Ranunculus sardous","Green_Yellow","Flowers with open nectar_Flowers with partly hidden nectar_Flowers with totally hidden nectar","Disk flowers with nectar hidden_Disk flowers with nectar hidden nectaries at base of stamens_Disk flowers with nectar open",4.5118592924,2.6255603262,7.1977591582,5.4460756166,"None_Plenty_Present","Plenty","Actinomorphe",9.25,23.2,NA,NA,NA,NA,NA,"Ranunculus bulbosus_Ranunculus parviflorus","H","Csr_Sr","A_P","Ficaria verna_Ranunculus acris_Ranunculus arvensis_Ranunculus bulbosus_Ranunculus flammula_Ranunculus muricatus_Ranunculus parviflorus_Ranunculus repens_Ranunculus reptans_Ranunculus sardous_Ranunculus sceleratus","Ann_Herb.perenn",28.4632237209091,"0_1","Ranunculus acris_Ranunculus arvensis_Ranunculus auricomus_Ranunculus breyninus_Ranunculus bulbosus_Ranunculus falcatus_Ranunculus ficaria_Ranunculus flammula_Ranunculus gramineus_Ranunculus lanuginosus_Ranunculus minimus_Ranunculus muricatus_Ranunculus paludosus_Ranunculus parviflorus_Ranunculus repens_Ranunculus reptans_Ranunculus sardous_Ranunculus sceleratus_Ranunculus tuberosus","Anemochorous_Autochorous_Hydrochorous_Unspecialized_Zoochorous","Anemochorous_Epizoochorous","Yellow",0.8875,0.475,2.3,1.36,NA,13.6749391666667,"Annual_Perennial","C3",0.584117647058824,0.256,"Biotic","Insect","Fly_Insect",0.00354036084895833,251.700909090909,"Ranunculus","Jaune","Autre",NA,"Ficaria verna_Myosurus minimus_Ranunculus acris_Ranunculus arvensis_Ranunculus auricomus_Ranunculus bulbosus_Ranunculus flammula_Ranunculus muricatus_Ranunculus parviflorus_Ranunculus repens_Ranunculus reptans_Ranunculus sardous_Ranunculus sceleratus",0.309230769230769,2.68425925925926,"Ceratocephala falcata_Ficaria verna_Myosurus minimus_Ranunculus acris_Ranunculus arvensis_Ranunculus breyninus_Ranunculus bulbosus_Ranunculus flammula_Ranunculus lanuginosus_Ranunculus repens_Ranunculus reptans_Ranunculus sardous_Ranunculus sceleratus",19.9,0.150666666666667,"""myosurus minimus l.""_""ranunculus acris l.""_""ranunculus arvensis l.""_""ranunculus auricomus agg. ""_""ranunculus bulbosus l.""_""ranunculus flammula l.""_""ranunculus lanuginosus l.""_""ranunculus repens l.""_""ranunculus reptans l.""_""ranunculus sceleratus l.""","3_4_5_6",2.54285714285714,2.54285714285714,7.45714285714286,"Ranunculus acris_Ranunculus bulbosus_Ranunculus repens","3_6","1",4.66666666666667,"4_5",29.3323313733333,NA,"Mpd_Nd",2.25037465366667,"10_8","Autumn_Late summer",213.568150533333
"Ranunculus acris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus acris","2","Local non-specific dispersal",0.4475,1.59924066666666,"Ranunculus acris","Circumboréal","Jaune","Épizoochore",NA,"Cyme unipare hélicoïde","Entomogame","Ranunculus acris","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden",5.08,1,8.04,6,"Plenty","Plenty","Actinomorphe",3.5,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus acris","Herb.perenn",24.02866667,"0","Ranunculus acris","Zoochorous",NA,NA,NA,NA,NA,NA,NA,6.20705,"Perennial","C3",1.2,0.517,"Biotic","Insect",NA,0.001611857,231.17,"Ranunculus acris acris","Jaune","Autre",70,"Ranunculus acris",0.583333333333333,1.9,"Ranunculus acris",12.5,NA,"""ranunculus acris l.""","3",2.1,2.1,1.9,"Ranunculus acris","3","1",6,"4",43.38529412,NA,NA,1.573503448,"10","Autumn",192.2087373
"Ranunculus acris acris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus acris","2","Local non-specific dispersal",0.4475,1.59924066666666,"Ranunculus acris subsp. acris","Circumboréal","Jaune","Épizoochore","5-9","Cyme unipare hélicoïde","Entomogame","Ranunculus acris","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden",5.08,1,8.04,6,"Plenty","Plenty","Actinomorphe",3.5,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus acris","Herb.perenn",24.02866667,"0","Ranunculus acris","Zoochorous",NA,NA,NA,NA,NA,NA,NA,6.20705,"Perennial","C3",1.2,0.517,"Biotic","Insect",NA,0.001611857,231.17,"Ranunculus acris acris","Jaune","Autre",70,"Ranunculus acris",0.583333333333333,1.9,"Ranunculus acris",12.5,NA,"""ranunculus acris l.""","3",2.1,2.1,1.9,"Ranunculus acris","3","1",6,"4",43.38529412,NA,NA,1.573503448,"10","Autumn",192.2087373
"Ranunculus acris friesianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus acris","2","Local non-specific dispersal",0.4475,1.59924066666666,"Ranunculus acris subsp. friesianus","Holarctique","Jaune","Épizoochore","5-9","Cyme unipare hélicoïde","Entomogame","Ranunculus acris","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden",5.08,1,8.04,6,"Plenty","Plenty","Actinomorphe",3.5,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus acris","Herb.perenn",24.02866667,"0","Ranunculus acris","Zoochorous",NA,NA,NA,NA,NA,NA,NA,6.20705,"Perennial","C3",1.2,0.517,"Biotic","Insect",NA,0.001611857,231.17,"Ranunculus acris acris","Jaune","Autre",70,"Ranunculus acris",0.583333333333333,1.9,"Ranunculus acris",12.5,NA,"""ranunculus acris l.""","3",2.1,2.1,1.9,"Ranunculus acris","3","1",6,"4",43.38529412,NA,NA,1.573503448,"10","Autumn",192.2087373
"Ranunculus arvensis","Ranunculus arvensis",1.82032,2.05499,0.84119,0.83639,0.15411,0.53298,0.79127,"Ranunculus arvensis",6.9,4.2,6.1,7.7,0,NA,"Ranunculus arvensis","1","Local non-specific dispersal",0.248666666666667,12.1375222222222,"Ranunculus arvensis","Méditerranéen","Jaune","Épizoochore","5-7","Cyme unipare hélicoïde","Entomogame","Ranunculus arvensis","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden",5.21,1,7.49,5.72,"Present","Plenty","Actinomorphe",3.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus arvensis","Ann",27.78666667,NA,"Ranunculus arvensis","Zoochorous",NA,"Yellow",NA,NA,1.3,0.6,NA,5.76,"Annual","C3",0.6,0.269333333333333,"Biotic","Insect","Insect",0.012374,274,NA,NA,NA,NA,"Ranunculus arvensis",0.375,12,"Ranunculus arvensis",18.5,NA,"""ranunculus arvensis l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranunculus auricomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus auricomus","Eurasiatique","Jaune","Épizoochore","4-6","Cyme unipare hélicoïde","Apogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus auricomus","Autochorous",NA,NA,NA,NA,NA,NA,NA,12.765,"Perennial","C3",0.6,0.175,"Biotic","Insect","Insect",0.00234,319.33,"Ranunculus auricomus",NA,"Autre",35,"Ranunculus auricomus",0.25,2.54,NA,NA,NA,"""ranunculus auricomus agg. ""","3",1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranunculus breyninus","Ranunculus breyninus",0.42607,1.3207,0.47443,0.26078,0.24349,0.09693,0.12157,"Ranunculus breyninus",8.3,4.9,3,7,0,3.7,"Ranunculus breyninus","1","Local non-specific dispersal",0.24,1.8228,"Ranunculus breyninus","Orophyte méridional","Jaune","Épizoochore",NA,"Cyme unipare hélicoïde","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus breyninus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus breyninus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranunculus bulbosus","Ranunculus bulbosus",1.00552,1.92327,0.52109,0.46149,0.28293,0.79082,0.2827,"Ranunculus bulbosus",NA,3.9,2.9,6.5,0,NA,"Ranunculus bulbosus","1","Local non-specific dispersal",0.252,2.57111349207142,"Ranunculus bulbosus","Holarctique","Jaune","Épizoochore",NA,"Cyme unipare hélicoïde","Entomogame","Ranunculus bulbosus","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden",4.94,1,8.25,5.71,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Ranunculus bulbosus","H","Csr","P","Ranunculus bulbosus","Herb.perenn",19.25147536,"0","Ranunculus bulbosus",NA,NA,NA,NA,NA,NA,NA,NA,10.81333,"Perennial","C3",0.9,0.2375,"Biotic","Insect",NA,0.00238725,181.41,"Ranunculus bulbosus bulbosus","Jaune","Autre",35,"Ranunculus bulbosus",0.275,3.33333333333333,"Ranunculus bulbosus",3.5,NA,"""ranunculus bulbosus l.""","3",1.6,1.6,0.5,"Ranunculus bulbosus","3","1",3,"5",17.5,NA,"Nd",2.936282051,"8","Late summer",201.2857143
"Ranunculus falcatus","Ceratocephala falcata",2.12627,2.16816,0.518,0.51597,0.3255,0.21497,0.37806,"Ceratocephala falcata",8.3,3.6,4,8,0,NA,"Ceratocephala falcata","1","Local non-specific dispersal",0.0683333333333333,1.402,"Ceratocephala falcata","Eurasiatique méridional","Jaune","Épizoochore","3-5","Fleur solitaire terminale","Entomogame","Ceratocephala falcata","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden",5.03,1,7.49,5.57,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ranunculus falcatus","Zoochorous","Epizoochorous",NA,NA,NA,NA,NA,NA,NA,"Annual","C3",0.1,0.04,"Biotic","Insect",NA,0.001475,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratocephala falcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
