"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Anthriscus sylvestris","Anthriscus sylvestris","Eurasiatique septentrional","Blanc","Barochore","5-7","Ombelle d'ombellules","Entomogame"
"Anthriscus sylvestris sylvestris","Anthriscus sylvestris subsp. sylvestris","Eurasiatique septentrional","Blanc","Barochore","5-7","Ombelle d'ombellules","Entomogame"
"Anthyllis circinnata","Anthyllis circinnata","Méditerranéen","Jaune","Anémochore","3-5","Racème simple","Entomogame"
"Anthyllis vulneraria","Anthyllis vulneraria","Européen","Blanc, jaune, rose","Anémochore","5-8","Racème capituliforme","Entomogame"
"Anthyllis vulneraria vulneraria","Anthyllis vulneraria subsp. vulneraria","Européen méridional","Blanc, jaune, rose","Anémochore","5-8","Racème capituliforme","Entomogame"
"Antirrhinum majus","Antirrhinum majus","Européen méridional","Blanc, rose","Épizoochore","5-9","Racème simple","Entomogame, autogame"
"Apera interrupta","Apera interrupta","Méditerranéen(eury)","Vert","Anémochore","5-7","Panicule d'épillets","Anémogame"
"Apera spica-venti","Apera spica-venti","Eurasiatique","Vert, rose","Anémochore","6-8","Panicule d'épillets","Anémogame"
"Apera spica-venti spica-venti","Apera spica-venti subsp. spica-venti","Eurasiatique","Vert, rose","Anémochore","6-8","Panicule d'épillets","Anémogame"
"Aphanes arvensis","Aphanes arvensis","Européen méridional","Vert","Barochore","4-7","Glomérules","Autogame"
"Aphyllanthes","Aphyllanthes monspeliensis","Méditerranéen occidental","Bleu","Barochore","4-7","Fleur solitaire terminale","Entomogame"
"Aphyllanthes monspeliensis","Aphyllanthes monspeliensis","Méditerranéen occidental","Bleu","Barochore","4-7","Fleur solitaire terminale","Entomogame"
"Apiaceae",NA,NA,NA,NA,NA,NA,NA
"Apium","Apium graveolens","Cosmopolite","Blanc","Hydrochore","7-9","Ombelle d'ombellules","Entomogame, autogame"
"Apium graveolens","Apium graveolens","Cosmopolite","Blanc","Hydrochore","7-9","Ombelle d'ombellules","Entomogame, autogame"
"Aquilegia","Aquilegia vulgaris","Eurasiatique","Bleu","Épizoochore","","Cyme unipare hélicoïde","Entomogame"
