"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Raphanus raphanistrum raphanistrum","Raphanus raphanistrum subsp. raphanistrum","Eurasiatique tempéré","Blanc","Barochore","","Racème simple","Entomogame"
"Raphanus raphanistrum sativus","Raphanus raphanistrum","Eurasiatique tempéré","Blanc","Barochore","","Racème simple","Entomogame"
"Raphanus sativus","Raphanus sativus","Eurasiatique","Blanc","Barochore","","Racème simple","Entomogame"
"Rapistrum perenne","Rapistrum perenne","Européen oriental","Jaune","Épizoochore","","Racème simple","Entomogame"
"Rapistrum rugosum","Rapistrum rugosum","Cosmopolite","Jaune","Épizoochore","","Racème simple","Entomogame"
"Reichardia","Reichardia picroides","Méditerranéen","Jaune","Barochore","4-7","Racème de capitules","Entomogame"
"Reichardia picroides","Reichardia picroides","Méditerranéen","Jaune","Barochore","4-7","Racème de capitules","Entomogame"
"Reseda","Reseda alba_Reseda lutea_Reseda luteola_Reseda phyteuma_Reseda undata","Circumboréal_Européen_Méditerranéen_Méditerranéen occidental","Blanc_Jaune","Barochore_Épizoochore","","Racème simple","Entomogame, autogame"
"Reseda alba","Reseda alba","Méditerranéen","Blanc","Barochore","","Racème simple","Entomogame, autogame"
"Reseda lanceolata",NA,NA,NA,NA,NA,NA,NA
"Reseda lutea","Reseda lutea","Européen","Jaune","Épizoochore","","Racème simple","Entomogame, autogame"
"Reseda luteola","Reseda luteola","Circumboréal","Jaune","Épizoochore","","Racème simple","Entomogame, autogame"
"Reseda phyteuma","Reseda phyteuma","Méditerranéen","Blanc","Épizoochore","","Racème simple","Entomogame, autogame"
"Reseda undata","Reseda undata","Méditerranéen occidental","","","","Racème simple","Entomogame, autogame"
"Retama sphaerocarpa",NA,NA,NA,NA,NA,NA,NA
"Reynoutria japonica","Reynoutria japonica","Introduit (asie orient.)","Blanc","Barochore","","Épi de cymes triflores","Anémogame"
"Rhagadiolus edulis","Rhagadiolus edulis","Méditerranéen(eury)","Jaune","Épizoochore","","Racème de capitules","Entomogame"
"Rhagadiolus stellatus","Rhagadiolus stellatus","Méditerranéen","Jaune","Épizoochore","4-6","Racème de capitules","Entomogame"
"Rhamnus","Rhamnus alaternus_Rhamnus cathartica_Rhamnus saxatilis","Eurasiatique_Européen méridional_Méditerranéen(eury)","Jaune","Endozoochore","5-6","Glomérules","Anémogame"
"Rhamnus alaternus","Rhamnus alaternus","Méditerranéen(eury)","Jaune","Endozoochore","","Glomérules","Anémogame"
"Rhamnus cathartica","Rhamnus cathartica","Eurasiatique","Jaune","Endozoochore","5-6","Glomérules","Anémogame"
"Rhamnus saxatilis","Rhamnus saxatilis","Européen méridional","Jaune","Endozoochore","","Glomérules","Anémogame"
"Rheum rhabarbarum",NA,NA,NA,NA,NA,NA,NA
"Rheum x hybridum","Rheum x hybridum","Eurasiatique","","","","",""
"Rhinanthus","Rhinanthus alectorolophus_Rhinanthus minor_Rhinanthus pumilus","Circumboréal_Européen_Européen méridional","Jaune","Anémochore","","Épi simple","Entomogame_Entomogame, autogame"
"Rhinanthus alectorolophus","Rhinanthus alectorolophus","Européen","Jaune","Anémochore","","Épi simple","Entomogame"
"Rhinanthus minor","Rhinanthus minor","Circumboréal","Jaune","Anémochore","","Épi simple","Entomogame, autogame"
"Rhinanthus pumilus","Rhinanthus pumilus","Européen méridional","Jaune","Anémochore","","Épi simple","Entomogame"
"Rhizogemma staphylina",NA,NA,NA,NA,NA,NA,NA
"Ribes uva-crispa","Ribes uva-crispa","Eurasiatique","Vert, rose","Épizoochore","","Glomérules","Entomogame"
"Riccia",NA,NA,NA,NA,NA,NA,NA
"Riccia sorocarpa",NA,NA,NA,NA,NA,NA,NA
"Riccia warnstorfii",NA,NA,NA,NA,NA,NA,NA
"Ridolfia segetum","Ridolfia segetum","Méditerranéen","Jaune","Barochore","5-8","Ombelle d'ombellules","Entomogame"
"Robinia pseudoacacia","Robinia pseudoacacia","Introduit (amér. du nord)","Blanc","Barochore","5-6","Racème simple","Entomogame"
"Roemeria apula","Papaver apulum","Européen méridional","","","","Cyme unipare hélicoïde","Entomogame"
"Roemeria argemone","Papaver argemone","Européen","Rose","Anémochore","","Cyme unipare hélicoïde","Entomogame, autogame"
"Roemeria hispida","Papaver hybridum","Méditerranéen","Rose","Anémochore","5-7","Cyme unipare hélicoïde","Entomogame"
"Roemeria hybrida","Roemeria hybrida","Méditerranéen(eury)","Bleu","Épizoochore","","Fleur solitaire terminale","Entomogame"
"Rorippa","Rorippa amphibia_Rorippa austriaca_Rorippa islandica_Rorippa palustris_Rorippa sylvestris","Arctico-alpin_Circumboréal_Cosmopolite_Eurasiatique_Européen central","Jaune","Barochore_Hydrochore","6-9","Racème simple","Entomogame_Entomogame, autogame"
"Rorippa amphibia","Rorippa amphibia","Circumboréal","Jaune","Hydrochore","6-9","Racème simple","Entomogame, autogame"
"Rorippa austriaca","Rorippa austriaca","Européen central","Jaune","Hydrochore","","Racème simple","Entomogame"
"Rorippa islandica","Rorippa islandica","Arctico-alpin","Jaune","Hydrochore","","Racème simple","Entomogame"
"Rorippa palustris","Rorippa palustris","Cosmopolite","Jaune","Hydrochore","6-9","Racème simple","Entomogame, autogame"
"Rorippa sylvestris","Rorippa sylvestris","Eurasiatique","Jaune","Barochore","","Racème simple","Entomogame, autogame"
"Rorippa x armoracioides",NA,NA,NA,NA,NA,NA,NA
"Rosa","Rosa agrestis_Rosa arvensis_Rosa canina_Rosa multiflora_Rosa rubiginosa_Rosa sempervirens","Eurasiatique_Eurasiatique tempéré_Européen_Introduit (asie orient.)_Méditerranéen-atlantique_Méditerranéen(eury)-atlantique(eury)","Blanc_Blanc, rose_Rose","Endozoochore","5-6_5-7_6-7_6-8","Corymbe","Entomogame_Entomogame, autogame"
"Rosa agrestis","Rosa agrestis","Méditerranéen(eury)-atlantique(eury)","Blanc","Endozoochore","6-7","Corymbe","Entomogame"
"Rosa arvensis","Rosa arvensis","Européen","Blanc","Endozoochore","5-7","Corymbe","Entomogame, autogame"
"Rosa canina","Rosa canina","Eurasiatique tempéré","Blanc, rose","Endozoochore","","Corymbe","Entomogame, autogame"
"Rosa multiflora","Rosa multiflora","Introduit (asie orient.)","","Endozoochore","","Corymbe","Entomogame"
"Rosa rubiginosa","Rosa rubiginosa","Eurasiatique","Rose","Endozoochore","6-8","Corymbe","Entomogame"
"Rosa sempervirens","Rosa sempervirens","Méditerranéen-atlantique","Blanc","Endozoochore","5-6","Corymbe","Entomogame"
"Rosaceae",NA,NA,NA,NA,NA,NA,NA
"Rostraria","Rostraria cristata","Méditerranéen","Vert","Épizoochore","","Épi d'épillets","Anémogame"
"Rostraria cristata","Rostraria cristata","Méditerranéen","Vert","Épizoochore","","Épi d'épillets","Anémogame"
"Rubia peregrina","Rubia peregrina","Méditerranéen(eury)-atlantique(eury)","Jaune","Endozoochore","","Cyme d'ombelles","Entomogame"
"Rubia peregrina peregrina","Rubia peregrina subsp. peregrina","Méditerranéen(eury)-atlantique(eury)","Jaune","Endozoochore","5-8","Cyme d'ombelles","Entomogame"
"Rubia tinctorum","Rubia tinctorum","Européen méridional","Jaune","Endozoochore","6-8","Cyme d'ombelles","Entomogame"
"Rubiaceae",NA,NA,NA,NA,NA,NA,NA
"Rubus","Rubus armeniacus_Rubus caesius_Rubus fruticosus_Rubus idaeus_Rubus nessensis_Rubus spectabilis_Rubus ulmifolius_Rubus vestitus","Atlantique_Atlantique(eury)_Eurasiatique_Eurasiatique septentrional_Européen_Européen occidental_Introduit (caucase)_Méditerranéen-atlantique","Blanc_Rose","Endozoochore","5-7_6_6-7_6-8","Racème de racèmes","Apogame_Entomogame"
"Rubus arcticus",NA,NA,NA,NA,NA,NA,NA
"Rubus armeniacus","Rubus armeniacus","Introduit (caucase)","","Endozoochore","","Racème de racèmes","Apogame"
"Rubus caesius","Rubus caesius","Eurasiatique","Blanc","Endozoochore","6-7","Racème de racèmes","Apogame"
"Rubus fruticosus","Rubus fruticosus","Européen occidental","Rose","Endozoochore","6","Racème de racèmes","Apogame"
"Rubus idaeus","Rubus idaeus","Eurasiatique septentrional","Blanc","Endozoochore","5-7","Racème de racèmes","Apogame"
"Rubus idenus",NA,NA,NA,NA,NA,NA,NA
"Rubus polonicus","Rubus nessensis","Atlantique(eury)","Blanc","Endozoochore","6","Racème de racèmes","Apogame"
"Rubus spectabilis","Rubus spectabilis","Atlantique","","Endozoochore","","Racème de racèmes","Apogame"
"Rubus ulmifolius","Rubus ulmifolius","Méditerranéen-atlantique","Rose","Endozoochore","6-8","Racème de racèmes","Entomogame"
"Rubus vestitus","Rubus vestitus","Européen","Rose","Endozoochore","6-7","Racème de racèmes","Apogame"
"Rumex","Rumex acetosa_Rumex acetosella_Rumex aquitanicus_Rumex bucephalophorus_Rumex conglomeratus_Rumex crispus_Rumex crispus var. crispus_Rumex cristatus_Rumex longifolius_Rumex obtusifolius_Rumex palustris_Rumex patientia_Rumex pulcher_Rumex pulcher subsp. woodsii_Rumex roseus_Rumex sanguineus_Rumex scutatus_Rumex thyrsiflorus_Rumex thyrsoides","Cosmopolite_Eurasiatique_Eurasiatique méridional_Eurasiatique tempéré_Européen méridional_Européen oriental_Holarctique_Méditerranéen_Méditerranéen occidental_Méditerranéen(eury)-atlantique(eury)_Orophyte pyrénéen","Rose_Vert","Anémochore_Barochore_Épizoochore_Hydrochore","5-8_6-9_7-10_7-9","Glomérules","Anémogame"
"Rumex acetosa","Rumex acetosa","Holarctique","Vert","Anémochore","","Glomérules","Anémogame"
"Rumex acetosella","Rumex acetosella","Cosmopolite","Rose","Barochore","","Glomérules","Anémogame"
"Rumex aquitanicus","Rumex aquitanicus","Orophyte pyrénéen","","Anémochore","","Glomérules","Anémogame"
"Rumex bucephalophorus","Rumex bucephalophorus","Méditerranéen","Vert","Épizoochore","","Glomérules","Anémogame"
"Rumex confertus",NA,NA,NA,NA,NA,NA,NA
"Rumex conglomeratus","Rumex conglomeratus","Eurasiatique tempéré","Vert","Barochore","6-9","Glomérules","Anémogame"
"Rumex crispus","Rumex crispus","Cosmopolite","Vert","Anémochore","","Glomérules","Anémogame"
"Rumex crispus crispus","Rumex crispus var. crispus","Cosmopolite","Vert","Anémochore","7-9","Glomérules","Anémogame"
"Rumex cristatus","Rumex cristatus","Européen méridional","","Hydrochore","","Glomérules","Anémogame"
"Rumex longifolius","Rumex longifolius","Holarctique","Rose","Épizoochore","","Glomérules","Anémogame"
"Rumex obtusifolius","Rumex obtusifolius","Holarctique","Vert","Épizoochore","","Glomérules","Anémogame"
"Rumex palustris","Rumex palustris","Eurasiatique méridional","Vert","Épizoochore","7-10","Glomérules","Anémogame"
"Rumex patientia","Rumex patientia","Européen oriental","Vert","Anémochore","","Glomérules","Anémogame"
"Rumex pulcher","Rumex pulcher","Méditerranéen(eury)-atlantique(eury)","Vert","Épizoochore","","Glomérules","Anémogame"
"Rumex pulcher woodsii","Rumex pulcher subsp. woodsii","Méditerranéen(eury)-atlantique(eury)","Vert","Épizoochore","","Glomérules","Anémogame"
"Rumex roseus","Rumex roseus","Méditerranéen","Rose","Anémochore","5-8","Glomérules","Anémogame"
"Rumex sanguineus","Rumex sanguineus","Eurasiatique","Vert","Barochore","","Glomérules","Anémogame"
"Rumex scutatus","Rumex scutatus","Européen méridional","","Anémochore","","Glomérules","Anémogame"
"Rumex stenophyllus",NA,NA,NA,NA,NA,NA,NA
"Rumex thyrsiflorus","Rumex thyrsiflorus","Eurasiatique","Rose","Barochore","","Glomérules","Anémogame"
"Rumex thyrsoides","Rumex thyrsoides","Méditerranéen occidental","","Barochore","","Glomérules","Anémogame"
"Rumex x pratensis",NA,NA,NA,NA,NA,NA,NA
"Ruscus","Ruscus aculeatus","Méditerranéen-atlantique","Vert, bleu","Endozoochore","9-4","Racème de racèmes","Entomogame"
"Ruscus aculeatus","Ruscus aculeatus","Méditerranéen-atlantique","Vert, bleu","Endozoochore","9-4","Racème de racèmes","Entomogame"
"Ruta chalepensis","Ruta chalepensis","Méditerranéen","Jaune","Barochore","5-7","Racème de racèmes","Entomogame"
"Ruta graveolens","Ruta graveolens","Européen méridional","Jaune","Barochore","5-8","Racème de racèmes","Entomogame"
"Sabulina tenuifolia",NA,NA,NA,NA,NA,NA,NA
"Sabulina tenuifolia hybrida","Minuartia hybrida","Eurasiatique","Blanc","Épizoochore","","Cyme bipare","Entomogame"
"Sabulina tenuifolia hybrida","Minuartia hybrida","Eurasiatique","Blanc","Épizoochore","","Cyme bipare","Entomogame"
"Sabulina tenuifolia laxa",NA,NA,NA,NA,NA,NA,NA
"Sagina","Sagina apetala_Sagina procumbens","Cosmopolite_Européen méridional","Vert","Anémochore_Barochore","","Cyme bipare","Autogame_Entomogame, autogame"
"Sagina apetala","Sagina apetala","Européen méridional","Vert","Anémochore","","Cyme bipare","Entomogame, autogame"
"Sagina procumbens","Sagina procumbens","Cosmopolite","Vert","Barochore","","Cyme bipare","Autogame"
"Salix","Salix alba_Salix atrocinerea_Salix aurita_Salix caprea_Salix cinerea_Salix fragilis_Salix myrsinifolia_Salix purpurea_Salix triandra","Eurasiatique_Européen méridional_Holarctique","Jaune_Marron_Rose_Vert","Anémochore","3-4","Épi simple","Anémogame"
"Salix alba","Salix alba","Eurasiatique","Jaune","Anémochore","","Épi simple","Anémogame"
"Salix atrocinerea","Salix atrocinerea","Européen méridional","Vert","Anémochore","","Épi simple","Anémogame"
"Salix aurita","Salix aurita","Eurasiatique","Vert","Anémochore","3-4","Épi simple","Anémogame"
"Salix caprea","Salix caprea","Eurasiatique","Vert","Anémochore","3-4","Épi simple","Anémogame"
"Salix cinerea","Salix cinerea","Holarctique","Vert","Anémochore","3-4","Épi simple","Anémogame"
"Salix fragilis",NA,NA,NA,NA,NA,NA,NA
"Salix myrsinifolia","Salix myrsinifolia","Eurasiatique","Rose","Anémochore","","Épi simple","Anémogame"
"Salix purpurea","Salix purpurea","Eurasiatique","Marron","Anémochore","","Épi simple","Anémogame"
"Salix triandra","Salix triandra","Eurasiatique","Jaune","Anémochore","","Épi simple","Anémogame"
"Salix x fragilis","Salix fragilis","Eurasiatique","Jaune","Anémochore","","Épi simple","Anémogame"
"Salsola kali","Kali australis_Kali soda","Européen_Européen central","Vert","Anémochore","7-10","Épi de cymes triflores","Anémogame"
"Salsola vermiculata","Salsola vermiculata","Méditerranéen","Vert","Barochore","","Épi de cymes triflores","Anémogame"
"Salvia","Rosmarinus officinalis_Salvia nemorosa_Salvia officinalis_Salvia pratensis_Salvia sclarea_Salvia verbenaca_Salvia verticillata_Salvia viridis","Européen méridional_Introduit (asie occ.)_Méditerranéen_Méditerranéen-atlantique","Blanc_Bleu_Bleu, rose","Barochore","3-9_5-6_6-9","Glomérules_Glomérules spiciformes","Entomogame_Entomogame, autogame"
"Salvia nemorosa","Salvia nemorosa","Européen méridional","Bleu","Barochore","","Glomérules spiciformes","Entomogame"
"Salvia officinalis","Salvia officinalis","Introduit (asie occ.)","Bleu","Barochore","","Glomérules spiciformes","Entomogame"
"Salvia pratensis","Salvia pratensis","Européen méridional","Bleu","Barochore","","Glomérules spiciformes","Entomogame"
"Salvia rosmarinus","Rosmarinus officinalis","Méditerranéen","Bleu","Barochore","","Glomérules","Entomogame"
"Salvia sclarea","Salvia sclarea","Méditerranéen","Blanc","Barochore","6-9","Glomérules spiciformes","Entomogame"
"Salvia verbenaca","Salvia verbenaca","Méditerranéen-atlantique","Bleu","Barochore","3-9","Glomérules spiciformes","Entomogame, autogame"
"Salvia verticillata","Salvia verticillata","Européen méridional","Bleu","Barochore","","Glomérules spiciformes","Entomogame"
"Salvia viridis","Salvia viridis","Méditerranéen","Bleu, rose","Barochore","5-6","Glomérules spiciformes","Entomogame"
"Sambucus","Sambucus ebulus_Sambucus nigra","Eurasiatique méridional","Blanc","Endozoochore","6-8","Cyme multipare","Entomogame_Entomogame, autogame"
"Sambucus ebulus","Sambucus ebulus","Eurasiatique méridional","Blanc","Endozoochore","6-8","Cyme multipare","Entomogame, autogame"
"Sambucus nigra","Sambucus nigra","Eurasiatique méridional","Blanc","Endozoochore","","Cyme multipare","Entomogame"
"Sanguisorba","Poterium sanguisorba_Poterium sanguisorba subsp. sanguisorba_Poterium verrucosum_Sanguisorba officinalis","Circumboréal_Eurasiatique méridional_Méditerranéen","Rose_Vert, rose","Barochore","5-9_6-9","Racème capituliforme","Entomogame_Entomogame, autogame"
"Sanguisorba minor","Poterium sanguisorba_Poterium sanguisorba subsp. sanguisorba","Eurasiatique méridional","Vert, rose","Barochore","5-9","Racème capituliforme","Entomogame"
"Sanguisorba minor verrucosa","Poterium sanguisorba_Poterium sanguisorba subsp. sanguisorba","Eurasiatique méridional","Vert, rose","Barochore","5-9","Racème capituliforme","Entomogame"
"Sanguisorba officinalis","Sanguisorba officinalis","Circumboréal","Rose","Barochore","6-9","Racème capituliforme","Entomogame, autogame"
"Sanguisorba verrucosa","Poterium verrucosum","Méditerranéen","Vert, rose","Barochore","5-9","Racème capituliforme","Entomogame"
"Santolina chamaecyparissus","Santolina chamaecyparissus","Orophyte méditerranéen","Jaune","Anémochore","6-8","Corymbe de capitules","Entomogame, autogame"
"Saponaria ocymoides ocymoides","Saponaria ocymoides subsp. ocymoides","Européen méridional","Rose","Anémochore","5-7","Cyme bipare","Entomogame"
"Saponaria officinalis","Saponaria officinalis","Cosmopolite","Rose","Anémochore","6-9","Cyme bipare","Entomogame"
"Satureja","Satureja montana","Méditerranéen","Blanc, rose","Barochore","","Glomérules","Entomogame"
"Satureja montana","Satureja montana","Méditerranéen","Blanc, rose","Barochore","","Glomérules","Entomogame"
"Saxifraga granulata","Saxifraga granulata","Eurasiatique","Blanc","Barochore","","Racème simple","Entomogame"
"Saxifraga tridactylites","Saxifraga tridactylites","Circumboréal","Blanc","Anémochore","3-5","Racème simple","Entomogame"
"Scabiosa","Scabiosa atropurpurea_Scabiosa columbaria_Scabiosa lucida","Européen méridional_Méditerranéen_Orophyte méridional","Bleu_Rose","Anémochore_Épizoochore","","Cyme capituliforme","Entomogame"
"Scabiosa atropurpurea","Scabiosa atropurpurea","Méditerranéen","Rose","Anémochore","","Cyme capituliforme","Entomogame"
"Scabiosa columbaria","Scabiosa columbaria","Européen méridional","Bleu","Épizoochore","","Cyme capituliforme","Entomogame"
"Scabiosa lucida","Scabiosa lucida","Orophyte méridional","Bleu","Anémochore","","Cyme capituliforme","Entomogame"
"Scandix australis","Scandix australis","Méditerranéen","Blanc","Épizoochore","","Ombelle d'ombellules","Entomogame"
"Scandix pecten-veneris","Scandix pecten-veneris","Européen méridional","Blanc","Épizoochore","","Ombelle d'ombellules","Entomogame"
"Schedonorus arundinaceus arundinaceus","Schedonorus arundinaceus subsp. arundinaceus","Eurasiatique méridional","Vert, rose","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Schedonorus pratensis pratensis","Schedonorus pratensis subsp. pratensis","Eurasiatique","Vert, rose","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Scirpoides holoschoenus","Scirpoides holoschoenus","Eurasiatique méridional","Marron","Barochore","","Cyme d'épis","Anémogame"
"Scirpus sylvaticus","Scirpus sylvaticus","Eurasiatique","Vert","Épizoochore","5-8","Panicule d'épillets","Anémogame"
"Scleranthus annuus","Scleranthus annuus","Eurasiatique méridional","Vert","Épizoochore","","Cyme bipare","Entomogame, autogame"
"Scleranthus perennis","Scleranthus perennis","Européen méridional","Blanc","Barochore","","Cyme bipare","Autogame"
"Sclerochloa dura","Sclerochloa dura","Méditerranéen","Vert","Barochore","4-6","Épi d'épillets","Anémogame"
"Scolymus","Scolymus hispanicus_Scolymus maculatus","Méditerranéen_Méditerranéen(eury)","Jaune","Anémochore_Épizoochore","7-8_7-9","Racème de capitules","Entomogame"
"Scolymus hispanicus","Scolymus hispanicus","Méditerranéen(eury)","Jaune","Épizoochore","7-9","Racème de capitules","Entomogame"
"Scolymus maculatus","Scolymus maculatus","Méditerranéen","Jaune","Anémochore","7-8","Racème de capitules","Entomogame"
"Scorpiurus muricatus","Scorpiurus muricatus","Méditerranéen","Jaune","Épizoochore","","Ombelle simple","Entomogame"
"Scorpiurus vermiculatus","Scorpiurus vermiculatus","Méditerranéen","Jaune","Épizoochore","5-6","Ombelle simple","Entomogame"
"Scorzonera","Podospermum laciniatum_Scorzonera hirsuta","Européen méridional_Méditerranéen","Jaune","Anémochore","5-6","Racème de capitules","Entomogame"
"Scorzonera hirsuta","Scorzonera hirsuta","Européen méridional","Jaune","Anémochore","5-6","Racème de capitules","Entomogame"
"Scorzonera laciniata","Podospermum laciniatum","Méditerranéen","Jaune","Anémochore","","Racème de capitules","Entomogame"
"Scorzonera laciniata","Podospermum laciniatum","Méditerranéen","Jaune","Anémochore","","Racème de capitules","Entomogame"
"Scorzonera sect podospermum",NA,NA,NA,NA,NA,NA,NA
"Scorzoneroides","Scorzoneroides autumnalis","Eurasiatique","Jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Scorzoneroides autumnalis","Scorzoneroides autumnalis","Eurasiatique","Jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Scrophularia auriculata","Scrophularia auriculata","Méditerranéen(eury)-atlantique(eury)","Marron","Barochore","6-9","Racème de racèmes","Entomogame"
"Scrophularia nodosa","Scrophularia nodosa","Circumboréal","Marron","Barochore","6-9","Racème de racèmes","Entomogame"
"Scutellaria galericulata","Scutellaria galericulata","Holarctique","Bleu","Hydrochore","6-9","Glomérules","Entomogame"
"Secale","Secale cereale","Introduit (asie occ.)","Vert","Épizoochore","5-7","Épi d'épillets","Anémogame"
"Secale cereale","Secale cereale","Introduit (asie occ.)","Vert","Épizoochore","5-7","Épi d'épillets","Anémogame"
"Sedum","Sedum acre_Sedum album_Sedum anglicum_Sedum rubens","Eurasiatique_Européen_Européen occidental_Méditerranéen","Blanc_Jaune","Anémochore","","Cyme multipare","Entomogame_Entomogame, autogame"
"Sedum acre","Sedum acre","Européen","Jaune","Anémochore","","Cyme multipare","Entomogame"
"Sedum album","Sedum album","Eurasiatique","Blanc","Anémochore","","Cyme multipare","Entomogame, autogame"
"Sedum anglicum","Sedum anglicum","Européen occidental","Blanc","Anémochore","","Cyme multipare","Entomogame, autogame"
"Sedum rubens","Sedum rubens","Méditerranéen","","Anémochore","","Cyme multipare","Entomogame"
"Selinum carvifolium","Selinum carvifolia","Eurasiatique septentrional","Blanc","Anémochore","7-9","Ombelle d'ombellules","Entomogame"
"Senecio","Senecio inaequidens_Senecio leucanthemifolius_Senecio lividus_Senecio sylvaticus_Senecio vernalis_Senecio viscosus_Senecio vulgaris_Senecio vulgaris subsp. vulgaris","Cosmopolite_Eurasiatique_Européen_Introduit (afrique du sud)_Méditerranéen_Méditerranéen occidental","Jaune","Anémochore","1-12_3-5_4-5_6-8_7-9","Corymbe de capitules","Entomogame, autogame"
"Senecio gallicus",NA,NA,NA,NA,NA,NA,NA
"Senecio inaequidens","Senecio inaequidens","Introduit (afrique du sud)","Jaune","Anémochore","","Corymbe de capitules","Entomogame, autogame"
"Senecio jacobaea",NA,NA,NA,NA,NA,NA,NA
"Senecio leucanthemifolius","Senecio leucanthemifolius","Méditerranéen occidental","Jaune","Anémochore","","Corymbe de capitules","Entomogame, autogame"
"Senecio leucanthemifolius vernalis","Senecio vernalis","Méditerranéen occidental","Jaune","Anémochore","3-5","Corymbe de capitules","Entomogame, autogame"
"Senecio lividus","Senecio lividus","Méditerranéen","Jaune","Anémochore","4-5","Corymbe de capitules","Entomogame, autogame"
"Senecio sylvaticus","Senecio sylvaticus","Eurasiatique","Jaune","Anémochore","6-8","Corymbe de capitules","Entomogame, autogame"
"Senecio vernalis",NA,NA,NA,NA,NA,NA,NA
"Senecio viscosus","Senecio viscosus","Européen","Jaune","Anémochore","7-9","Corymbe de capitules","Entomogame, autogame"
"Senecio vulgaris","Senecio vulgaris","Cosmopolite","Jaune","Anémochore","","Corymbe de capitules","Entomogame, autogame"
"Senecio vulgaris vulgaris","Senecio vulgaris subsp. vulgaris","Cosmopolite","Jaune","Anémochore","1-12","Corymbe de capitules","Entomogame, autogame"
"Serapias lingua","Serapias lingua","Méditerranéen-atlantique","Rose","Anémochore","","Épi simple","Entomogame"
"Serapias vomeracea","Serapias vomeracea","Méditerranéen","Rose","Anémochore","","Épi simple","Entomogame"
"Setaria","Setaria adhaerens_Setaria faberi_Setaria italica_Setaria italica subsp. italica_Setaria italica subsp. viridis_Setaria parviflora_Setaria pumila_Setaria verticillata_Setaria verticillata var. ambigua","Cosmopolite(thermo)_Introduit (amér. du nord)_Introduit (asie)_Introduit (maghreb)","Jaune_Vert","Épizoochore","6-10_6-9","Épi d'épillets","Anémogame"
"Setaria adhaerens","Setaria adhaerens","Introduit (maghreb)","","","","Épi d'épillets","Anémogame"
"Setaria faberi","Setaria faberi","Introduit (asie)","","","","Épi d'épillets","Anémogame"
"Setaria italica","Setaria italica","Cosmopolite(thermo)","Vert","Épizoochore","6-9","Épi d'épillets","Anémogame"
"Setaria italica italica","Setaria italica subsp. italica","Cosmopolite(thermo)","","","","",""
"Setaria parviflora","Setaria parviflora","Introduit (amér. du nord)","","","","Épi d'épillets","Anémogame"
"Setaria pumila","Setaria pumila","Cosmopolite(thermo)","Jaune","Épizoochore","6-9","Épi d'épillets","Anémogame"
"Setaria verticillata","Setaria verticillata","Cosmopolite(thermo)","Vert","Épizoochore","","Épi d'épillets","Anémogame"
"Setaria verticillata ambigua","Setaria verticillata var. ambigua","Cosmopolite(thermo)","Vert","Épizoochore","6-10","Épi d'épillets","Anémogame"
"Setaria viridis","Setaria italica subsp. viridis","Cosmopolite(thermo)","Vert","Épizoochore","","Épi d'épillets","Anémogame"
"Sherardia","Sherardia arvensis","Eurasiatique méridional","Bleu","Épizoochore","","Glomérules","Entomogame, autogame"
"Sherardia arvensis","Sherardia arvensis","Eurasiatique méridional","Bleu","Épizoochore","","Glomérules","Entomogame, autogame"
"Sicyos",NA,NA,NA,NA,NA,NA,NA
"Sicyos angulatus",NA,NA,NA,NA,NA,NA,NA
"Sideritis romana","Sideritis romana","Méditerranéen","Blanc","Épizoochore","","Glomérules","Entomogame"
"Sideritis romana romana","Sideritis romana subsp. romana","Méditerranéen","Blanc","Épizoochore","5-8","Glomérules","Entomogame"
"Silaum silaus","Silaum silaus","Européen","Jaune","Barochore","","Ombelle d'ombellules","Entomogame"
"Silene","Lychnis coronaria_Lychnis flos-cuculi_Silene baccifera_Silene bellidifolia_Silene conica_Silene conoidea_Silene cretica_Silene dichotoma_Silene dioica_Silene gallica_Silene italica_Silene latifolia_Silene latifolia subsp. alba_Silene muscipula_Silene nicaeensis_Silene noctiflora_Silene nocturna_Silene nutans_Silene nutans subsp. nutans_Silene vulgaris","Atlantique(eury)_Cosmopolite_Eurasiatique_Eurasiatique méridional_Européen méridional_Européen tempéré_Méditerranéen","Blanc_Blanc, rose_Rose","Anémochore_Autochore","4-6_5-7_5-9_6-7_7-9","Cyme bipare","Entomogame_Entomogame, autogame"
"Silene baccifera","Silene baccifera","Eurasiatique méridional","Blanc","Autochore","7-9","Cyme bipare","Entomogame"
"Silene bellidifolia","Silene bellidifolia","Méditerranéen","Rose","Anémochore","","Cyme bipare","Entomogame"
"Silene conica","Silene conica","Eurasiatique","Rose","Anémochore","","Cyme bipare","Entomogame, autogame"
"Silene conoidea","Silene conoidea","Eurasiatique","Rose","Anémochore","6-7","Cyme bipare","Entomogame"
"Silene coronaria","Lychnis coronaria","Européen méridional","Rose","Anémochore","5-7","Cyme bipare","Entomogame"
"Silene cretica","Silene cretica","Méditerranéen","Rose","Anémochore","4-6","Cyme bipare","Entomogame"
