"accepted_taxa","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Inflorescence_GIFT","Leaf.area_cm2_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT"
"Cirsium erisithales","Cirsium erisithales","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",NA,"Perennial","",1.5,NA,"","","",NA,NA
"Cirsium ferox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium heterophyllum","Cirsium heterophyllum","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",1.5,NA,"Biotic","Insect","",NA,NA
"Cirsium oleraceum","Cirsium oleraceum","","","",NA,NA,NA,NA,"",31.0725,"Perennial","C3",1.5,0.8,"Biotic","Insect","",0.002592,300.78
"Cirsium palustre","Cirsium palustre","","","",NA,NA,NA,NA,"",NA,"","C3",2,0.825,"Biotic","Insect","",0.00159866666666667,181.02
"Cirsium spinosissimum","Cirsium spinosissimum","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.8,0.375,"","","",0.002611,NA
"Cirsium tuberosum","Cirsium tuberosum","","","",NA,NA,NA,NA,"",51.9613,"Perennial","C3",1.5,0.5,"Biotic","Insect","",0.002988,117
"Cirsium vulgare","Cirsium vulgare","Anemochorous","","",5,3,NA,NA,"",110.355,"","C3",2,0.925,"Biotic","Insect","",0.00273466666666667,160.03
"Cirsium vulgare subsp. crinitum","Cirsium vulgare","Anemochorous","","",5,3,NA,NA,"",110.355,"","C3",2,0.925,"Biotic","Insect","",0.00273466666666667,160.03
"Cirsium vulgare subsp. vulgare","Cirsium vulgare","Anemochorous","","",5,3,NA,NA,"",110.355,"","C3",2,0.925,"Biotic","Insect","",0.00273466666666667,160.03
"Cistus albidus","Cistus albidus","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",NA,NA,"","","",0.001105,95.16
"Cistus monspeliensis","Cistus monspeliensis","Autochorous","Autochorous","White",1.4,0.9,NA,NA,"",NA,"Perennial","C3",1.2,NA,"","","",0.0009341665,74.7
"Cistus salviifolius","Cistus salviifolius","Autochorous","Autochorous","",NA,NA,NA,NA,"",NA,"Perennial","C3",1,NA,"","","",0.001071111,NA
"Cladanthus mixtus","Cladanthus mixtus","","","",1,NA,2.5,1.5,"",NA,"Annual","C3",0.6,NA,"","","",8e-05,NA
"Clematis","Clematis cirrhosa_Clematis flammula_Clematis vitalba_Clematis viticella","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",35.95,"Perennial","C3",18,11.5,"Biotic","Insect","Insect",0.0087301,158.866666666667
"Clematis cirrhosa","Clematis cirrhosa","","","",NA,NA,NA,NA,"",NA,"","C3",NA,NA,"","","",0.00328,NA
"Clematis flammula","Clematis flammula","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",NA,"Perennial","C3",NA,NA,"","","",0.0101834,151.3
"Clematis vitalba","Clematis vitalba","","","",NA,NA,NA,NA,"",56.33,"Perennial","C3",30,20,"Biotic","","",0.002607,242.9
"Clematis viticella","Clematis viticella","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",15.57,"Perennial","C3",6,3,"Biotic","Insect","Insect",0.01885,82.4
"Clinopodium","Clinopodium menthifolium_Clinopodium nepeta_Clinopodium vulgare","Unspecialized_Zoochorous","","",1.5,1,NA,NA,"",10.55,"Perennial","C3",0.766666666666667,0.25,"Biotic","Insect","",0.000336481472222222,236
"Clinopodium nepeta","Clinopodium nepeta","Unspecialized","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.8,0.125,"","","",0.000272333333333333,NA
"Clinopodium nepeta subsp. ascendens","Clinopodium menthifolium_Clinopodium nepeta","Unspecialized_Zoochorous","","",1.5,1,NA,NA,"",NA,"Perennial","C3",0.75,0.125,"Biotic","Insect","",0.000316361083333333,NA
"Clinopodium nepeta subsp. sylvaticum","Clinopodium menthifolium","Zoochorous","","",1.5,1,NA,NA,"",NA,"Perennial","C3",0.7,NA,"Biotic","Insect","",0.000360388833333333,NA
"Clinopodium vulgare","Clinopodium vulgare","","","",NA,NA,NA,NA,"",10.55,"Perennial","C3",0.8,0.375,"Biotic","Insect","",0.00037672225,236
"Cochlearia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coincya monensis subsp. cheiranthos","Brassica montana","","","",NA,NA,NA,NA,"",NA,"Perennial","",NA,NA,"","","",NA,NA
"Colchicum autumnale","Colchicum autumnale","","","",NA,NA,NA,NA,"",54.1105,"Perennial","C3",0.3,0.225,"Biotic","Insect","",0.0063616665,219.1
"Coleostephus myconis","Coleostephus myconis","Unspecialized","Anthropochorous","Yellow",NA,NA,3.5,1.7,"",NA,"Annual","",0.8,0.25,"Biotic","Insect","",0.00051,NA
"Commelina","Commelina communis","","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.7,NA,"","","",0.00848,NA
"Commelina communis","Commelina communis","","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.7,NA,"","","",0.00848,NA
"Conium","Conium maculatum","Unspecialized","","",0.15,NA,0.1,NA,"Umbel",544.19815,"","C3",3,1.79166666666667,"Biotic","Insect","Insect",0.00265247933333333,240.2
"Conium maculatum","Conium maculatum","Unspecialized","","",0.15,NA,0.1,NA,"Umbel",544.19815,"","C3",3,1.79166666666667,"Biotic","Insect","Insect",0.00265247933333333,240.2
"Conopodium majus","Conopodium majus","Zoochorous","Zoochorous","",NA,NA,NA,NA,"",4.46,"Perennial","C3",0.7,0.217,"Biotic","Insect","",0.002401,225
"Conringia orientalis","Conringia orientalis","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"",47.465,"Annual","C3",0.72,0.265,"Biotic","Insect","Insect",0.002285,303.5
"Convolvulus","Calystegia sepium_Calystegia soldanella_Convolvulus althaeoides_Convolvulus arvensis_Convolvulus cantabrica_Convolvulus sagittatus","Autochorous_Unspecialized","Autochorous","Pink",3.66666666666667,2.75,4.5,4,"",16.8908333333333,"Perennial","C3",1.84,0.5105,"Biotic","Insect","Bee",0.0211012801944445,273.413333333333
"Convolvulus althaeoides","Convolvulus althaeoides","","","Pink",4,NA,NA,NA,"",NA,"Perennial","C3",1,NA,"","","",0.01361,NA
"Convolvulus arvensis","Convolvulus arvensis","Unspecialized","","",2.5,1.5,NA,NA,"",11.2475,"Perennial","C3",1.2,0.2815,"Biotic","Insect","",0.0135612856666667,287.35
"Convolvulus cantabrica","Convolvulus cantabrica","Autochorous","Autochorous","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.5,NA,"","","",0.00655,NA
"Convolvulus sepium","Calystegia sepium_Convolvulus sagittatus","Unspecialized","","",NA,NA,NA,NA,"",32.08,"Perennial","C3",4,1.05,"Biotic","Insect","",0.01803353125,373.94
"Convolvulus soldanella","Calystegia soldanella","","","",4.5,4,4.5,4,"",7.345,"Perennial","C3",2.5,0.2,"Biotic","Insect","Bee",0.056819333,158.95
"Coriandrum sativum","Coriandrum sativum","Unspecialized","Anthropochorous","White",0.4,0.3,NA,NA,"Umbel",11.6675,"Annual","C3",1,0.486666666666667,"Biotic","Insect","Insect",0.0104433333333333,473.8
"Coris monspeliensis","Coris monspeliensis","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",NA,NA,"","","",0.000739,NA
"Corispermum nitidum","Corispermum nitidum","","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.5,NA,"","","",0.0013,NA
"Cornus","Cornus alba_Cornus mas_Cornus sanguinea","Zoochorous","Zoochorous","",NA,NA,NA,NA,"",14.469015,"Perennial","C3",5.66666666666667,3.30633333333333,"Biotic","Insect","Insect",0.140977384155556,246.79
"Cornus alba","Cornus alba","Zoochorous","Zoochorous","",NA,NA,NA,NA,"",NA,"Perennial","C3",3,2,"Biotic","Insect","Insect",0.05,NA
"Cornus mas","Cornus mas","Zoochorous","","",NA,NA,NA,NA,"",18.8457,"Perennial","C3",10,5.7,"Biotic","Insect","Insect",0.298404809666667,319.8
"Cornus sanguinea","Cornus sanguinea","Zoochorous","","",NA,NA,NA,NA,"",10.09233,"Perennial","C3",4,2.219,"Biotic","Insect","Insect",0.0745273428,173.78
"Cornus sanguinea subsp. sanguinea","Cornus sanguinea","Zoochorous","","",NA,NA,NA,NA,"",10.09233,"Perennial","C3",4,2.219,"Biotic","Insect","Insect",0.0745273428,173.78
"Coronilla","Coronilla scorpioides_Coronilla vaginalis_Coronilla varia","Anemochorous_Unspecialized","Anemochorous","",NA,NA,NA,NA,"",9.692085,"Annual_Perennial","C3",0.55,0.2535,"Biotic","Insect","Bee",0.00350725008333333,239.635
"Coronilla scorpioides","Coronilla scorpioides","Unspecialized","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.4,NA,"","","",NA,NA
"Coronilla vaginalis","Coronilla vaginalis","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",4.5175,"Perennial","C3",0.05,0.065,"Biotic","Insect","",0.0027628335,176.2
"Coronilla varia","Coronilla varia","","","",NA,NA,NA,NA,"",14.86667,"Perennial","C3",1.2,0.442,"Biotic","Insect","Bee",0.00425166666666667,303.07
"Corrigiola litoralis","Corrigiola litoralis","","","",NA,NA,NA,NA,"",0.2164,"Annual","C3",0.3,0.114,"Biotic","Insect","Insect",0.0002946665,287.63
"Corrigiola littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corylus","Corylus avellana","Unspecialized","","",NA,NA,NA,NA,"",32.4914,"Perennial","C3",6,2.833,"Abiotic","Wind","Wind",1.06265125,194.4
"Corylus avellana","Corylus avellana","Unspecialized","","",NA,NA,NA,NA,"",32.4914,"Perennial","C3",6,2.833,"Abiotic","Wind","Wind",1.06265125,194.4
"Cosmos","Cosmos bipinnatus","","","",3.5,2,2,1.2,"",NA,"Annual","C3",2.5,0.7,"Biotic","Insect","Insect",0.00867125,NA
"Cosmos bipinnatus","Cosmos bipinnatus","","","",3.5,2,2,1.2,"",NA,"Annual","C3",2.5,0.7,"Biotic","Insect","Insect",0.00867125,NA
"Cota altissima","Cota altissima","","","",NA,NA,NA,NA,"",NA,"Annual","",0.6,NA,"","","",NA,NA
"Cota austriaca","Cota austriaca","Zoochorous","","",NA,NA,NA,NA,"",NA,"","C3",0.6,0.325,"Biotic","Insect","",NA,NA
"Cota segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota tinctoria","Cota tinctoria","","","Yellow",NA,NA,3.5,2.5,"",6.18083,"Perennial","C3",1,0.5875,"Biotic","Insect","",0.000499889,170.46
"Crambe hispanica abyssinica","Crambe hispanica","","","",NA,NA,NA,NA,"",NA,"Annual","C3",1,1,"Biotic","Insect","Insect",0.0058088885,NA
"Crassula tillaea","Crassula tillaea","","","",0.15,0.12,NA,NA,"",NA,"Annual","",0.05,0.02,"Biotic","Insect","Insect",1e-05,NA
"Crataegus","Crataegus × kyrtostyla_Crataegus laevigata_Crataegus monogyna_Crataegus rhipidophylla","Zoochorous","Endozoochorous","White",0.8,0.4,1.5,0.8,"",6.1057,"Perennial","C3",7,6.22055555555556,"Biotic","Insect","Insect",0.120297781791667,154.23
"Crataegus laevigata","Crataegus laevigata","Zoochorous","","",NA,NA,NA,NA,"",7.3,"Perennial","C3",6,6,"Biotic","Insect","Insect",0.159840333333333,195.1
"Crataegus monogyna","Crataegus monogyna","Zoochorous","","White",0.8,0.4,1.5,0.8,"",4.9114,"Perennial","C3",10,5.66166666666667,"Biotic","Insect","Insect",0.0901174608333333,113.36
"Crataegus x subsphaerica","Crataegus × kyrtostyla_Crataegus rhipidophylla","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"",NA,"Perennial","C3",6,7,"Biotic","Insect","",0.1156166665,NA
"Crepis","Crepis biennis_Crepis bursifolia_Crepis capillaris_Crepis foetida_Crepis kotschyana_Crepis leontodontoides_Crepis marschallii_Crepis micrantha_Crepis mollis_Crepis neglecta_Crepis pulchra_Crepis pygmaea_Crepis rubra_Crepis sancta_Crepis setosa_Crepis tectorum_Crepis vesicaria","Anemochorous","Anemochorous","Yellow",0.933333333333333,0.75,NA,NA,"",29.17889,"Annual_Biennial_Perennial","C3",0.785714285714286,0.36375,"Biotic","Insect","Insect",0.000637259041666667,244.24
"Crepis bellidifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis biennis","Crepis biennis","","","",NA,NA,NA,NA,"",60.875,"Biennial","C3",1.2,0.575,"Biotic","Insect","",0.001269,312.33
"Crepis bursifolia","Crepis bursifolia","","","Yellow",1.1,1,NA,NA,"",NA,"Perennial","",0.35,NA,"","","",NA,NA
"Crepis capillaris","Crepis capillaris","Anemochorous","","",NA,NA,NA,NA,"",15.85667,"Annual","C3",1.2,0.2875,"Biotic","Insect","",0.0002256,280.71
"Crepis foetida","Crepis foetida","","","Yellow",0.8,0.65,NA,NA,"",NA,"Annual","C3",0.8,0.325,"Biotic","Insect","Insect",0.00053475,NA
"Crepis foetida subsp. foetida","Crepis kotschyana","","","",NA,NA,NA,NA,"",NA,"Annual","",0.2,NA,"","","",NA,NA
"Crepis foetida subsp. rhoeadifolia","Crepis foetida_Crepis kotschyana","","","Yellow",0.8,0.65,NA,NA,"",NA,"Annual","C3",0.5,0.325,"Biotic","Insect","Insect",0.00053475,NA
"Crepis leontodontoides","Crepis leontodontoides","","","",NA,NA,NA,NA,"",NA,"Perennial","",NA,NA,"","","",NA,NA
"Crepis micrantha","Crepis micrantha","","","",NA,NA,NA,NA,"",NA,"Annual","",0.8,NA,"","","",NA,NA
"Crepis mollis","Crepis mollis","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.9,0.225,"Biotic","Insect","",0.0007055,NA
"Crepis neglecta","Crepis neglecta","","","",NA,NA,NA,NA,"",NA,"Annual","",NA,NA,"","","",NA,NA
"Crepis neglecta corymbosa","Crepis neglecta","","","",NA,NA,NA,NA,"",NA,"Annual","",NA,NA,"","","",NA,NA
"Crepis pulchra","Crepis pulchra","","","",NA,NA,NA,NA,"",NA,"Annual","C3",1.2,0.35,"","","",0.000384,NA
"Crepis pygmaea","Crepis pygmaea","","","",NA,NA,NA,NA,"",NA,"Perennial","",0.15,NA,"","","",NA,NA
"Crepis rubra","Crepis rubra","","","",NA,NA,NA,NA,"",NA,"Annual","",NA,NA,"","","",0.0015,NA
"Crepis sancta","Crepis sancta","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",NA,"Annual","C3",0.6,NA,"","","",0.00014,268
"Crepis setosa","Crepis setosa","Anemochorous","","",NA,NA,NA,NA,"",NA,"Annual","C3",1,0.4625,"Biotic","Insect","Insect",NA,NA
"Crepis tectorum","Crepis tectorum","Anemochorous","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.9,0.265,"Biotic","Insect","Insect",NA,172
"Crepis vesicaria","Crepis vesicaria","","","Yellow",0.9,0.6,NA,NA,"",10.805,"","C3",1,0.42,"Biotic","Insect","",0.000339222333333333,188.16
"Crepis vesicaria subsp. taraxacifolia","Crepis marschallii","","","",NA,NA,NA,NA,"",NA,"Biennial","",0.7,NA,"","","",NA,NA
"Cruciata","Cruciata glabra_Cruciata laevipes","","","",NA,NA,NA,NA,"",0.89667,"Perennial","C3",0.55,0.2415,"Biotic","Insect","",0.00272575,276.73
"Cruciata glabra","Cruciata glabra","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.5,0.2,"Biotic","Insect","",0.00143,NA
"Cruciata laevipes","Cruciata laevipes","","","",NA,NA,NA,NA,"",0.89667,"Perennial","C3",0.6,0.283,"Biotic","Insect","",0.0040215,276.73
"Cucurbita","Cucurbita pepo","Hydrochorous","","Yellow",NA,NA,11,NA,"",289.65,"Annual","C3",10,3.05,"Biotic","Insect","",0.171336666666667,176.2
"Cucurbita pepo","Cucurbita pepo","Hydrochorous","","Yellow",NA,NA,11,NA,"",289.65,"Annual","C3",10,3.05,"Biotic","Insect","",0.171336666666667,176.2
"Cullen americanum","Cullen americanum","","","",NA,NA,NA,NA,"",NA,"Perennial","",NA,NA,"","","",NA,NA
"Cupressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta","Cuscuta campestris_Cuscuta epilinum_Cuscuta monogyna","Anemochorous","","White",NA,NA,0.3,0.15,"",NA,"Annual","",0.6,NA,"Biotic","Insect","Insect",0.00237683333333333,NA
"Cuscuta campestris","Cuscuta campestris","","","White",NA,NA,0.3,0.15,"",NA,"Annual","",0.6,NA,"Biotic","Insect","Insect",0.0008095,NA
"Cuscuta epilinum","Cuscuta epilinum","Anemochorous","","",NA,NA,NA,NA,"",NA,"Annual","",0.6,NA,"Biotic","Insect","Insect",0.000586,NA
"Cuscuta monogyna","Cuscuta monogyna","","","",NA,NA,NA,NA,"",NA,"Annual","",NA,NA,"","","",0.005735,NA
"Cyanus depressus","Centaurea depressa","","","",NA,NA,NA,NA,"",NA,"","",0.6,NA,"","","",0.0132,NA
"Cyanus segetum","Centaurea cyanus","","","",NA,NA,NA,NA,"",4.88,"Annual","C3",1,0.572666666666667,"Biotic","Insect","",0.005602154,210.6
"Cydonia oblonga","Cydonia oblonga","Zoochorous","Zoochorous","",3,1.5,6,4,"",NA,"Perennial","C3",8,5.4875,"","","",0.031086667,NA
"Cymbalaria muralis","Cymbalaria muralis","Unspecialized","","",NA,NA,NA,NA,"",8.755,"","C3",0.6,0.175,"Biotic","Insect","",0.000181,248.67
"Cynanchum acutum","Cynanchum acutum","","","",0.72,0.49,NA,NA,"",NA,"Perennial","C3",NA,NA,"","","",0.00445966666666667,NA
"Cynara","Cynara cardunculus","Anemochorous","Anemochorous","",NA,NA,6,4,"",NA,"Perennial","C3",2,1.2,"","","",0.038329167,NA
"Cynara cardunculus","Cynara cardunculus","Anemochorous","Anemochorous","",NA,NA,6,4,"",NA,"Perennial","C3",2,1.2,"","","",0.038329167,NA
"Cynara scolymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon","Cynodon dactylon","","","",0.25,0.2,NA,NA,"Spike",1.1625,"Perennial","C4",0.5,0.308,"Abiotic","Wind","Wind",0.00019876925,306.3
"Cynodon dactylon","Cynodon dactylon","","","",0.25,0.2,NA,NA,"Spike",1.1625,"Perennial","C4",0.5,0.308,"Abiotic","Wind","Wind",0.00019876925,306.3
"Cynoglossum cheirifolium","Pardoglossum cheirifolium","","","",NA,NA,NA,NA,"",NA,"Biennial","",NA,NA,"","","",NA,NA
"Cynoglossum creticum","Cynoglossum creticum","Zoochorous","Epizoochorous","",0.7,0.5,0.6,0.3,"",NA,"Biennial","C3",0.75,NA,"Biotic","Insect","",0.0236391666666667,NA
"Cynoglossum officinale","Cynoglossum officinale","Zoochorous","","",NA,NA,NA,NA,"",31.73667,"Biennial","C3",1,0.442,"Biotic","Insect","",0.028581091,223.97
"Cynosurus cristatus","Cynosurus cristatus","Unspecialized","","",NA,NA,NA,NA,"",3.47333,"Perennial","C3",0.8,0.4885,"Abiotic","Wind","Wind",0.000519154,239.18
"Cynosurus echinatus","Cynosurus echinatus","","","",0.6,0.5,NA,NA,"Panicle",NA,"Annual","C3",1.1,0.375,"Abiotic","Wind","",0.00143677766666667,NA
"Cyperus","Cyperus difformis_Cyperus eragrostis_Cyperus esculentus_Cyperus flavidus_Cyperus fuscus_Cyperus longus_Cyperus rotundus","Hydrochorous_Unspecialized","Anthropochorous_Hydrochorous","",0.284,0.22,0.2075,0.0925,"Panicle",7.09,"Annual_Perennial","C3_C4",1.02857142857143,0.454722222222222,"Abiotic","Wind","Wind",0.000129999476190476,302.866666666667
"Cyperus difformis","Cyperus difformis","Hydrochorous","Hydrochorous","",NA,NA,NA,NA,"",NA,"Annual","C3",1.2,0.5,"Abiotic","Wind","",6.125e-05,NA
"Cyperus eragrostis","Cyperus eragrostis","Unspecialized","Anthropochorous","",0.25,0.2,0.15,0.1,"",NA,"Perennial","",1.4,0.6,"Abiotic","Wind","",0.00011316675,NA
"Cyperus esculentus","Cyperus esculentus","Unspecialized","Anthropochorous","",0.39,0.22,0.2,0.1,"",NA,"Perennial","C4",1,0.555,"Abiotic","Wind","Wind",0.00015,272.9
"Cyperus flavidus","Cyperus flavidus","","","",NA,NA,NA,NA,"",NA,"Perennial","C4",0.6,NA,"","","",0.00019,NA
"Cyperus fuscus","Cyperus fuscus","","","",0.1,NA,NA,NA,"Panicle",1.71,"Annual","C3",0.3,0.14,"Abiotic","Wind","Wind",5.6e-05,416.1
"Cyperus longus","Cyperus longus","","","",0.25,0.2,0.18,0.1,"Panicle",12.47,"Perennial","C4",1.7,0.56,"Abiotic","Wind","",0.000113222333333333,219.6
"Cyperus rotundus","Cyperus rotundus","","","",0.43,0.26,0.3,0.07,"Panicle",NA,"Perennial","C4",1,0.373333333333333,"Abiotic","Wind","",0.00022635725,NA
"Cytisus scoparius","Cytisus scoparius","Autochorous","Autochorous","Yellow",2.5,2,NA,NA,"",0.196,"Perennial","C3",4,1.71666666666667,"Biotic","Insect","Bee",0.00796135416666667,145.33
"Dactylis","Dactylis glomerata","","","",0.4,NA,NA,NA,"Panicle",14.49,"Perennial","C3",1.4,0.704666666666667,"Abiotic","Wind","Wind",0.000918702666666667,247.66
"Dactylis glomerata","Dactylis glomerata","","","",0.4,NA,NA,NA,"Panicle",14.49,"Perennial","C3",1.4,0.704666666666667,"Abiotic","Wind","Wind",0.000918702666666667,247.66
"Dactylis glomerata subsp. glomerata","Dactylis glomerata","","","",0.4,NA,NA,NA,"Panicle",14.49,"Perennial","C3",1.4,0.704666666666667,"Abiotic","Wind","Wind",0.000918702666666667,247.66
"Dactylis glomerata subsp. lobata","Dactylis glomerata","","","",0.4,NA,NA,NA,"Panicle",14.49,"Perennial","C3",1.4,0.704666666666667,"Abiotic","Wind","Wind",0.000918702666666667,247.66
"Dactylis glomerata subsp. oceanica","Dactylis glomerata","","","",0.4,NA,NA,NA,"Panicle",14.49,"Perennial","C3",1.4,0.704666666666667,"Abiotic","Wind","Wind",0.000918702666666667,247.66
"Dasypyrum villosum","Dasypyrum villosum","","","",NA,NA,NA,NA,"",NA,"Annual","C3",1,NA,"","","",0.0085525,NA
"Datura stramonium","Datura stramonium","","","White",9.5,7,NA,NA,"",147.39875,"Annual","C3",2,1.16875,"Biotic","Insect","",0.009025326,283.03
"Daucus","Daucus carota_Daucus crinitus","Zoochorous","","",NA,NA,NA,NA,"Umbel",NA,"Biennial_Perennial","C3",1.79,0.572666666666667,"Biotic","Insect","",0.00212646875,197.63
"Daucus carota","Daucus carota","Zoochorous","","",NA,NA,NA,NA,"Umbel",NA,"Biennial","C3",1.79,0.572666666666667,"Biotic","Insect","",0.0010029375,197.63
"Daucus carota subsp. carota","Daucus carota","Zoochorous","","",NA,NA,NA,NA,"Umbel",NA,"Biennial","C3",1.79,0.572666666666667,"Biotic","Insect","",0.0010029375,197.63
"Daucus crinitus","Daucus crinitus","","","",NA,NA,NA,NA,"",NA,"Perennial","",NA,NA,"","","",0.00325,NA
"Delphinium","Delphinium ajacis_Delphinium consolida_Delphinium halteratum_Delphinium hispanicum_Delphinium peregrinum_Delphinium pubescens","Autochorous","Autochorous","",0.15,0.12,NA,NA,"Raceme",3.9568,"Annual","C3",1.03333333333333,0.3375,"Biotic","Insect","Bee",0.00159822219444444,243.8
"Delphinium ajacis","Delphinium ajacis","Autochorous","Autochorous","",NA,NA,NA,NA,"Raceme",NA,"Annual","C3",1,0.45,"Biotic","Insect","Bee",0.00218233333333333,NA
"Delphinium consolida","Delphinium consolida","Autochorous","Autochorous","",0.15,0.12,NA,NA,"",3.9568,"Annual","C3",1.2,0.225,"Biotic","Insect","",0.00125733325,243.8
"Delphinium consolida subsp. consolida","Delphinium consolida","Autochorous","Autochorous","",0.15,0.12,NA,NA,"",3.9568,"Annual","C3",1.2,0.225,"Biotic","Insect","",0.00125733325,243.8
"Delphinium halteratum","Delphinium halteratum","","","",NA,NA,NA,NA,"",NA,"","C3",NA,NA,"","","",NA,NA
"Delphinium hispanicum","Delphinium hispanicum","Autochorous","Autochorous","",NA,NA,NA,NA,"",NA,"Annual","C3",0.9,NA,"Biotic","Insect","Bee",NA,NA
"Delphinium pubescens","Delphinium pubescens","","","",NA,NA,NA,NA,"",NA,"Annual","",NA,NA,"","","",NA,NA
"Delphinium verdunense","Delphinium peregrinum","","","",NA,NA,NA,NA,"",NA,"Annual","C3",NA,NA,"","","",0.001355,NA
"Deschampsia cespitosa","Deschampsia cespitosa","Anemochorous","","",NA,NA,NA,NA,"",7.37417,"Perennial","C3",1.5,0.515666666666667,"Abiotic","Wind","Wind",0.0055817076,202.045
"Deschampsia cespitosa subsp. cespitosa","Deschampsia cespitosa","Anemochorous","","",NA,NA,NA,NA,"",7.37417,"Perennial","C3",1.5,0.515666666666667,"Abiotic","Wind","Wind",0.0055817076,202.045
"Descurainia sophia","Descurainia sophia","Anemochorous","","",NA,NA,NA,NA,"",7.6575,"Annual","C3",1,0.475,"Biotic","Insect","Insect",0.0037867734,266.85
"Dianthus","Dianthus armeria_Dianthus carthusianorum_Dianthus caryophyllus_Dianthus deltoides","Anemochorous","","",NA,NA,NA,NA,"",1.275,"Perennial","C3",0.6375,0.3425,"Biotic","Insect","Butterfly",0.000990354125,157.616666666667
"Dianthus armeria","Dianthus armeria","","","",NA,NA,NA,NA,"",2.31,"","C3",0.6,0.3625,"Biotic","Insect","Butterfly",0.000365,148.8
"Dianthus carthusianorum","Dianthus carthusianorum","Anemochorous","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.6,0.26,"Biotic","Insect","Butterfly",0.001399,163.55
"Dianthus carthusianorum subsp. carthusianorum","Dianthus carthusianorum","Anemochorous","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.6,0.26,"Biotic","Insect","Butterfly",0.001399,163.55
"Dianthus caryophyllus","Dianthus caryophyllus","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.9,0.5375,"","","",0.002,NA
"Dianthus deltoides","Dianthus deltoides","Anemochorous","","",NA,NA,NA,NA,"",0.24,"Perennial","C3",0.45,0.21,"Biotic","Insect","Butterfly",0.0001974165,160.5
"Digitalis","Digitalis grandiflora_Digitalis purpurea","Anemochorous","","",5,4,NA,NA,"",198.0975,"Perennial","C3",1.85,0.8105,"Biotic","Insect","Bee",0.000130999916666667,214.62
"Digitalis grandiflora","Digitalis grandiflora","Anemochorous","","",NA,NA,NA,NA,"",74.155,"Perennial","C3",1.2,0.525,"Biotic","Insect","",0.0001741665,261.91
"Digitalis purpurea","Digitalis purpurea","","","",5,4,NA,NA,"",322.04,"","C3",2.5,1.096,"Biotic","Insect","Bee",8.78333333333333e-05,167.33
"Digitaria","Digitaria ischaemum_Digitaria sanguinalis","Zoochorous","","Brown",NA,NA,NA,NA,"Spike",2.000625,"Annual","C4",0.825,0.2,"Abiotic","Wind","Wind",0.0006457,379.325
"Digitaria ischaemum","Digitaria ischaemum","Zoochorous","","",NA,NA,NA,NA,"",1.09875,"Annual","C4",0.5,0.18,"Abiotic","Wind","Wind",0.000629,406.15
