original_taxa,accepted_wfo,wfo_taxonID,wfo_rank,wfo_authorship,wfo_family,wfo_genus,wfo_status,wfo_match,verified
Petrorhargia prolifera,Petrorhagia prolifera,wfo-0000395423,species,(L.) P.W.Ball & Heywood,Caryophyllaceae,Petrorhagia,Accepted,FUZZY,1
Pisum sativum arvense,Lathyrus oleraceus,wfo-0000214337,species,Lam.,Fabaceae,Lathyrus,Accepted,FUZZY,0
Pisum sativum sativum,Lathyrus oleraceus,wfo-0000214337,species,Lam.,Fabaceae,Lathyrus,Accepted,FUZZY,0
Podospermum picroides,Urospermum picroides,wfo-0000024742,species,(L.) Scop. ex F.W.Schmidt,Asteraceae,Urospermum,Accepted,FUZZY,0
Populus canescens,Populus × canescens,wfo-0000928145,species,(Aiton) Sm.,Salicaceae,Populus,Accepted,FUZZY,1
Populus x canadensis,Populus × canadensis,wfo-0000930752,species,Moench,Salicaceae,Populus,Accepted,FUZZY,0
Portulaca oleraceae,Portulaca oleracea,wfo-0000484425,species,L.,Portulacaceae,Portulaca,Accepted,FUZZY,1
Rheum x hybridum,Rheum × hybridum,wfo-0000404461,species,Murray,Polygonaceae,Rheum,Accepted,FUZZY,0
Rorippa armoracioides,Rorippa × armoracioides,wfo-0000399580,species,(Tausch) Fuss,Brassicaceae,Rorippa,Accepted,FUZZY,1
Rumex x pratensis,Rumex × pratensis,wfo-0000404048,species,Mert. & W.D.J.Koch,Polygonaceae,Rumex,Accepted,FUZZY,0
Salix x fragilis,Salix × fragilis,wfo-0000928470,species,L.,Salicaceae,Salix,Accepted,FUZZY,0
Sanguisorba minor verrucosa,Sanguisorba verrucosa,wfo-0001007748,species,(Link ex G.Don) Ces.,Rosaceae,Sanguisorba,Accepted,FUZZY,0
Scandix pecten veneris,Scandix pecten-veneris,wfo-0000434334,species,L.,Apiaceae,Scandix,Accepted,FUZZY,0
Schedonorus arundinaceus arundinaceus,Lolium arundinaceum,wfo-0000878351,species,(Schreb.) Darbysh.,Poaceae,Lolium,Accepted,FUZZY,0
Schedonorus pratensis pratensis,Lolium pratense,wfo-0000878460,species,(Huds.) Darbysh.,Poaceae,Lolium,Accepted,FUZZY,0
Schoedonorus arundinaceus,Lolium arundinaceum,wfo-0000878351,species,(Schreb.) Darbysh.,Poaceae,Lolium,Accepted,FUZZY,0
Schoedonorus pratensis,Lolium pratense,wfo-0000878460,species,(Huds.) Darbysh.,Poaceae,Lolium,Accepted,FUZZY,0
Scirpus silvaticus,Scirpus sylvaticus,wfo-0000546234,species,L.,Cyperaceae,Scirpus,Accepted,FUZZY,1
Selinum carvifolia,Selinum carvifolium,wfo-0000434414,species,(L.) L.,Apiaceae,Selinum,Accepted,FUZZY,0
Senecio jacobea,Jacobaea vulgaris,wfo-0000031875,species,Gaertn.,Asteraceae,Jacobaea,Accepted,FUZZY,0
Sheradia arvensis,Sherardia arvensis,wfo-0000309707,species,L.,Rubiaceae,Sherardia,Accepted,FUZZY,1
Silena gallica,Silene gallica,wfo-0000440573,species,L.,Caryophyllaceae,Silene,Accepted,FUZZY,0
Silene niceensis,Silene nicaeensis,wfo-0000440672,species,All.,Caryophyllaceae,Silene,Accepted,FUZZY,0
Sinapis arvensis arvensis,Mutarda arvensis,wfo-1000044269,species,(L.) D.A.German,Brassicaceae,Mutarda,Accepted,FUZZY,0
Sixalix atropurpurea maritima,Scabiosa atropurpurea,wfo-0000500186,species,L.,Caprifoliaceae,Scabiosa,Accepted,FUZZY,0
Solanum nigrum nigrum,Solanum americanum,wfo-0001025878,species,Mill.,Solanaceae,Solanum,Accepted,FUZZY,0
Solanum nigrum villosum,Solanum villosum,wfo-0001032383,species,Mill.,Solanaceae,Solanum,Accepted,FUZZY,0
Sonchus arvenses,Sonchus arvensis,wfo-0000092611,species,L.,Asteraceae,Sonchus,Accepted,FUZZY,0
Sporobulus,Sporobolus,wfo-4000036182,genus,R.Br.,Poaceae,Sporobolus,Accepted,FUZZY,1
Sylibum marianum,Silybum marianum,wfo-0000014591,species,(L.) Gaertn.,Asteraceae,Silybum,Accepted,FUZZY,0
Sysimbrium irio,Sisymbrium irio,wfo-0000431928,species,L.,Brassicaceae,Sisymbrium,Accepted,FUZZY,0
