"accepted_taxa","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData"
"Centaurea collina",NA,NA,NA,NA
"Centaurea cyanus","Cyanus segetum","","Autre",50
"Centaurea decipiens","Centaurea decipiens","Violet","Autre",70
"Centaurea depressa",NA,NA,NA,NA
"Centaurea diluta",NA,NA,NA,NA
"Centaurea eriophora",NA,NA,NA,NA
"Centaurea jacea","Centaurea jacea","Rose","Autre",55
"Centaurea jacea jacea","Centaurea jacea","Rose","Autre",55
"Centaurea jacea timbalii","Centaurea jacea","Rose","Autre",55
"Centaurea melitensis",NA,NA,NA,NA
"Centaurea napifolia",NA,NA,NA,NA
"Centaurea nigra","Centaurea nigra","Violet","Autre",45
"Centaurea nigrescens",NA,NA,NA,NA
"Centaurea paniculata",NA,NA,NA,NA
"Centaurea pullata",NA,NA,NA,NA
"Centaurea scabiosa","Centaurea scabiosa","Rose","Autre",70
"Centaurea sicula",NA,NA,NA,NA
"Centaurea solstitialis",NA,NA,NA,NA
"Centaurea stoebe",NA,NA,NA,NA
"Centaurium","Centaurium","","Autre",NA
"Centaurium erythraea","Centaurium erythraea","","Autre",42.5
"Centaurium erythraea erythraea","Centaurium erythraea","","Autre",42.5
"Centaurium pulchellum",NA,NA,NA,NA
"Centaurium tenuiflorum",NA,NA,NA,NA
"Cephalanthera rubra",NA,NA,NA,NA
"Cerastium","Cerastium arvense_Cerastium brachypetalum_Cerastium fontanum_Cerastium glomeratum_Cerastium pumilum_Cerastium semidecandrum","Blanc","Autre",19.4166666666667
"Cerastium arvense","Cerastium arvense","Blanc","Autre",20
"Cerastium brachypetalum","Cerastium brachypetalum","","Autre",17.5
"Cerastium brachypetalum brachypetalum","Cerastium brachypetalum","","Autre",17.5
"Cerastium brachypetalum roeseri","Cerastium brachypetalum","","Autre",17.5
"Cerastium dichotomum",NA,NA,NA,NA
"Cerastium diffusum",NA,NA,NA,NA
"Cerastium fontanum","Cerastium fontanum","Blanc","Autre",28.5
"Cerastium fontanum vulgare","Cerastium fontanum","Blanc","Autre",28.5
"Cerastium fontanum vulgare","Cerastium fontanum","Blanc","Autre",28.5
"Cerastium glomeratum","Cerastium glomeratum","Blanc","Autre",27.5
"Cerastium gracile",NA,NA,NA,NA
"Cerastium perfoliatum",NA,NA,NA,NA
"Cerastium pumilum","Cerastium pumilum","Blanc","Autre",11.5
"Cerastium semidecandrum","Cerastium semidecandrum","Blanc","Autre",11.5
"Cercis siliquastrum",NA,NA,NA,NA
"Cerinthe minor",NA,NA,NA,NA
"Chaenomeles x superba",NA,NA,NA,NA
"Chaenorhinum minus",NA,NA,NA,NA
"Chaenorhinum origanifolium",NA,NA,NA,NA
"Chaenorhinum rubrifolium",NA,NA,NA,NA
"Chaerophyllum","Chaerophyllum","","Autre",NA
"Chaerophyllum aureum","Chaerophyllum aureum","Blanc","Autre",100
"Chaerophyllum bulbosum",NA,NA,NA,NA
"Chaerophyllum hirsutum","Chaerophyllum hirsutum","Blanc","Autre",90
"Chaerophyllum temulum",NA,NA,NA,NA
"Chamaemelum",NA,NA,NA,NA
"Chamaemelum nobile",NA,NA,NA,NA
"Chamomilla recutita",NA,NA,NA,NA
"Chelidonium",NA,NA,NA,NA
"Chelidonium majus",NA,NA,NA,NA
"Chenopodiaceae",NA,NA,NA,NA
