"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Ornithogalum","Ornithogalum umbellatum agg.","Covered partly",1,9.306,"Seed","Fruit with lateral aperture",0.06,0.17,NA
"Ornithogalum divergens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithogalum kochii subsp. monticola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithogalum umbellatum","Ornithogalum umbellatum agg.","Covered partly",1,9.306,"Seed","Fruit with lateral aperture",0.06,0.17,NA
"Ornithopus","Ornithopus perpusillus l.","Exposed",1,NA,"Fruit segment","Non-fleshy fruit",0.73,NA,NA
"Ornithopus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithopus perpusillus","Ornithopus perpusillus l.","Exposed",1,NA,"Fruit segment","Non-fleshy fruit",0.73,NA,NA
"Ornithopus sativus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orobanche","Orobanche alba stephan ex willd._Orobanche amethystea thuill._Orobanche caryophyllacea sm._Orobanche minor sm._Orobanche picridis f. w. schultz","Enclosed",0.1,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Orobanche amethystea","Orobanche amethystea thuill.","Enclosed",0.1,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Orobanche caryophyllacea","Orobanche caryophyllacea sm.","Enclosed",0.1,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Orobanche cernua",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orobanche crenata","Orobanche alba stephan ex willd.","Enclosed",0.1,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Orobanche minor","Orobanche minor sm.","Enclosed",0.1,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Orobanche picridis-hieracioidis","Orobanche picridis f. w. schultz","Enclosed",0.1,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Oryza sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osyris alba",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxalis","Oxalis corniculata l._Oxalis dillenii jacq._Oxalis fontana bunge","Enclosed",0.2,0.2051,"Seed","Explosive release mechanism",0.546666666666667,0.316666666666667,NA
"Oxalis acetosella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxalis corniculata","Oxalis corniculata l.","Enclosed",0.2,0.22,"Seed","Explosive release mechanism",0.53,0.32,NA
"Oxalis corniculata subsp. corniculata","Oxalis corniculata l.","Enclosed",0.2,0.22,"Seed","Explosive release mechanism",0.53,0.32,NA
"Oxalis dillenii","Oxalis dillenii jacq.","Enclosed",NA,NA,"Seed","Explosive release mechanism",0.51,0.31,NA
"Oxalis pes-caprae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxalis stricta","Oxalis fontana bunge","Enclosed",0.2,0.1902,"Seed","Explosive release mechanism",0.6,0.32,NA
"Oxybasis glauca","Chenopodium glaucum l.","Exposed",NA,0.1,"Fruit","Non-fleshy fruit",0.53,0.72,0.7
"Oxybasis rubra","Chenopodium rubrum l.","Exposed",NA,0.1292,"Fruit","Non-fleshy fruit",0.57,0.8,0.86
"Oxybasis urbica","Chenopodium urbicum l.","Exposed",1,NA,"Fruit","Non-fleshy fruit",0.34,0.79,NA
"Pallenis spinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pancratium maritimum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum capillare",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum dichotomiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum hillmanii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum miliaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum miliaceum subsp. miliaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum miliaceum subsp. ruderale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panicum virgatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papaver","Papaver dubium agg._Papaver rhoeas l.","Enclosed",NA,0.33,"Seed","Fruit with upright aperture",0.6,0.32,NA
"Papaver cambricum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papaver dubium","Papaver dubium agg.","Enclosed",NA,0.12,"Seed","Fruit with upright aperture",NA,0.35,NA
"Papaver rhoeas","Papaver rhoeas l.","Enclosed",NA,0.54,"Seed","Fruit with upright aperture",0.6,0.29,NA
"Papaver somniferum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papaver x hungaricum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parentucellia latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parietaria judaica","Parietaria judaica l.","Exposed",0.8,0.2378,"Fruit","Non-fleshy fruit",0.4,0.92,NA
"Paronychia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parthenocissus inserta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum dilatatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paspalum distichum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pastinaca","Pastinaca sativa l.","Exposed",NA,4.19,"Fruit segment","Non-fleshy fruit",0.57,0.17,NA
"Pastinaca sativa","Pastinaca sativa l.","Exposed",NA,4.19,"Fruit segment","Non-fleshy fruit",0.57,0.17,NA
"Pastinaca sativa subsp. urens","Pastinaca sativa l.","Exposed",NA,4.19,"Fruit segment","Non-fleshy fruit",0.57,0.17,NA
"Persicaria","Polygonum amphibium l._Polygonum lapathifolium ssp. brittingeri (opiz) soo_Polygonum lapathifolium ssp. lapathifolium_Polygonum mite schrank_Polygonum persicaria l.","Exposed",1.4,2.2975,"Fruit","Non-fleshy fruit",0.22,0.18,NA
"Persicaria acuminata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persicaria amphibia","Polygonum amphibium l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Persicaria dubia","Polygonum mite schrank","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.25,0.21,NA
"Persicaria hydropiper",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persicaria lapathifolia","Polygonum lapathifolium ssp. brittingeri (opiz) soo_Polygonum lapathifolium ssp. lapathifolium","Exposed",1.4,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Persicaria maculosa","Polygonum persicaria l.","Exposed",NA,2.2975,"Fruit","Non-fleshy fruit",0.19,0.15,NA
"Persicaria minor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Petasites hybridus","Petasites hybridus (l.) p. gaertn., b. mey. & scherb.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.97,NA,NA
"Petrorhagia prolifera","Petrorhagia prolifera (l.) p. w. ball & heywood","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.45,0.27,0.54
"Petrorhagia saxifraga","Petrorhagia saxifraga (l.) link","Enclosed",NA,0.11,"Seed","Fruit with upright aperture",0.55,0.33,NA
"Petrosedum sediforme",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Petroselinum crispum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phacelia tanacetifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phalaris","Phalaris arundinacea l.","Covered partly",0.57,NA,"Fruit","Non-fleshy fruit",0.7,0.84,0.89
"Phalaris aquatica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phalaris arundinacea","Phalaris arundinacea l.","Covered partly",0.57,NA,"Fruit","Non-fleshy fruit",0.7,0.84,0.89
"Phalaris brachystachys",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phalaris canariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phalaris coerulescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phalaris minor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phalaris paradoxa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phedimus spurius","Sedum spurium m. bieb.","Covered partly",NA,NA,"Seed","Fruit with upright aperture",0.76,NA,NA
"Phelipanche nana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phelipanche purpurea","Orobanche purpurea jacq.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Phelipanche ramosa","Orobanche ramosa l.","Enclosed",0.1,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Phillyrea media",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum","Phleum bertolonii dc._Phleum hirsutum honck._Phleum paniculatum huds._Phleum phleoides (l.) h. karst._Phleum pratense agg._Phleum pratense l.","Covered partly",0.62,0.956667,"Fruit","Non-fleshy fruit",0.548,0.473333333333333,0.59
"Phleum exaratum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum hirsutum","Phleum hirsutum honck.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Phleum nodosum","Phleum bertolonii dc.","Covered partly",0.71,NA,"Fruit","Non-fleshy fruit",0.5,NA,NA
"Phleum paniculatum","Phleum paniculatum huds.","Covered partly",0.46,NA,"Fruit","Non-fleshy fruit",0.62,NA,0.74
"Phleum phleoides","Phleum phleoides (l.) h. karst.","Covered partly",0.45,NA,"Fruit","Non-fleshy fruit",0.7,0.58,0.44
"Phleum pratense","Phleum pratense agg._Phleum pratense l.","Covered partly",0.74,0.956667,"Fruit","Non-fleshy fruit",0.46,0.42,NA
"Phleum subulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phragmites","Phragmites australis (cav.) trin. ex steud.","Covered partly",NA,0.1,"Fruit","Non-fleshy fruit",0.98,0.89,0.86
"Phragmites australis","Phragmites australis (cav.) trin. ex steud.","Covered partly",NA,0.1,"Fruit","Non-fleshy fruit",0.98,0.89,0.86
"Physalis peruviana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Physalis viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Physocarpus opulifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phytolacca americana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Picnomon acarna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Picris","Picris hieracioides s.l. l.","Exposed",NA,1.18,"Fruit","Non-fleshy fruit",0.93,0.99,NA
"Picris hieracioides","Picris hieracioides s.l. l.","Exposed",NA,1.18,"Fruit","Non-fleshy fruit",0.93,0.99,NA
"Pilosella","Hieracium aurantiacum l._Hieracium cymosum l._Hieracium pilosella l.","Exposed",NA,0.129083,"Fruit","Non-fleshy fruit",0.96,0.98,0.43
"Pilosella aurantiaca","Hieracium aurantiacum l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.97,NA,0.43
"Pilosella cymosa","Hieracium cymosum l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
