"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Avena sativa subsp. sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena sterilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena sterilis subsp. ludoviciana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena strigosa","Avena strigosa schreb.","Covered partly",NA,NA,"Infructescence","Non-fleshy fruit",NA,0.72,NA
"Avenella flexuosa","Deschampsia flexuosa (l.) trin.","Covered partly",0.67,NA,"Fruit","Non-fleshy fruit",0.76,NA,0.44
"Avenula pubescens","Helictotrichon pubescens (huds.) pilg.","Covered partly",NA,1.773333,"Fruit","Non-fleshy fruit",0.59,0.86,0.13
"Ballota nigra","Ballota nigra l. s.l.","Exposed",NA,0.5848,"Fruit","Non-fleshy fruit",0.47,0.75,NA
"Barbarea","Barbarea intermedia boreau_Barbarea stricta andrz._Barbarea vulgaris r. br.","Covered partly",0.4,0.496733333333333,"Seed","Fruit with lateral aperture",0.346666666666667,0.56,0.67
"Barbarea intermedia","Barbarea intermedia boreau","Covered partly",0.4,0.5512,"Seed","Fruit with lateral aperture",0.3,0.54,0.23
"Barbarea stricta","Barbarea stricta andrz.","Covered partly",0.4,0.234,"Seed","Fruit with lateral aperture",0.45,0.58,0.89
"Barbarea vulgaris","Barbarea vulgaris r. br.","Covered partly",NA,0.705,"Seed","Fruit with lateral aperture",0.29,0.56,0.89
"Bassia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bassia scoparia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellardia trixago",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellardia viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellevalia trifoliata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellis perennis","Bellis perennis l.","Exposed",NA,0.127,"Fruit","Non-fleshy fruit",0.81,0.72,NA
"Bellis sylvestris","Bellidastrum michelii cass.","Exposed",4.06,0.2266,"Fruit","Non-fleshy fruit",0.97,0.98,0.67
"Berteroa incana","Berteroa incana (l.) dc.","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",0.39,0.24,NA
"Berula erecta","Berula erecta (huds.) coville","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.18,0.56,NA
"Beta","Beta vulgaris l. s.l.","Exposed",NA,20.1,"Fruit","Non-fleshy fruit",0.07,0.79,NA
"Beta vulgaris","Beta vulgaris l. s.l.","Exposed",NA,20.1,"Fruit","Non-fleshy fruit",0.07,0.79,NA
"Beta vulgaris subsp. maritima","Beta vulgaris l. s.l.","Exposed",NA,20.1,"Fruit","Non-fleshy fruit",0.07,0.79,NA
"Beta vulgaris subsp. vulgaris","Beta vulgaris l. s.l.","Exposed",NA,20.1,"Fruit","Non-fleshy fruit",0.07,0.79,NA
"Betonica alopecuros","Betonica alopecuros l.","Covered partly",0.7,1.346,"Fruit segment","Non-fleshy fruit",0.22,0.41,NA
"Betonica officinalis","Betonica officinalis l.","Covered partly",NA,1.0255,"Fruit segment","Non-fleshy fruit",0.68,0.48,NA
"Betula","Betula pendula roth_Betula pubescens ehrh. s.l.","Covered partly_Exposed",0.5,0.7252,"Fruit","Non-fleshy fruit",0.935,0.65,0.89
"Betula pendula","Betula pendula roth","Exposed",0.5,0.7252,"Fruit","Non-fleshy fruit",0.95,0.74,0.89
"Betula pubescens","Betula pubescens ehrh. s.l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.92,0.56,NA
"Bidens","Bidens tripartita l.","Exposed",NA,2.2,"Fruit","Non-fleshy fruit",0.8,0.89,NA
"Bidens bipinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens subalternans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens tripartita","Bidens tripartita l.","Exposed",NA,2.2,"Fruit","Non-fleshy fruit",0.8,0.89,NA
"Bifora radians","Bifora radians m. bieb.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.09,0.27,NA
"Bifora testiculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biscutella auriculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biserrula pelecinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bistorta officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bituminaria bituminosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackstonia perfoliata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackstonia perfoliata subsp. perfoliata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolboschoenus maritimus","Bolboschoenus maritimus (l.) palla","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.16,NA,0.89
"Bombycilaena erecta","Micropus erectus l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Boraginaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borago officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriochloa barbinodis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriochloa ischaemum","Bothriochloa ischaemum (l.) keng","Covered partly",1.79,0.333333,"Infructescence","Non-fleshy fruit",0.67,0.88,NA
"Brachypodium","Brachypodium pinnatum (l.) p. beauv._Brachypodium rupestre (host) roem. & schult._Brachypodium sylvaticum (huds.) p. beauv.","Covered partly",0.83,3.31395566666667,"Fruit","Non-fleshy fruit",0.546666666666667,0.62,0.15
"Brachypodium distachyon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium phoenicoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium pinnatum","Brachypodium pinnatum (l.) p. beauv.","Covered partly",0.86,4,"Fruit","Non-fleshy fruit",0.63,0.67,0.15
"Brachypodium retusum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium rupestre","Brachypodium rupestre (host) roem. & schult.","Covered partly",NA,1.2752,"Fruit","Non-fleshy fruit",0.6,0.57,NA
"Brachypodium sylvaticum","Brachypodium sylvaticum (huds.) p. beauv.","Covered partly",0.8,4.666667,"Fruit","Non-fleshy fruit",0.41,0.62,NA
"Brassica","Brassica nigra (l.) w. d. j. koch_Brassica oleracea ssp. oleracea","Covered partly",1,3.0662,"Seed","Fruit with lateral aperture",0.23,0.405,0
"Brassica barrelieri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica carinata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica napus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica napus var. napus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica nigra","Brassica nigra (l.) w. d. j. koch","Covered partly",1,NA,"Seed","Fruit with lateral aperture",0.37,0.52,0
"Brassica oleracea","Brassica oleracea ssp. oleracea","Covered partly",NA,3.0662,"Seed","Fruit with lateral aperture",0.09,0.29,NA
"Brassica rapa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica tournefortii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza","Briza media l.","Covered partly",NA,0.6532,"Fruit","Non-fleshy fruit",0.62,0.32,0.7
"Briza maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza media","Briza media l.","Covered partly",NA,0.6532,"Fruit","Non-fleshy fruit",0.62,0.32,0.7
"Briza minor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromopsis benekenii","Bromus benekenii (lange) trimen","Covered partly",0.76,5.9,"Fruit","Non-fleshy fruit",0.44,0.56,0.06
"Bromopsis erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromopsis inermis","Bromus inermis leyss.","Covered partly",NA,4,"Fruit","Non-fleshy fruit",0.64,NA,0.08
"Bromopsis ramosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus","Bromus arvensis l._Bromus commutatus schrad._Bromus grossus desf. ex dc._Bromus hordeaceus l._Bromus japonicus thunb._Bromus racemosus l._Bromus secalinus l. s.str._Bromus squarrosus l.","Covered partly",1.61333333333333,3.144,"Fruit","Non-fleshy fruit",0.45,0.54125,0.14
"Bromus arvensis","Bromus arvensis l.","Covered partly",1.76,2.1,"Fruit","Non-fleshy fruit",0.55,0.59,NA
"Bromus commutatus","Bromus commutatus schrad.","Covered partly",1.72,NA,"Fruit","Non-fleshy fruit",0.37,0.45,0.18
"Bromus commutatus subsp. decipiens","Bromus commutatus schrad.","Covered partly",1.72,NA,"Fruit","Non-fleshy fruit",0.37,0.45,0.18
"Bromus grossus","Bromus grossus desf. ex dc.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.13,0.51,NA
"Bromus hordeaceus","Bromus hordeaceus l.","Covered partly",NA,4.188,"Fruit","Non-fleshy fruit",0.65,0.54,0
"Bromus hordeaceus subsp. hordeaceus","Bromus hordeaceus l.","Covered partly",NA,4.188,"Fruit","Non-fleshy fruit",0.65,0.54,0
"Bromus japonicus","Bromus japonicus thunb.","Covered partly",1.36,NA,"Fruit","Non-fleshy fruit",0.64,0.68,0.06
"Bromus lanceolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus racemosus","Bromus racemosus l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.34,0.43,0.06
"Bromus secalinus","Bromus secalinus l. s.str.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.38,0.49,0
"Bromus squarrosus","Bromus squarrosus l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.54,0.64,0.54
"Bryonia dioica","Bryonia dioica jacq.","Exposed",NA,310,"Fruit","Pepo",0.06,0.03,0.09
"Bryonia dioica subsp. dioica","Bryonia dioica jacq.","Exposed",NA,310,"Fruit","Pepo",0.06,0.03,0.09
"Bryum dichotomum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buglossoides","Lithospermum arvense s.l. l.","Covered partly",NA,4.5582,"Fruit segment","Non-fleshy fruit",0.09,0.24,0.33
"Buglossoides arvensis","Lithospermum arvense s.l. l.","Covered partly",NA,4.5582,"Fruit segment","Non-fleshy fruit",0.09,0.24,0.33
"Bunias erucago",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bunias orientalis","Bunias orientalis l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.04,0.11,NA
"Bunium","Bunium bulbocastanum l.","Exposed",1.5,NA,"Fruit segment","Non-fleshy fruit",0.28,0.84,NA
"Bunium bulbocastanum","Bunium bulbocastanum l.","Exposed",1.5,NA,"Fruit segment","Non-fleshy fruit",0.28,0.84,NA
"Bunium pachypodum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buphthalmum salicifolium","Buphthalmum salicifolium l.","Covered partly",NA,0.774333,"Fruit","Non-fleshy fruit",0.64,0.57,NA
"Bupleurum rotundifolium","Bupleurum rotundifolium l.","Exposed",1,NA,"Fruit segment","Non-fleshy fruit",0.17,0.44,NA
"Bupleurum subovatum","Bupleurum longifolium l.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.18,0.52,NA
"Bupleurum tenuissimum","Bupleurum tenuissimum l.","Exposed",1.5,0.7796,"Fruit segment","Non-fleshy fruit",0.33,0.68,0.64
"Cakile maritima","Cakile maritima scop.","Exposed",4,23.442,"Fruit segment","Non-fleshy fruit",0.13,0.45,0.17
"Calamagrostis","Calamagrostis canescens (weber) roth_Calamagrostis epigejos (l.) roth","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.905,0.88,0.685
"Calamagrostis canescens","Calamagrostis canescens (weber) roth","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.9,NA,0.48
"Calamagrostis epigejos","Calamagrostis epigejos (l.) roth","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.91,0.88,0.89
"Calendula","Calendula arvensis l.","Covered partly",2,NA,"Fruit","Non-fleshy fruit",0.17,NA,NA
"Calendula arvensis","Calendula arvensis l.","Covered partly",2,NA,"Fruit","Non-fleshy fruit",0.17,NA,NA
"Calendula officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calepina irregularis","Calepina irregularis (asso) thell.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.08,0.39,NA
"Camelina","Camelina alyssum (mill.) thell._Camelina microcarpa andrz._Camelina sativa (l.) crantz (s.str.)","Covered partly",NA,0.3,"Seed","Fruit with lateral aperture",0.32,0.523333333333333,NA
"Camelina alyssum","Camelina alyssum (mill.) thell.","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",0.19,0.44,NA
"Camelina microcarpa","Camelina microcarpa andrz.","Covered partly",NA,0.3,"Seed","Fruit with lateral aperture",0.57,0.61,NA
"Camelina rumelica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelina sativa","Camelina sativa (l.) crantz (s.str.)","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",0.2,0.52,NA
"Camelina sativa var. pilosa","Camelina sativa (l.) crantz (s.str.)","Covered partly",NA,NA,"Seed","Fruit with lateral aperture",0.2,0.52,NA
"Campanula","Campanula glomerata l._Campanula patula l._Campanula persicifolia l._Campanula rapunculoides l._Campanula rapunculus l._Campanula rotundifolia l. s.str.","Enclosed",NA,0.0659741666666667,"Seed","Fruit with lateral aperture",0.686666666666667,0.401666666666667,0.7
"Campanula erinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campanula glomerata","Campanula glomerata l.","Enclosed",NA,0.10496,"Seed","Fruit with lateral aperture",0.65,0.35,NA
"Campanula patula","Campanula patula l.","Enclosed",NA,0.03,"Seed","Fruit with lateral aperture",0.81,0.43,NA
"Campanula persicifolia","Campanula persicifolia l.","Enclosed",NA,0.066914,"Seed","Fruit with lateral aperture",0.68,0.4,NA
"Campanula rapunculoides","Campanula rapunculoides l.","Enclosed",NA,0.10075,"Seed","Fruit with lateral aperture",0.66,0.42,NA
"Campanula rapunculus","Campanula rapunculus l.","Enclosed",NA,0.04,"Seed","Fruit with lateral aperture",0.59,0.42,NA
"Campanula rotundifolia","Campanula rotundifolia l. s.str.","Enclosed",NA,0.053221,"Seed","Fruit with lateral aperture",0.73,0.39,0.7
"Cannabis sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capsella bursa-pastoris","Capsella bursa-pastoris (l.) medik.","Covered partly",NA,0.1268,"Seed","Fruit with lateral aperture",0.66,0.68,NA
"Capsella rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine","Cardamine flexuosa with._Cardamine hirsuta l._Cardamine pratensis agg._Cardamine pratensis l. (s.str.)","Enclosed",NA,0.332,"Seed","Explosive release mechanism",0.5775,0.3025,0.55
"Cardamine flexuosa","Cardamine flexuosa with.","Enclosed",NA,0.114,"Seed","Explosive release mechanism",0.57,0.33,0.21
"Cardamine hirsuta","Cardamine hirsuta l.","Enclosed",NA,0.18,"Seed","Explosive release mechanism",0.66,0.38,NA
"Cardamine pratensis","Cardamine pratensis agg._Cardamine pratensis l. (s.str.)","Enclosed",NA,0.517,"Seed","Explosive release mechanism",0.54,0.25,0.72
"Carduus","Carduus acanthoides l._Carduus crispus l._Carduus nutans agg.","Exposed",3.425,3.122533,"Fruit","Non-fleshy fruit",0.793333333333333,0.9,0.79
"Carduus acanthoides","Carduus acanthoides l.","Exposed",1,NA,"Fruit","Non-fleshy fruit",0.93,0.95,NA
"Carduus crispus","Carduus crispus l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.95,NA,0.79
"Carduus nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus nutans","Carduus nutans agg.","Exposed",5.85,3.122533,"Fruit","Non-fleshy fruit",0.5,0.85,NA
"Carduus pycnocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus tenuiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex","Carex caryophyllea latourr._Carex curvula all._Carex divulsa stokes s.str._Carex flacca schreb._Carex halleriana asso_Carex hirta l._Carex muricata agg._Carex muricata l. s.str._Carex nigra (l.) reichard_Carex otrubae podp._Carex pallescens l._Carex pendula huds._Carex secalina wahlenb._Carex spicata huds._Carex vesicaria l._Carex vulpina l.","Covered partly_Exposed",NA,1.4009625,"Fruit","Non-fleshy fruit",0.487333333333333,0.67,0.77
"Carex caryophyllea","Carex caryophyllea latourr.","Covered partly",NA,1.2565,"Fruit","Non-fleshy fruit",0.72,0.45,0.86
"Carex curvula","Carex curvula all.","Covered partly",NA,1.5675,"Fruit","Non-fleshy fruit",0.39,0.57,NA
"Carex divulsa","Carex divulsa stokes s.str.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.34,0.73,NA
"Carex flacca","Carex flacca schreb.","Covered partly",NA,1.4594,"Fruit","Non-fleshy fruit",0.53,0.55,0.82
"Carex halleriana","Carex halleriana asso","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Carex hirta","Carex hirta l.","Covered partly",NA,2.322,"Fruit","Non-fleshy fruit",0.45,0.69,NA
"Carex muricata","Carex muricata agg._Carex muricata l. s.str.","Covered partly",NA,2.1,"Fruit","Non-fleshy fruit",0.325,0.555,0.82
"Carex nigra","Carex nigra (l.) reichard","Covered partly",NA,0.4921,"Fruit","Non-fleshy fruit",0.63,0.55,NA
"Carex otrubae","Carex otrubae podp.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.54,0.76,0.73
"Carex pairae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex pallescens","Carex pallescens l.","Exposed",NA,1.045,"Fruit","Non-fleshy fruit",0.34,0.77,0.63
"Carex pendula","Carex pendula huds.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.36,0.66,0.86
"Carex riparia","Carex secalina wahlenb._Carex vesicaria l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.605,0.83,0.72
"Carex spicata","Carex spicata huds.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.66,0.8,0.82
"Carex vulpina","Carex vulpina l.","Covered partly",NA,0.9652,"Fruit","Non-fleshy fruit",0.49,0.75,0.72
"Carlina corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlina lanata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlina vulgaris","Carlina vulgaris l. s.str.","Exposed",NA,1.7083,"Fruit","Non-fleshy fruit",0.93,0.88,NA
"Carpinus betulus","Carpinus betulus l.","Exposed",NA,59.533333,"Fruit","Non-fleshy fruit",0.82,0.01,0.29
"Carthamus lanatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carthamus mitissimus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carum carvi","Carum carvi l.","Exposed",NA,2.3736,"Fruit segment","Non-fleshy fruit",0.21,0.51,NA
"Caryophyllaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castanea sativa","Castanea sativa mill.","Covered partly",10,NA,"Fruit","Non-fleshy fruit",0,NA,0.25
"Catananche caerulea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catapodium rigidum","Catapodium rigidum (l.) c. e. hubb. ex dony","Covered partly",0.35,NA,"Fruit","Non-fleshy fruit",0.68,0.44,0.23
"Caucalis platycarpos","Caucalis platycarpos l.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.14,0.92,NA
"Celtis australis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus incertus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea","Centaurea calcitrapa l._Centaurea jacea l. s.l._Centaurea jacea ssp. angustifolia gremli_Centaurea jacea ssp. pratensis celak._Centaurea nemoralis jord._Centaurea nigra l. s.str._Centaurea nigrescens willd._Centaurea paniculata agg._Centaurea scabiosa l. s.l._Centaurea solstitialis l._Cnicus benedictus l.","Covered partly",1,10.1786668,"Fruit","Non-fleshy fruit",0.31875,0.715,0.335
"Centaurea argentea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea benedicta","Cnicus benedictus l.","Covered partly",NA,37.753333,"Fruit","Non-fleshy fruit",0.18,0.63,NA
"Centaurea calcitrapa","Centaurea calcitrapa l.","Covered partly",1,NA,"Fruit","Non-fleshy fruit",0.23,NA,NA
"Centaurea collina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea decipiens","Centaurea jacea ssp. pratensis celak._Centaurea nemoralis jord.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Centaurea diluta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea eriophora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea jacea","Centaurea jacea l. s.l.","Covered partly",NA,1.878667,"Fruit","Non-fleshy fruit",0.32,0.71,0.31
"Centaurea jacea subsp. jacea","Centaurea jacea l. s.l._Centaurea jacea ssp. angustifolia gremli","Covered partly",NA,1.878667,"Fruit","Non-fleshy fruit",0.32,0.71,0.31
"Centaurea jacea subsp. timbalii","Centaurea jacea l. s.l._Centaurea jacea ssp. angustifolia gremli","Covered partly",NA,1.878667,"Fruit","Non-fleshy fruit",0.32,0.71,0.31
"Centaurea melitensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea nigra","Centaurea nigra l. s.str.","Covered partly",NA,2.259667,"Fruit","Non-fleshy fruit",0.2,0.84,NA
"Centaurea nigrescens","Centaurea nigrescens willd.","Covered partly",NA,1.982,"Fruit","Non-fleshy fruit",0.18,0.43,NA
"Centaurea paniculata","Centaurea paniculata agg.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.51,NA,NA
"Centaurea pullata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea scabiosa","Centaurea scabiosa l. s.l.","Covered partly",NA,7.019667,"Fruit","Non-fleshy fruit",0.65,0.82,0.36
"Centaurea solstitialis","Centaurea solstitialis l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.28,0.86,NA
"Centaurea stoebe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurium","Centaurium erythraea rafn_Centaurium pulchellum (sw.) druce","Enclosed",0.09,0.018267,"Seed","Fruit with lateral aperture",0.845,0.5,0.77
"Centaurium erythraea","Centaurium erythraea rafn","Enclosed",0.09,0.018267,"Seed","Fruit with lateral aperture",0.83,0.46,NA
"Centaurium erythraea subsp. erythraea","Centaurium erythraea rafn","Enclosed",0.09,0.018267,"Seed","Fruit with lateral aperture",0.83,0.46,NA
"Centaurium pulchellum","Centaurium pulchellum (sw.) druce","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",0.86,0.54,0.77
"Centaurium tenuiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centranthus calcitrapae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centranthus ruber","Centranthus ruber (l.) dc.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.88,NA,NA
"Cephalanthera rubra","Cephalanthera rubra (l.) rich.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Cerastium","Cerastium arvense l._Cerastium brachypetalum agg._Cerastium diffusum pers. s.str._Cerastium fontanum agg._Cerastium fontanum baumg. s.str._Cerastium glomeratum thuill._Cerastium holosteoides fr._Cerastium pumilum agg.","Enclosed",NA,0.15215975,"Seed","Fruit with upright aperture",0.582857142857143,0.425,0.18
"Cerastium arvense","Cerastium arvense l.","Enclosed",NA,0.3364,"Seed","Fruit with upright aperture",0.53,0.4,0.19
"Cerastium brachypetalum","Cerastium brachypetalum agg.","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.41,0.43,NA
"Cerastium brachypetalum subsp. brachypetalum","Cerastium brachypetalum agg.","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.41,0.43,NA
"Cerastium dichotomum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium diffusum","Cerastium diffusum pers. s.str.","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.47,NA,NA
"Cerastium fontanum","Cerastium fontanum agg._Cerastium fontanum baumg. s.str.","Enclosed",NA,0.105458,"Seed","Fruit with upright aperture",0.61,0.41,NA
"Cerastium fontanum subsp. vulgare","Cerastium holosteoides fr.","Enclosed",NA,0.096781,"Seed","Fruit with upright aperture",0.61,0.42,NA
"Cerastium glomeratum","Cerastium glomeratum thuill.","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.74,0.47,0.17
"Cerastium perfoliatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium pumilum","Cerastium pumilum agg.","Enclosed",NA,0.07,"Seed","Fruit with upright aperture",0.71,0.42,NA
"Cerastium ramosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium semidecandrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratocephala falcata","Ceratocephala falcata (l.) pers.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.76,NA,NA
"Ceratochloa cathartica","Bromus catharticus m. vahl","Covered partly",1.69,NA,"Fruit","Non-fleshy fruit",0.2,0.54,0.29
"Cercis siliquastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerinthe minor","Cerinthe minor l.","Covered partly",NA,5.526,"Fruit segment","Non-fleshy fruit",0.09,0.23,NA
"Cervaria rivini","Peucedanum cervaria (l.) lapeyr.","Exposed",NA,5.624,"Fruit segment","Non-fleshy fruit",0.65,0.13,NA
"Chaenomeles x superba",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum minus","Chaenorhinum minus (l.) lange","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.65,0.42,NA
"Chaenorhinum minus subsp. minus","Chaenorhinum minus (l.) lange","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.65,0.42,NA
"Chaenorhinum origanifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum rubrifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum","Chaerophyllum temulum l.","Exposed",NA,2.04152,"Fruit segment","Non-fleshy fruit",0.36,0.48,NA
"Chaerophyllum temulum","Chaerophyllum temulum l.","Exposed",NA,2.04152,"Fruit segment","Non-fleshy fruit",0.36,0.48,NA
"Chamaemelum nobile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaenerion angustifolium","Epilobium angustifolium l.","Covered partly",NA,0.256,"Seed","Fruit with lateral aperture",1,NA,NA
"Chamaenerion fleischeri","Epilobium fleischeri hochst.","Covered partly",18.04,0.1638,"Seed","Fruit with lateral aperture",1,0.89,0.79
