"original_taxa","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_rank","accepted_taxa"
"Cissampelos pareira","Cissampelos pareira",3033937,"SPECIES","Cissampelos pareira L.","Tracheophyta","Ranunculales","Menispermaceae","EXACT_ACCEPTED","SPECIES","Cissampelos pareira"
"Cissus","Cissus",3039160,"GENUS","Cissus L.","Tracheophyta","Vitales","Vitaceae","HIGHERRANK_ACCEPTED","GENUS","Cissus"
"Cissus arguta","Cissus arguta",4053288,"SPECIES","Cissus arguta Hook.fil.","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Cissus arguta"
"Cissus erosa","Cissus erosa",3039162,"SPECIES","Cissus erosa (L.) Rich.","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Cissus erosa"
"Cissus microdonta","Cissus microdonta",4054980,"SPECIES","Cissus microdonta (Baker) Planch.","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Cissus microdonta"
"Cissus petiolata","Cissus petiolata",4053790,"SPECIES","Cissus petiolata Hook.fil.","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Cissus petiolata"
"Cissus populnea","Cissus populnea",4053587,"SPECIES","Cissus populnea Guill. & Perr.","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Cissus populnea"
"Cissus quadrangularis","Cissus quadrangularis",7130673,"SPECIES","Cissus quadrangularis L.","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Cissus quadrangularis"
"Cissus verticillata","Cissus verticillata",3039173,"SPECIES","Cissus verticillata (L.) Nicolson & C.E.Jarvis","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Cissus verticillata"
"Citharexylum spinosum","Citharexylum spinosum",2925396,"SPECIES","Citharexylum spinosum L.","Tracheophyta","Lamiales","Verbenaceae","EXACT_ACCEPTED","SPECIES","Citharexylum spinosum"
"Citrullus colocynthis","Citrullus colocynthis",2874622,"SPECIES","Citrullus colocynthis (L.) Schrad.","Tracheophyta","Cucurbitales","Cucurbitaceae","EXACT_ACCEPTED","SPECIES","Citrullus colocynthis"
"Citrullus lanatus","Citrullus lanatus",2874621,"SPECIES","Citrullus lanatus (Thunb.) Matsum. & Nakai","Tracheophyta","Cucurbitales","Cucurbitaceae","EXACT_ACCEPTED","SPECIES","Citrullus lanatus"
"Clausena anisata","Clausena anisata",11016483,"SPECIES","Clausena anisata (Willd.) Hook.fil.","Tracheophyta","Sapindales","Rutaceae","EXACT_ACCEPTED","SPECIES","Clausena anisata"
"Clematis mauritiana","Clematis mauritiana",3930358,"SPECIES","Clematis mauritiana Lam.","Tracheophyta","Ranunculales","Ranunculaceae","EXACT_ACCEPTED","SPECIES","Clematis mauritiana"
"Cleome","Cleome",3041500,"GENUS","Cleome L.","Tracheophyta","Brassicales","Cleomaceae","HIGHERRANK_ACCEPTED","GENUS","Cleome"
"Clerodendron","Clerodendrum",2925347,"GENUS","Clerodendrum L.","Tracheophyta","Lamiales","Lamiaceae","HIGHERRANK_SYNONYM","GENUS","Clerodendrum"
"Clerodendrum capitatum","Clerodendrum capitatum",3894676,"SPECIES","Clerodendrum capitatum (Willd.) Schumach.","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Clerodendrum capitatum"
"Clerodendrum formicarum","Clerodendrum formicarum",3893266,"SPECIES","Clerodendrum formicarum Gürke","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Clerodendrum formicarum"
"Clerodendrum polycephalum","Clerodendrum polycephalum",3890422,"SPECIES","Clerodendrum polycephalum Baker","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Clerodendrum polycephalum"
"Clerodendrum silvanum silvanum","Clerodendrum silvanum silvanum",7307540,"VARIETY","Clerodendrum silvanum var. silvanum","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","VARIETY","Clerodendrum silvanum silvanum"
"Clerodendrum speciosissimum","Clerodendrum speciosissimum",12258866,"SPECIES","Clerodendrum speciosissimum Jacob-Makoy","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Clerodendrum speciosissimum"
"Clerodendrum splendens","Clerodendrum splendens",7999246,"SPECIES","Clerodendrum splendens G.Don","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Clerodendrum splendens"
"Clerodendrum splendidum","Clerodendrum splendidum",3889417,"SPECIES","Clerodendrum splendidum Wall.","Tracheophyta","Lamiales","Lamiaceae","EXACT_DOUBTFUL","SPECIES","Clerodendrum splendidum"
"Clerodendrum umbellatum","Clerodendrum umbellatum",2925368,"SPECIES","Clerodendrum umbellatum Poir.","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Clerodendrum umbellatum"
"Clerodendrum volubile","Clerodendrum volubile",3888605,"SPECIES","Clerodendrum volubile P.Beauv.","Tracheophyta","Lamiales","Lamiaceae","EXACT_ACCEPTED","SPECIES","Clerodendrum volubile"
